Geneid	SRR5085169
YNL247W	66
YNL062C	30
YNL135C	38
YNL212W	32
YNL243W	56
YNL220W	92
YNL219C	23
YNL079C	44
YNL244C	52
YJL204C	15
YJR105W	355
YJR088C	31
YJL020C	36
YJR131W	18
YJR069C	30
YJL186W	62
YJL008C	117
YJL061W	23
YJR085C	12
YJR040W	13
YJL189W	102
YJR005W	45
YJR049C	17
YJR002W	48
YJR145C	408
YJR009C	461
YJL173C	12
YJR014W	29
YJR135W-A	22
YJR045C	105
YJL176C	15
YJL159W	125
YJR060W	7
YJR119C	12
YJR092W	26
YJL010C	31
YJR140C	28
YJL136C	225
YJL117W	13
YJL079C	24
YJL171C	11
YJL172W	28
YJL093C	19
YJL050W	69
YJL002C	111
YJL201W	16
snR128	101
YJL029C	26
YJR144W	22
YJL073W	17
YJR094W-A	136
YJL052W	81
YJR139C	128
YJL016W	9
YJR007W	128
YJR065C	59
YJR072C	31
YJR133W	31
YJL012C	76
YJR121W	135
YJL145W	20
YJR064W	290
YJL074C	30
YJL111W	95
YJL158C	137
YJR016C	129
YJL208C	14
YJL197W	28
YJL078C	16
YJR117W	35
YJR057W	31
YJL081C	19
YJL054W	37
YJR137C	21
YJL192C	37
YJR001W	42
YJL190C	353
YJL055W	21
YJL085W	11
YJR109C	43
YJL167W	92
YJL036W	14
YJL168C	23
YJR066W	27
YJL001W	18
YJL212C	10
YJR125C	18
YJR051W	23
YJL200C	35
YJL129C	35
YJR103W	13
YJL044C	32
YJL157C	44
YJL034W	170
YJL183W	59
YJR031C	35
YJR077C	37
YJR033C	10
YJL068C	22
YJL112W	9
YJL039C	33
YJR090C	24
YJL174W	22
YJL014W	64
YJR075W	32
YJR126C	30
YJL005W	34
YJR076C	37
YJL217W	14
YJL207C	42
YJL198W	25
YJR073C	11
YJR143C	45
YJL177W	170
YJR032W	20
YJL140W	33
YJR068W	32
YJR017C	26
YJL026W	114
YJL101C	13
YJR041C	48
YJL080C	134
YJR091C	15
YJL121C	17
YJL138C	46
YJL130C	222
snR190	30
YJL069C	50
YJL091C	18
YJL033W	39
YJL041W	23
YJR148W	97
YJL123C	56
YJR123W	442
YJR015W	20
YJL154C	40
YJL035C	10
YJR089W	18
YJL042W	11
YJR003C	14
YJL124C	17
YJR104C	119
YJR070C	73
YJR054W	13
YJL191W	18
YJL109C	135
YJL178C	25
YJL098W	42
YJL196C	19
YJL148W	25
YJL031C	21
YJR132W	45
YJR042W	48
YJR127C	28
YJL210W	8
YJR134C	23
YJL076W	30
YKR092C	65
YKL002W	13
YKL173W	31
YKL180W	204
YKL004W	21
YKL143W	31
YKL172W	105
YKR014C	9
YKR099W	15
YKL110C	25
YKL094W	41
YKR094C	667
YKL157W	90
YKR062W	16
YKR038C	28
YKR048C	46
YKL096W-A	170
YKL014C	32
YKR082W	33
YKL126W	16
YKR072C	19
YKL074C	21
YKL018W	14
YKL135C	20
YKL112W	26
YKR080W	45
YKR068C	18
YKR027W	21
YKL081W	340
YKR001C	51
YKR095W	71
YKL100C	26
YKR074W	31
YKL024C	58
YKL073W	38
YKL104C	44
YKL191W	40
YKR042W	191
YKR013W	30
YKL039W	14
YKL155C	14
YKR089C	14
YKR018C	37
YKR079C	21
YKL027W	23
YKL035W	100
YKL207W	56
YKR066C	26
YKL117W	115
YKL007W	32
YKL021C	43
YKL148C	12
YKL038W	17
YKL125W	20
YKL077W	28
YKR024C	33
YKR056W	34
YKL203C	21
YKR054C	42
YKR057W	304
YKL122C	18
YKL113C	10
YKL213C	29
YKR063C	15
YKL174C	18
YKR011C	15
YKL005C	29
YKL006W	172
YKL182W	393
YKL099C	14
YKL179C	38
YKL047W	6
YKL181W	156
YKL209C	135
YKR086W	19
YKL141W	11
YKL065C	15
YKL013C	52
YKL040C	26
YKL096W	34
YKL210W	158
YKL015W	17
YKL009W	54
YKL195W	53
YKL130C	14
YKL064W	28
YKR026C	15
YKL196C	22
YKL109W	24
YKR071C	10
YKR036C	16
YKR084C	27
YKL216W	171
YKL020C	24
YKL067W	38
YKR031C	13
YKL151C	18
YKL105C	10
YKL082C	14
YKR070W	20
YKR016W	15
YKR059W	59
YKL142W	49
YKL160W	26
YKR043C	27
YKL019W	13
YKL184W	22
YKL176C	35
YKL033W-A	54
YKL010C	39
YKL175W	15
YKL120W	59
YKL068W	21
YKR028W	33
YKL152C	2080
YKL080W	70
YKL185W	19
YKR081C	24
YKL101W	28
YKR008W	28
YKL056C	592
YKL156W	52
YKL204W	9
YKL190W	14
YKL211C	46
YKL127W	16
YKL205W	40
YKR003W	19
YKL028W	24
YKL193C	27
YKL212W	75
YKL054C	47
snR38	10
YKR096W	10
YKL164C	51
YKL079W	18
YKL012W	37
YKL106W	18
YKR065C	24
YKL045W	10
YKR060W	21
YKL085W	34
YKL165C	12
snR64	94
YKL046C	30
YKL058W	14
YKL060C	2824
YKL215C	6
YKL033W	23
YKR023W	19
YKR067W	17
YKL114C	27
YKL145W	147
YKL057C	35
YKL128C	48
YKL008C	32
YKL029C	62
YKL119C	13
YER056C-A	160
YEL054C	146
YEL047C	50
YER172C	42
YEL032W	24
YEL040W	255
YER105C	65
YEL053C	12
YEL046C	40
YER013W	11
YEL036C	57
YER094C	99
YEL034W	406
YER131W	48
YER145C	32
YER176W	25
YER177W	276
YER043C	157
YER141W	16
YER080W	33
YER052C	17
YER070W	96
YEL007W	18
YEL026W	82
YER040W	13
YER012W	21
YEL060C	10
YER081W	41
YER072W	24
YER178W	91
YER030W	15
YER003C	52
YEL065W	15
YEL055C	68
YER089C	26
YER166W	47
YER082C	30
YER125W	27
YER122C	45
YEL033W	19
YER006W	89
YEL002C	87
YER103W	54
YER007C-A	21
YER120W	34
YER164W	0
snR52	115
YEL042W	44
YER008C	18
YER114C	19
YER143W	18
YER048C	63
YER155C	48
snR4	12
YER031C	36
YEL006W	27
YER100W	12
YER129W	28
YER048W-A	12
YER171W	19
YER078C	11
YEL017C-A	26
YER133W	91
YER186C	19
YER022W	14
YER157W	27
YEL038W	19
YER063W	31
YER127W	28
YEL071W	60
YEL043W	21
YER017C	7
YER009W	105
SCR1	108
YER019C-A	13
YEL050C	23
YER062C	42
YER016W	14
YEL025C	25
YER023W	47
YER136W	36
YER151C	30
YER064C	16
YER130C	32
YEL015W	25
YER113C	14
YER005W	39
YER102W	212
YEL031W	99
YER073W	47
YEL027W	179
YER049W	74
YEL037C	37
YER088C	12
YER021W	106
YER004W	15
YER117W	246
YER168C	23
YER124C	93
YER086W	53
YER148W	23
YEL022W	40
YEL001C	33
YER056C	59
YER087C-B	21
YEL013W	21
YER074W	177
YEL051W	49
YEL061C	22
YER036C	143
YEL009C	171
YER156C	52
YER090W	61
snR67	31
YER026C	17
YER025W	66
YER126C	12
YER165W	192
YEL058W	42
YEL020W-A	17
YER077C	16
YER110C	119
YER001W	48
YER087W	12
YER055C	147
YER091C	86
YHR094C	33
YHR045W	39
YHR206W	21
YHR005C-A	28
YHR007C	216
YHR132C	31
YHR025W	43
YHR073W	25
YHR064C	161
YHR143W	34
YHR003C	28
YHR154W	21
YHR031C	12
YHR186C	18
YHR039C-A	92
YHR165C	39
YHL025W	21
YHR079C	14
YHR065C	27
YHR056C	12
YHR135C	29
YHR086W	11
YHR146W	23
YHR195W	12
YHR119W	13
YHL039W	35
YHR026W	109
YHR113W	19
YHR208W	86
YHR001W	16
YHR131C	7
YHR141C	195
YHR170W	198
YHR161C	10
YHR074W	29
YHR164C	20
YHR163W	42
YHR021C	86
YHL034C	48
YHR190W	98
YHR117W	34
YHL015W	457
YHR108W	27
YHR092C	41
YHL003C	35
YHR070W	15
YHR133C	22
YHR098C	47
YHR120W	17
YHL030W	59
YHR203C	274
YHR168W	23
YHR050W	22
YHR027C	97
YHR188C	30
YHR099W	53
YHR196W	32
YHR174W	4173
YHR179W	78
YHR121W	13
YHR063C	30
YHL017W	38
YHL035C	13
YHR115C	27
YHL007C	21
YHR018C	45
YHR068W	82
YHR037W	26
YHR077C	48
YHR052W	38
YHR123W	15
YHR009C	16
YHR072W-A	34
YHR019C	183
YHR104W	14
YHR083W	14
YHR032W	26
YHR008C	24
YHL038C	14
YHL033C	173
YHR066W	34
YHR201C	29
YHR103W	35
YHR082C	28
YHR020W	102
YHR128W	35
YHR047C	71
YHR197W	29
YHR028C	74
YHR137W	19
YHR158C	17
YHR042W	45
YHR069C	12
YHR200W	25
YHR114W	26
YHR039C	23
YHL011C	123
YHR199C	22
YHR193C	50
YHR030C	15
YHR162W	97
YHR089C	22
YHR010W	190
YHR005C	80
YHR183W	113
YHR049W	32
YHR072W	26
YHR107C	22
YHR143W-A	41
YHR023W	81
YHR136C	13
YHL001W	35
YHR181W	18
YIL050W	11
YIL126W	29
YIL026C	18
YIL068C	15
YIL009W	26
YIR004W	17
YIR022W	25
YIL133C	144
YIL123W	30
YIR002C	13
YIL067C	14
YIL110W	25
YIL128W	23
YIL064W	20
YIL147C	26
YIL149C	38
YIR033W	44
YIL105C	18
YIL070C	22
YIL051C	50
YIL118W	18
YIR034C	17
YIL109C	63
YIL039W	33
YIL074C	47
YIL022W	23
YIL030C	41
YIL014W	20
YIL137C	19
YIR037W	15
YIL143C	13
YIR008C	21
YIL129C	38
YIL124W	25
YIL115C	45
YIL035C	44
YIL094C	63
YIL103W	5
YIL002C	30
YIR012W	25
YIL112W	26
YIL075C	113
YIL018W	997
YIL085C	39
snR68	13
YIL076W	40
YIL053W	255
YIL062C	51
YIL019W	14
YIL093C	13
YIL020C	23
YIL023C	13
YIL142W	89
YIL034C	14
YIL091C	38
YIL078W	417
YIL052C	292
YIL125W	17
YIL138C	17
YIL130W	30
YIL043C	92
YIL021W	32
YIL038C	29
YIL157C	10
YIL121W	27
YIL088C	33
YIL148W	456
YIL145C	57
YIR006C	36
YIR035C	10
YIL036W	19
YIL033C	36
YIL041W	39
YIL090W	26
YIL069C	66
YIL047C	51
YIL015W	40
YIL116W	12
YCR031C	124
YCL011C	86
YCL040W	70
YCR052W	20
YCL024W	15
YCR036W	24
YCR092C	8
YCL034W	28
YCR094W	10
YCL028W	11
YCR011C	53
YCL057W	50
YCR002C	26
YCR035C	39
YCR032W	13
YCL059C	18
YCR017C	42
YCR043C	23
YCL009C	85
YCL045C	63
YCR088W	32
YCR037C	16
YCR077C	22
YCR009C	27
YCR053W	135
YCR072C	22
YCR057C	45
YCL030C	161
YCR008W	20
YCR042C	41
YCL055W	12
YCL031C	26
YCR033W	14
YCR024C-B	92
YCR034W	28
YCL052C	14
YCR004C	33
YCR059C	11
YCR028C-A	21
YCL064C	50
YCR028C	13
YCR084C	40
YCL017C	15
YCL014W	21
YCL050C	52
YCR067C	22
YCR047C	21
YCR026C	12
YCR093W	51
YCR012W	1830
YCL043C	331
YCL025C	16
YCR023C	10
YCR030C	20
YCR016W	20
YCL054W	53
YCR024C-A	31
YFL026W	174
YFR052W	26
YFL018C	26
YFR006W	45
YFL024C	30
YFL013C	17
YFL046W	27
YFR055W	23
YFR013W	17
YFR044C	55
YFR009W	64
YFL045C	98
YFL047W	29
YFR032C-A	58
YFR024C-A	37
YFR002W	48
YFL033C	19
YFL008W	44
YFR005C	11
YFL022C	47
YFL028C	27
YFL002C	22
YFR001W	16
YFR031C-A	294
YFL010C	21
YFR030W	22
YFL039C	364
YFR040W	19
YFL036W	18
YFR053C	24
YFL048C	36
YFL037W	124
YFL034C-A	24
YFR010W	36
YFR038W	23
YFL031W	84
YFL005W	64
YFR019W	22
YFR050C	20
YFL038C	159
YFR015C	11
YFR051C	26
YFR016C	26
YFR037C	37
YFR033C	21
YFR031C	40
YFL007W	119
YFL004W	67
YFL009W	20
YFR004W	30
YAL016W	117
YAL003W	284
YAL053W	20
YAL019W	21
YAL025C	18
YAL023C	63
YAL026C	43
YAL042W	46
YAL038W	2854
YAR003W	19
YAR007C	21
YAL060W	20
YAL017W	11
snR18	56
YAL001C	27
YAL056W	34
YAL059W	16
YAL005C	155
YAL035W	145
YAR014C	24
YAL036C	38
YAL002W	13
YAL021C	16
YAR002C-A	47
YAL029C	53
YAR015W	135
YAL041W	24
YAR042W	23
YAL043C	12
YAL044C	45
YAL058W	16
YAL012W	134
YAL007C	20
