column	rank	gene	z_vs_others	expression	marker_label	specificity	stability
root_hair	25	TraesCS5A03G0951600	108.387672	141.850000	8RootHair	specific	stable
root_hair	26	TraesCS5B03G0548400LC	107.924019	8.010000			
root_hair	27	TraesCS1B03G0110500	107.607468	34.400000			
root_hair	28	TraesCS5A03G0951500	106.715850	9.190000			
root_hair	29	TraesCS2B03G1100500	105.847730	110.510000	8RootHair		
root_hair	30	TraesCS2D03G0496100	103.064590	265.330000	8RootHair		
root_hair	31	TraesCS3D03G1167900	102.732665	11.780000			
root_hair	32	TraesCS7D03G0907800	101.888368	6.830000			
root_hair	33	TraesCS5D03G0906800	101.836209	285.120000	8RootHair		
root_hair	34	TraesCS1B03G0637100	101.244134	211.130000	8RootHair		
root_hair	35	TraesCS3B03G1201700	96.163161	21.210000			
root_hair	36	TraesCS5D03G1128100LC	94.440151	7.780000			
root_hair	37	TraesCS4A03G1182000	93.271409	119.940000			
root_hair	38	TraesCS2A03G0508300	93.113166	336.020000	8RootHair	specific	stable
root_hair	39	TraesCS2A03G1162200	92.174240	47.830000			
root_hair	40	TraesCS3A03G0797500	90.433775	11.070000			
root_hair	41	TraesCS1D03G0527600	89.459832	699.370000	8RootHair		
root_hair	42	TraesCS6B03G1298500	88.676738	24.980000			
root_hair	43	TraesCS4A03G1103000	88.546061	75.170000			
root_hair	44	TraesCS4A03G0828300	88.133353	16.970000			
root_hair	45	TraesCS3B03G0268700	88.085722	188.510000			
root_hair	46	TraesCS2B03G1142900	87.596351	7.070000			
root_hair	47	TraesCS2A03G1281500	86.808638	193.460000	8RootHair	specific	stable
root_hair	48	TraesCS2A03G0991200	85.836294	124.650000	8RootHair	specific	stable
root_hair	49	TraesCS2A03G1162700	85.715228	256.840000	8RootHair	specific	stable
root_hair	50	TraesCS3B03G0268300	84.672326	26.390000			
xylem	1	TraesCS7B03G0256100	280.231309	20.030000			
xylem	2	TraesCS3B03G0980500	182.822458	17.270000			
xylem	3	TraesCS3A03G0770200	149.436828	22.030000			
xylem	4	TraesCS2A03G0434100	142.165679	8.510000			
xylem	5	TraesCS3D03G0784500	138.835514	23.280000			
xylem	6	TraesCS7D03G0431400	119.142451	20.030000			
xylem	7	TraesCS4B03G1000600	102.673681	8.760000			
xylem	8	TraesCS2B03G1548500	101.458302	7.510000			
xylem	9	TraesCS5A03G1040600	100.923422	5.260000			
xylem	10	TraesCS4A03G0827500	94.847169	5.260000			
xylem	11	TraesCS3D03G0711800	84.182692	14.770000			
xylem	12	TraesCS3A03G0856600	83.483947	8.510000			
xylem	13	TraesCS7A03G0798700	80.642118	6.260000			
xylem	14	TraesCS4A03G0787000	78.970382	9.260000			
xylem	15	TraesCS5A03G0744900	76.548208	31.040000	10Xylem	specific	stable
xylem	16	TraesCS6A03G0651300	75.299460	7.260000			
xylem	17	TraesCS1D03G0678500	74.595948	5.010000			
xylem	18	TraesCS7D03G1014000	73.938837	41.810000	10Xylem		
xylem	19	TraesCS1A03G0715100	71.843992	11.770000			
xylem	20	TraesCS1B03G0815900	68.502341	8.010000			
xylem	21	TraesCS5B03G1367300	61.061688	8.010000			
xylem	22	TraesCS1D03G0645100	60.459295	95.880000	10Xylem	specific	stable
xylem	23	TraesCS7A03G0642000	59.631415	5.760000			
xylem	24	TraesCS2D03G0379800	59.327689	48.320000	10Xylem		
xylem	25	TraesCS5A03G0760900	57.666742	17.270000			
xylem	26	TraesCS4D03G0606000	55.691041	12.770000			
xylem	27	TraesCS4A03G1225100	53.882807	29.540000			
xylem	28	TraesCS5D03G1199600	53.369763	6.510000			
xylem	29	TraesCS7B03G0636500LC	52.068687	9.760000			
xylem	30	TraesCS5A03G0254500	50.033679	14.020000			
xylem	31	TraesCS2D03G0870600	44.396749	14.020000			
xylem	32	TraesCSU03G0020100	39.147386	347.980000			
xylem	33	TraesCS2A03G0096500	38.535752	13.520000			
xylem	34	TraesCS5A03G0908100LC	38.167839	11.020000			
xylem	35	TraesCS5D03G0583700	37.583483	15.520000			
xylem	36	TraesCS3D03G0074900	36.784977	11.770000			
xylem	37	TraesCS2B03G1201600	36.220453	10.010000			
xylem	38	TraesCS6B03G0800700	35.926783	90.620000	10Xylem	unspecific	unstable
xylem	39	TraesCS4B03G0539700	35.835918	8.260000			
xylem	40	TraesCS6A03G0191800	35.544538	21.280000			
xylem	41	TraesCS1B03G0817000	34.845861	6.760000			
xylem	42	TraesCS4B03G0543300	33.651005	13.020000			
xylem	43	TraesCS3D03G0971300	32.513109	10.510000			
xylem	44	TraesCS7B03G0904700	31.148618	73.600000	10Xylem		
xylem	45	TraesCS4A03G0782500	30.422890	3.500000			
xylem	46	TraesCS2A03G0363200	29.170904	408.060000	10Xylem	unspecific	unstable
xylem	47	TraesCS5D03G0571000	29.115240	11.770000			
xylem	48	TraesCS5A03G0393600	28.625572	12.520000			
xylem	49	TraesCS5A03G1102200	28.624767	3.760000			
xylem	50	TraesCS5A03G0388600	25.825675	2402.040000	14RootCap_10Xylem	unspecific	stable
