rank	gene_id	gene_symbol	annotated_transcripts	active_transcripts	count_a	count_b	tpm_a	tpm_b	tv_count	tv_tpm	js_count	g_stat	max_share_shift	robust_score
190	ENSG00000111732.12	AICDA	9	4	32.000000	26.000000	56.570961	51.006291	1.000000	1.000000	1.000000	79.783271	0.702281	5.099020
191	ENSG00000112237.13	CCNC	19	4	28.000000	26.000000	63.559793	161.605485	1.000000	1.000000	1.000000	74.785804	1.000000	5.099020
192	ENSG00000196730.13	DAPK1	19	3	26.000000	26.000000	19.882226	26.887131	1.000000	1.000000	1.000000	72.087307	1.000000	5.099020
193	ENSG00000131238.18	PPT1	19	3	39.000000	26.000000	82.827946	75.465368	1.000000	1.000000	1.000000	87.491517	1.000000	5.099020
194	ENSG00000100883.13	SRP54	23	3	38.000000	26.000000	83.167849	69.992510	1.000000	1.000000	1.000000	86.459467	1.000000	5.099020
195	ENSG00000133226.19	SRRM1	26	4	26.000000	29.000000	31.112104	96.424816	1.000000	1.000000	1.000000	76.082472	1.000000	5.099020
196	ENSG00000175216.15	CKAP5	12	4	36.000000	26.000000	47.878117	25.304047	1.000000	1.000000	1.000000	84.330280	0.945167	5.099020
197	ENSG00000178252.19	WDR6	22	2	27.000000	25.717000	37.299165	32.530836	1.000000	1.000000	1.000000	73.050052	1.000000	5.071193
198	ENSG00000075624.17	ACTB	23	8	2392.740000	2442.001000	7595.008222	7706.130684	0.102311	0.197300	0.050199	337.443366	0.080931	5.004628
199	ENSG00000178719.17	GRINA	10	4	25.000000	29.000000	79.397657	177.020240	1.000000	1.000000	1.000000	74.563328	0.874120	5.000000
200	ENSG00000138029.14	HADHB	9	4	25.000000	28.000000	71.614647	117.016262	1.000000	1.000000	1.000000	73.303699	0.824857	5.000000
