tissue	marker	gene_id	gene_name	seq	start	counts_by_sample
Intestine	APOB	AMEX60DD033072	APOB	chr4p	293602443	151,275,87,161,229,223,725,415,190,385,211,366,283,129,52
Intestine	ACE	AMEX60DD037387	ACE [nr]|DCP1 [hs]	chr5p	335227466	140,249,111,155,194,199,187,232,285,70,189,281,148,116,78
Intestine	SLC6A19	AMEX60DD038813	SLC6A19	chr5p	1271429760	298,803,158,201,473,346,2387,877,427,291,361,639,526,246,967
Intestine	FABP2	AMEX60DD044220	DNTS_006402 [nr]|FABP2 [hs]	chr6q	218214107	215,461,364,242,439,303,515,225,734,158,237,465,169,123,222
Intestine	FABP2	AMEX60DD044221	FABP2	chr6q	218315737	372,754,461,294,1012,689,3894,510,1032,1090,454,681,371,314,818
Intestine	FABP1	AMEX60DD046133	FABP1 [hs]	chr6q	1435727765	789,677,2774,781,1051,919,6994,1947,809,2206,1081,2209,1118,313,5120
Intestine	APOA4	AMEX60DD053941	APOA4	chr9p	175571916	111,181,115,259,218,216,1642,241,216,470,181,313,149,45,109
Intestine	APOA4	AMEX60DD053942	APOA4.S [nr]|APOA4 [hs]	chr9p	175572148	221,303,84,271,277,275,1829,322,393,717,192,438,188,98,88
Intestine	APOA4	AMEX60DD053946	APOA4.S [nr]|APOA4 [hs]	chr9p	176028669	176,222,95,162,350,307,745,200,304,186,215,433,212,78,93
Intestine	VIL1	AMEX60DD056279	VIL1	chr9q	896042593	627,911,1198,421,876,577,2159,1195,784,267,617,1702,877,363,1193
Kidney	SLC12A1	AMEX60DD003743	SLC12A1	chr11p	183053484	351,392,213,235,501,442,236,435,452,189,327,638,570,163,210
Kidney	UMOD	AMEX60DD005630	LOC115100567 [nr]|UMOD [hs]	chr11q	876038895	480,702,267,327,1308,434,388,380,634,269,435,634,1415,163,309
Kidney	UMOD	AMEX60DD005631	LOC115100567 [nr]|UMOD [hs]	chr11q	876499743	298,617,344,306,2315,602,544,370,765,271,628,746,553,165,280
Kidney	UMOD	AMEX60DD005670	LOC115073433 [nr]|UMOD [hs]	chr11q	886731093	951,788,839,337,4023,737,920,591,1311,261,860,1161,1311,423,679
Kidney	UMOD	AMEX60DD005672	LOC108709478 [nr]|UMOD [hs]	chr11q	887025151	748,599,385,269,2010,835,490,459,935,254,737,794,706,1329,416
Kidney	UMOD	AMEX60DD005673	THDL17.L [nr]|UMOD [hs]	chr11q	887337641	429,706,346,275,2846,582,447,451,937,148,465,738,812,414,228
Kidney	UMOD	AMEX60DD005678	LOC115073438 [nr]|UMOD [hs]	chr11q	888097597	478,637,197,274,3210,478,327,426,781,167,506,821,568,236,217
Kidney	UMOD	AMEX60DD005679	LOC108709478 [nr]|UMOD [hs]	chr11q	888494715	459,680,303,280,596,508,470,421,587,186,496,605,604,290,216
Kidney	UMOD	AMEX60DD005682	LOC108709109 [nr]|UMOD [hs]	chr11q	889758741	383,525,206,222,592,628,359,455,620,177,486,780,561,249,191
Kidney	UMOD	AMEX60DD005687	LOC100126633 [nr]|UMOD [hs]	chr11q	891858497	166,260,92,113,685,331,215,159,317,83,235,367,197,122,105
Kidney	UMOD	AMEX60DD005690	LOC100126633 [nr]|UMOD [hs]	chr11q	892833783	207,349,140,165,597,405,186,366,434,150,284,548,210,143,123
Kidney	UMOD	AMEX60DD005693	LOC100126633 [nr]|UMOD [hs]	chr11q	893004072	378,699,279,284,2519,579,386,457,856,195,480,717,504,240,265
Kidney	UMOD	AMEX60DD005695	LOC115370421 [nr]|UMOD [hs]	chr11q	893243862	315,518,178,314,624,594,218,422,513,151,466,631,454,279,157
Kidney	UMOD	AMEX60DD005719	LOC115100572 [nr]|UMOD [hs]	chr11q	896865889	206,295,221,97,353,406,221,164,332,73,241,387,202,165,121
Kidney	UMOD	AMEX60DD005727	LOC100126633 [nr]|UMOD [hs]	chr11q	898809027	345,448,170,205,527,408,225,325,478,157,266,460,447,255,128
Kidney	UMOD	AMEX60DD005728	LOC108708109 [nr]|UMOD [hs]	chr11q	898909977	191,415,145,159,232,203,148,165,258,106,192,309,184,195,77
Kidney	UMOD	AMEX60DD005735	LOC108708109 [nr]|UMOD [hs]	chr11q	899776540	423,568,276,249,1542,680,343,404,700,181,573,769,508,308,248
Kidney	UMOD	AMEX60DD005736	LOC108708109 [nr]|UMOD [hs]	chr11q	900733572	615,690,413,548,3670,1286,639,544,1060,312,891,1433,604,410,396
Kidney	UMOD	AMEX60DD005737	LOC115072994 [nr]|UMOD [hs]	chr11q	901718522	1053,626,277,325,2728,783,415,551,978,186,768,920,780,420,267
Kidney	UMOD	AMEX60DD005740	LOC108792778 [nr]|UMOD [hs]	chr11q	903107512	473,660,275,212,1168,676,311,456,733,152,506,797,789,332,318
Kidney	UMOD	AMEX60DD005744	LOC115072994 [nr]|UMOD [hs]	chr11q	904335593	635,529,327,187,3707,494,650,360,959,150,629,989,710,171,911
Kidney	NPHS1	AMEX60DD015989	NPHS1 [nr]	chr1p	1108664147	332,461,222,300,508,540,176,366,504,171,403,707,309,274,112
Kidney	NPHS2	AMEX60DD018683	NPHS2	chr1q	806137237	552,742,476,302,1220,810,481,632,737,232,723,871,822,375,297
Kidney	UMOD	AMEX60DD020628	UMOD	chr2p	207196769	299,400,156,255,269,348,176,286,479,74,264,560,260,124,257
Kidney	UMOD	AMEX60DD020629	UMOD [nr]	chr2p	207313905	60,129,46,83,144,165,37,84,111,21,129,166,97,37,78
Kidney	KRT8	AMEX60DD029811	K8 [nr]|KRT8 [hs]	chr3q	530644213	153,154,315,42,190,307,295,204,195,118,258,345,363,30,249
Kidney	KCNJ16	AMEX60DD031220	KCNJ16.L [nr]|KCNJ16 [hs]	chr3q	1189745040	553,614,296,271,2782,401,569,680,1026,234,504,725,1271,258,855
Kidney	EPCAM	AMEX60DD035908	EPCAM.S [nr]|EPCAM [hs]	chr4q	787659558	1205,779,708,288,4250,449,1830,819,2009,268,1365,1176,3197,263,1373
Kidney	SLC9A3	AMEX60DD039002	NHE3 [nr]|SLC9A3 [hs]	chr5q	83458938	422,747,338,485,886,708,486,444,807,242,531,816,876,262,440
Kidney	KRT8	AMEX60DD049404	LOC108786844 [nr]|KRT8 [hs]	chr7q	712882450	98,184,75,45,203,111,90,99,160,28,113,97,116,34,31
Kidney	KRT8	AMEX60DD049406	LOC108786844 [nr]|KRT8 [hs]	chr7q	715321286	100,288,107,68,328,165,98,157,162,26,133,169,161,65,55
Kidney	PAX2	AMEX60DD051628	PAX2	chr8p	636504480	818,776,856,277,936,970,906,866,596,291,720,1271,2707,406,358
Kidney	KRT8	AMEX60DD056258	LOC108783876 [nr]|KRT8 [hs]	chr9q	891169248	1529,1633,1976,541,4028,1366,1444,1389,1696,467,2224,1456,4540,830,1523
Limb	TBX5	AMEX60DD001050	TBX5	chr10p	438898467	141,195,61,46,277,533,87,83,379,49,339,119,273,58,48
Limb	TBX5	AMEX60DD001054	TBX5 [nr]	chr10p	439458742	237,278,218,48,353,800,239,84,459,102,580,243,344,108,101
Limb	MYF5	AMEX60DD007644	MYF-5 [nr]|MYF5 [hs]	chr12q	439973427	526,845,471,280,932,0,644,594,1006,198,671,749,519,249,388
Limb	MYOG	AMEX60DD008545	MYOG	chr13p	44546883	373,749,334,284,1030,0,367,352,735,167,593,830,518,296,482
Limb	COL1A1	AMEX60DD009937	COL1A1	chr13q	239179656	1374,916,1840,387,2351,0,1997,479,2143,851,2074,1528,933,304,2040
Limb	PRRX1	AMEX60DD018448	PRRX1 [hs]	chr1q	675430974	176,257,80,112,300,214,126,149,356,46,190,297,146,99,55
Limb	PRRX1	AMEX60DD018449	PRRX1 [hs]	chr1q	675430974	171,299,96,130,247,159,132,198,348,55,180,306,192,84,117
Limb	PRRX1	AMEX60DD018450	PRRX1	chr1q	675574263	843,1605,384,353,1993,1852,479,939,2688,363,980,895,992,232,375
Limb	COL2A1	AMEX60DD029426	COL2A1 [hs]	chr3q	375692686	729,1273,590,419,2184,1594,765,865,1886,226,1042,1092,1169,305,681
Limb	SOX9	AMEX60DD031236	SOX9	chr3q	1207722897	2998,3884,5546,926,7068,3906,4688,2744,4510,1016,5506,4642,8502,752,3666
Limb	RUNX2	AMEX60DD032921	RUNX2	chr4p	222659201	424,1002,249,326,875,702,448,477,970,238,585,747,957,472,300
Limb	RUNX2	AMEX60DD032922	RUNX2	chr4p	222934982	1419,2011,1442,438,3809,3161,1953,1086,2718,794,2934,2270,2418,2254,1528
Limb	MSX1	AMEX60DD045885	MSX1	chr6q	1310830068	1307,1496,1238,449,2181,2963,1525,854,1949,509,2038,1209,1888,785,1194
Limb	PAX7	AMEX60DD052322	PAX7	chr8q	277437891	331,481,724,281,488,546,680,386,648,332,432,954,447,213,515
Liver	FETUB	AMEX60DD001674	FETUB.S [nr]|FETUB [hs]	chr10p	787705464	224,348,154,203,196,229,191,260,326,113,234,553,187,83,145
Liver	FETUB	AMEX60DD001679	FETUB.S [nr]|FETUB [hs]	chr10p	788990431	263,440,151,259,455,386,179,280,460,1983,297,573,341,103,102
Liver	FETUB	AMEX60DD001680	FETUB [nr]	chr10p	789016212	242,413,176,294,418,373,215,316,378,1603,304,549,297,106,121
Liver	FETUB	AMEX60DD001681	DR999_PMT18775 [nr]|FETUB [hs]	chr10p	789051085	371,481,181,267,445,416,179,319,495,293,440,592,298,119,146
Liver	G6PC	AMEX60DD009798	G6PC.1.L [nr]|G6PC [hs]	chr13q	188887555	307,349,721,533,440,0,2368,760,567,1974,476,1331,341,154,1405
Liver	G6PC	AMEX60DD009801	G6PC.1.S [nr]|G6PC [hs]	chr13q	189096455	367,643,238,389,596,0,1257,1031,654,2688,597,1290,667,220,826
Liver	G6PC	AMEX60DD009804	LOC115481674 [nr]|G6PC [hs]	chr13q	189469290	202,412,171,247,265,0,342,240,321,512,209,911,226,84,198
Liver	FETUB	AMEX60DD012620	FETUB	chr1p	53901134	109,300,74,189,230,182,190,180,289,121,178,373,167,99,106
Liver	TAT	AMEX60DD016957	TAT	chr1q	23192101	102,177,55,121,248,153,131,186,237,765,183,298,101,47,63
Liver	PCK1	AMEX60DD027319	PCK1	chr3p	343711894	790,1297,454,536,2964,988,1788,3100,1155,1542,1118,1220,909,1277,1789
Liver	PCK1	AMEX60DD027320	PCK1	chr3p	343908109	489,1048,275,458,975,825,828,1558,893,687,585,1092,565,477,656
Liver	PCK1	AMEX60DD027323	PCK1	chr3p	344770051	364,680,245,281,657,586,556,560,589,268,370,943,555,265,3698
Liver	HNF4A	AMEX60DD027627	HNF4A	chr3p	509442804	315,666,566,355,570,454,1227,967,536,705,413,1241,403,255,985
Liver	APOB	AMEX60DD033071	APOB	chr4p	293580321	376,523,333,270,495,459,2728,1008,394,845,441,508,760,195,385
Liver	APOB	AMEX60DD033072	APOB	chr4p	293602443	151,275,87,161,229,223,725,415,190,385,211,366,283,129,52
Liver	TTR	AMEX60DD039609	TTR [nr]	chr5q	461622866	1200,797,537,362,4409,988,1495,794,1988,898,920,941,895,402,1300
Liver	ALB	AMEX60DD044372	ALB [nr]	chr6q	290577725	219,501,666,378,408,338,276,285,546,470,248,671,255,110,132
Liver	ALB	AMEX60DD044373	ALB	chr6q	291817821	351,364,318,298,665,374,329,301,418,833,363,530,289,85,199
Liver	APOA1	AMEX60DD053940	APOA1	chr9p	175494993	348,581,280,333,633,569,2447,577,598,1201,467,939,555,222,290
Liver	APOA1	AMEX60DD053945	APOA1.L [nr]|APOA1 [hs]	chr9p	175865939	198,302,71,222,538,416,489,281,365,361,375,349,311,105,97
Lung	SFTPC	AMEX60DD002783	SFTPC	chr10q	313522128	705,1126,662,241,1990,1117,877,539,1301,411,4030,1064,1028,556,613
Lung	SLC5A8	AMEX60DD007748	SLC5A8	chr12q	509752404	384,617,1144,209,1633,0,495,309,1093,214,1430,759,461,214,410
Lung	SLC5A8	AMEX60DD008332	LOC108787171 [nr]|SLC5A8 [hs]	chr12q	818727584	100,166,107,113,55,0,109,167,151,50,82,221,116,84,213
Lung	SLC5A8	AMEX60DD008344	SLC5A8	chr12q	823928675	557,823,490,293,923,0,674,710,888,321,848,1047,761,387,400
Lung	SLC5A8	AMEX60DD008346	LOC115089383 [nr]|SLC5A8 [hs]	chr12q	825152216	714,890,632,297,1676,0,780,641,1015,352,1013,893,1332,419,748
Lung	SLC5A8	AMEX60DD008350	LOC108713211 [nr]|SLC5A8 [hs]	chr12q	827663359	19,19,118,17,264,0,33,67,27,15,509,41,28,6,60
Lung	SLC5A8	AMEX60DD008351	LOC115090519 [nr]|SLC5A8 [hs]	chr12q	827720238	96,160,129,130,223,0,172,149,156,88,452,238,126,74,148
Lung	NKX2-1	AMEX60DD012245	NKX2-1	chr14q	420533072	319,608,262,284,864,0,357,303,564,190,1826,690,397,233,210
Lung	FOXJ1	AMEX60DD020274	LOC102358567 [nr]|FOXJ1 [hs]	chr2p	44960205	260,416,123,326,366,216,149,196,395,137,230,583,227,147,131
Lung	FOXJ1	AMEX60DD030832	FOXJ1	chr3q	1009763604	1024,845,413,672,1347,611,1629,1495,819,467,1038,1353,1055,267,883
Lung	SLC34A2	AMEX60DD045744	EOD39_3640 [nr]|SLC34A2 [hs]	chr6q	1217316639	196,467,127,182,432,378,283,335,362,140,326,608,337,144,146
Lung	SLC34A2	AMEX60DD045746	SLC34A2	chr6q	1218360711	373,620,254,180,763,662,469,464,630,249,618,722,484,312,215
Lung	SFTPD	AMEX60DD052268	SFTPD	chr8q	258172694	466,493,222,238,579,542,207,423,709,704,628,754,433,196,178
Lung	SFTPD	AMEX60DD052272	LOC100496055 [nr]|SFTPD [hs]	chr8q	258745999	723,471,266,279,776,517,303,429,693,265,1355,974,433,180,254
Lung	SFTPA2B	AMEX60DD052274	LOC115095564 [nr]|SFTPA2B [hs]	chr8q	259080311	212,314,126,154,317,324,153,258,335,123,2241,596,282,96,95
Pancreas	CTRB2	AMEX60DD002132	LOC115096112 [nr]|CTRB2 [hs]	chr10p	1035617145	193,278,89,123,227,180,161,187,206,71,180,614,184,145,95
Pancreas	SST	AMEX60DD003175	SST	chr10q	478584245	299,802,276,276,757,359,377,362,456,164,290,823,198,184,224
Pancreas	INS	AMEX60DD004533	INS	chr11q	248415590	78,248,82,113,148,154,156,123,190,90,156,394,123,92,105
Pancreas	INS	AMEX60DD004535	INS	chr11q	248982032	79,128,39,48,89,85,48,70,90,10,91,226,68,17,39
Pancreas	CPA1	AMEX60DD008045	LOC115478702 [nr]|CPA1 [hs]	chr12q	682030869	391,614,213,275,548,0,378,441,637,351,347,7894,376,472,212
Pancreas	PPY	AMEX60DD009929	PPY	chr13q	236244205	208,507,537,316,355,0,252,262,457,160,289,1536,387,102,180
Pancreas	CTRL	AMEX60DD015581	CTRL [hs]	chr1p	970083265	294,492,208,207,521,461,281,364,531,155,424,4788,389,305,199
Pancreas	CTRB2	AMEX60DD015583	LOC115471220 [nr]|CTRB2 [hs]	chr1p	970339466	305,433,122,268,452,364,263,375,433,175,376,2520,364,153,166
Pancreas	CTRL	AMEX60DD015584	LOC115095335 [nr]|CTRL [hs]	chr1p	970416626	446,354,164,341,617,712,357,394,663,367,561,7174,307,562,286
Pancreas	CTRL	AMEX60DD015585	LOC115095335 [nr]|CTRL [hs]	chr1p	970522844	371,473,202,251,651,570,367,357,760,256,561,5484,390,360,386
Pancreas	CTRB2	AMEX60DD015607	LOC108789591 [nr]|CTRB2 [hs]	chr1p	974713187	200,360,211,263,320,258,259,240,376,140,325,1689,280,108,181
Pancreas	CTRB1	AMEX60DD015608	LOC108248653 [nr]|CTRB1 [hs]	chr1p	974713264	203,382,97,115,354,274,182,238,402,125,207,4674,347,167,64
Pancreas	CTRB1	AMEX60DD015609	LOC108789591 [nr]|CTRB1 [hs]	chr1p	974829174	376,551,387,503,603,667,442,440,597,253,553,3783,444,184,245
Pancreas	CTRB2	AMEX60DD015656	LOC108715072 [nr]|CTRB2 [hs]	chr1p	996142679	278,527,150,280,434,430,290,337,495,137,365,5025,389,161,171
Pancreas	CTRB2	AMEX60DD015657	LOC105305376 [nr]|CTRB2 [hs]	chr1p	996370311	313,497,204,269,449,424,282,279,413,167,391,934,356,139,213
Pancreas	CTRB2	AMEX60DD015658	LOC102565040 [nr]|CTRB2 [hs]	chr1p	996598428	425,522,747,145,1077,365,885,493,670,395,858,1806,1238,310,390
Pancreas	PRSS3	AMEX60DD016127	LOC108697291 [nr]|PRSS3 [hs]	chr1p	1149924695	241,383,541,241,371,407,712,308,446,97,320,2113,228,153,110
Pancreas	PRSS3	AMEX60DD016129	LOC108697291 [nr]|PRSS3 [hs]	chr1p	1150348808	223,284,516,225,226,200,908,285,203,92,204,1141,190,94,163
Pancreas	PRSS1	AMEX60DD018148	LOC115076178 [nr]|PRSS1 [hs]	chr1q	537405093	269,478,209,283,481,526,340,354,543,201,474,1150,411,123,167
Pancreas	AMY2A	AMEX60DD019225	LOC115471867 [nr]|AMY2A [hs]	chr1q	1098080362	310,427,275,237,202,207,394,357,413,194,201,3535,401,175,200
Pancreas	AMY2A	AMEX60DD019226	LOC104526273 [nr]|AMY2A [hs]	chr1q	1098183180	308,472,242,268,581,621,260,329,480,159,563,926,380,225,159
Pancreas	SYCN	AMEX60DD024310	SYCN	chr2q	626914184	603,1090,767,712,658,560,1098,694,1220,433,432,21502,840,406,797
Pancreas	PRSS1	AMEX60DD026406	LOC115457932 [nr]|PRSS1 [hs]	chr3p	26755545	712,818,421,348,690,716,577,443,644,279,550,6232,756,281,415
Pancreas	PRSS3	AMEX60DD026417	LOC115457932 [nr]|PRSS3 [hs]	chr3p	27859619	1201,1368,816,735,1070,1055,974,836,1125,513,907,12228,878,459,593
Pancreas	CELA1	AMEX60DD029629	CELA1 [nr]	chr3q	457527312	379,713,309,291,698,527,534,499,632,188,568,11829,639,291,255
Pancreas	CEL	AMEX60DD033814	EOD39_21063 [nr]|CEL [hs]	chr4p	746724672	195,386,110,131,202,219,175,236,286,95,263,519,204,84,105
Pancreas	PDX1	AMEX60DD045543	LOC109927410 [nr]|PDX1 [hs]	chr6q	1062616002	278,541,713,501,919,583,900,335,638,231,849,755,525,188,713
Pancreas	CEL	AMEX60DD050451	CEL	chr8p	63490416	311,553,355,327,473,401,502,306,383,247,430,7461,407,142,285
Pancreas	PRSS3	AMEX60DD051534	LOC115076830 [nr]|PRSS3 [hs]	chr8p	602295054	259,441,94,246,334,357,324,270,421,111,299,537,231,120,174
Pancreas	GCG	AMEX60DD055775	GCG	chr9q	529627357	351,600,481,197,779,579,501,393,572,199,570,796,602,269,322
Prostate	NKX3-1	AMEX60DD002967	NKX3-1	chr10q	407989249	92,124,124,60,197,150,76,56,138,38,128,174,117,57,47
Prostate	FOXA1	AMEX60DD012261	FOXA1	chr14q	425197883	1749,1082,2051,394,4145,0,1413,731,1525,268,2250,1322,4276,501,2091
Prostate	TGM4	AMEX60DD022062	TGM4	chr2p	938854490	297,585,415,297,624,407,373,317,458,171,408,697,310,168,217
Prostate	KRT18	AMEX60DD029807	KRT18	chr3q	529769361	713,565,1504,328,625,1120,1231,606,783,733,1217,1558,1367,218,1396
Prostate	KRT8	AMEX60DD029811	K8 [nr]|KRT8 [hs]	chr3q	530644213	153,154,315,42,190,307,295,204,195,118,258,345,363,30,249
Prostate	TMPRSS2	AMEX60DD034493	LOC106704083 [nr]|TMPRSS2 [hs]	chr4p	1147032350	197,394,128,151,398,305,218,217,368,80,297,437,268,147,119
Prostate	SRD5A2	AMEX60DD035184	SRD5A2 [nr]	chr4q	289971870	101,86,44,42,111,90,93,181,71,27,104,138,308,39,66
Prostate	AR	AMEX60DD036993	AR	chr5p	101764816	1252,2149,1575,521,3092,2512,2178,1693,2696,963,3621,2449,6117,1668,1751
Prostate	TMPRSS2	AMEX60DD047139	TMPRSS2	chr7p	162471523	947,994,604,410,1495,781,1185,1225,1064,503,1150,818,2873,288,872
Prostate	KRT8	AMEX60DD049404	LOC108786844 [nr]|KRT8 [hs]	chr7q	712882450	98,184,75,45,203,111,90,99,160,28,113,97,116,34,31
Prostate	KRT8	AMEX60DD049406	LOC108786844 [nr]|KRT8 [hs]	chr7q	715321286	100,288,107,68,328,165,98,157,162,26,133,169,161,65,55
Prostate	KRT18	AMEX60DD050768	LOC102682806 [nr]|KRT18 [hs]	chr8p	209488242	690,696,463,360,1170,725,551,567,655,216,916,939,991,256,424
Prostate	MSMB	AMEX60DD051701	LOC104073169 [nr]|MSMB [hs]	chr8p	685988378	437,533,339,283,560,726,307,476,709,246,552,750,661,223,901
Prostate	MSMB	AMEX60DD051714	LOC104478335 [nr]|MSMB [hs]	chr8p	692887514	341,650,139,211,408,490,286,397,570,156,355,589,433,222,162
Prostate	KRT18	AMEX60DD056257	LOC115474785 [nr]|KRT18 [hs]	chr9q	891029149	1529,1633,1976,541,4028,1366,1444,1389,1696,467,2224,1456,4540,830,1523
Prostate	KRT8	AMEX60DD056258	LOC108783876 [nr]|KRT8 [hs]	chr9q	891169248	1529,1633,1976,541,4028,1366,1444,1389,1696,467,2224,1456,4540,830,1523
Spleen	MPEG1	AMEX60DD007152	LOC115074683 [nr]|MPEG1 [hs]	chr12q	192827006	75,41,32,29,207,0,73,60,127,32,85,53,193,39,54
Spleen	MPEG1	AMEX60DD007158	LOC115074683 [nr]|MPEG1 [hs]	chr12q	194723859	714,235,666,102,1462,0,737,300,922,346,744,387,1235,257,625
Spleen	MPEG1	AMEX60DD007219	MPEG1	chr12q	214910239	153,84,46,46,1104,0,115,55,519,35,126,145,72,44,150
Spleen	MPEG1	AMEX60DD007220	MPEG1	chr12q	215067930	283,407,166,202,628,0,377,270,801,310,341,545,313,1101,235
Spleen	CD79A	AMEX60DD018035	CD79A	chr1q	490865046	315,645,172,274,646,614,255,441,507,253,607,622,1193,1701,294
Spleen	PTPRC	AMEX60DD018338	PTPRC	chr1q	622255715	428,591,232,361,678,478,341,340,622,211,410,801,583,318,229
Spleen	KLRD1	AMEX60DD026426	LOC112551292 [nr]|KLRD1 [hs]	chr3p	33005225	767,1266,543,268,1115,1576,813,664,1119,361,1110,1151,748,681,699
Spleen	KLRF1	AMEX60DD026497	LOC104510174 [nr]|KLRF1 [hs]	chr3p	58584607	378,420,243,290,673,636,487,339,432,197,507,926,386,200,209
Spleen	KLRF1	AMEX60DD026566	LOC112060700 [nr]|KLRF1 [hs]	chr3p	91791525	358,558,227,307,669,714,334,489,652,202,604,969,479,235,232
Spleen	KLRF1	AMEX60DD026581	LOC115640856 [nr]|KLRF1 [hs]	chr3p	95536913	179,516,197,210,548,529,291,283,406,168,394,703,307,106,259
Spleen	KLRF1	AMEX60DD026587	LOC115457562 [nr]|KLRF1 [hs]	chr3p	96678047	786,1464,2,7,24,16,8,831,1251,1,21,17,1091,520,0
Spleen	KLRF1	AMEX60DD026588	DR999_PMT20799 [nr]|KLRF1 [hs]	chr3p	96886456	687,1221,83,31,189,183,97,554,728,53,129,237,1619,434,58
Spleen	KLRF1	AMEX60DD026669	LOC112986823 [nr]|KLRF1 [hs]	chr3p	111315834	443,896,310,338,890,805,461,450,801,275,653,925,716,315,208
Spleen	KLRF1	AMEX60DD026696	LOC115388170 [nr]|KLRF1 [hs]	chr3p	117701384	460,701,244,241,770,676,392,482,918,424,546,906,505,1136,271
Spleen	CD74	AMEX60DD030131	CD74	chr3q	665410604	1324,1486,795,276,3481,2158,1397,1041,2016,777,2450,1370,2687,3217,1379
Spleen	CSF1R	AMEX60DD030145	CSF1R	chr3q	672015544	432,458,360,211,664,674,404,378,804,261,533,745,558,388,274
Spleen	CD3E	AMEX60DD053893	CD3E [hs]	chr9p	163378294	759,718,1349,319,3453,663,855,764,1662,270,951,1354,2036,293,732
Stomach	GKN1	AMEX60DD001405	LOC115469338 [nr]|GKN1 [hs]	chr10p	610906342	252,528,338,200,623,484,362,311,581,115,385,532,404,144,212
Stomach	GKN1	AMEX60DD001407	LOC115469338 [nr]|GKN1 [hs]	chr10p	611242529	386,700,280,260,502,403,366,287,528,164,381,740,401,186,202
Stomach	GKN1	AMEX60DD001408	LOC115469338 [nr]|GKN1 [hs]	chr10p	611419623	370,394,3456,245,545,377,747,327,573,184,582,819,417,158,318
Stomach	GKN1	AMEX60DD001409	GKN1.2.L [nr]|GKN1 [hs]	chr10p	611797664	276,420,249,456,581,464,465,315,547,145,358,582,287,185,132
Stomach	GKN1	AMEX60DD001410	GKN1	chr10p	611843568	334,460,475,340,622,533,962,406,686,164,452,718,340,162,201
Stomach	GKN1	AMEX60DD001412	LOC115091618 [nr]|GKN1 [hs]	chr10p	612025068	291,402,880,276,435,355,328,288,503,134,358,535,357,104,139
Stomach	GKN1	AMEX60DD001414	AB205_0084520 [nr]|GKN1 [hs]	chr10p	612398731	522,497,440,268,998,1763,374,415,730,295,632,644,752,130,265
Stomach	CLDN18	AMEX60DD002375	CLDN18.S [nr]|CLDN18 [hs]	chr10q	83869827	408,415,3425,266,474,409,394,224,586,131,345,598,490,235,177
Stomach	MUC5AC	AMEX60DD004372	LOC108790984 [nr]|MUC5AC [hs]	chr11q	181539137	345,478,162,305,443,455,277,495,515,204,376,628,444,153,123
Stomach	MUC5AC	AMEX60DD004374	LOC115651180 [nr]|MUC5AC [hs]	chr11q	182721395	1162,1014,1029,297,1653,1931,952,891,1623,642,1630,1233,2574,1098,801
Stomach	MUC5AC	AMEX60DD004378	LOC115079486 [nr]|MUC5AC [hs]	chr11q	183536773	525,482,200,216,664,617,345,503,659,178,643,661,554,263,237
Stomach	MUC5AC	AMEX60DD004441	LOC104350850 [nr]|MUC5AC [hs]	chr11q	211220270	274,356,109,167,349,395,222,341,386,108,256,497,328,150,155
Stomach	MUC5AC	AMEX60DD004447	LOC114584047 [nr]|MUC5AC [hs]	chr11q	213627295	193,371,142,223,345,342,235,234,289,154,318,414,209,125,99
Stomach	MUC5AC	AMEX60DD004448	LOC103826740 [nr]|MUC5AC [hs]	chr11q	213834895	212,321,136,150,349,408,150,175,412,177,336,410,277,229,121
Stomach	MUC5AC	AMEX60DD004450	LOC104625452 [nr]|MUC5AC [hs]	chr11q	214397821	199,167,73,138,234,218,103,135,273,62,221,226,139,140,47
Stomach	MUC5AC	AMEX60DD004452	MUC5AC [nr]|MUC5B [hs]	chr11q	215785422	1008,559,1625,220,661,524,472,247,491,140,1760,608,462,238,352
Stomach	MUC5AC	AMEX60DD004458	MUC5AC	chr11q	216235998	186,218,161,112,412,208,106,126,182,66,247,294,135,106,73
Stomach	MUC5AC	AMEX60DD004477	LOC115079340 [nr]|MUC5AC [hs]	chr11q	225687966	986,1638,576,395,1878,1540,636,918,1475,380,1163,931,1280,792,469
Stomach	MUC5AC	AMEX60DD004478	MUC5AC	chr11q	226637408	132,133,46,102,107,142,73,121,201,60,114,162,105,60,43
Stomach	MUC5AC	AMEX60DD004484	LOC110506634 [nr]|MUC5AC [hs]	chr11q	227770013	328,464,125,301,337,359,206,264,501,139,371,657,289,138,103
Stomach	MUC5AC	AMEX60DD004487	LOC115079486 [nr]|MUC5AC [hs]	chr11q	228394850	300,340,139,204,318,310,159,247,394,111,312,380,231,108,89
Stomach	MUC5AC	AMEX60DD004496	LOC115469673 [nr]|MUC5AC [hs]	chr11q	233911013	459,420,153,181,397,389,232,250,495,84,405,541,300,222,92
Stomach	CHIA	AMEX60DD009134	LOC115074464 [nr]|CHIA [hs]	chr13p	220699783	215,307,1164,196,348,0,211,184,461,165,294,549,158,130,142
Stomach	CHIA	AMEX60DD009138	CHIA	chr13p	220970766	227,379,1718,245,342,0,262,326,562,208,341,619,325,186,210
Stomach	CHIA	AMEX60DD009139	CHIA [hs]	chr13p	221020114	281,508,1773,304,631,0,312,312,616,313,595,918,506,332,231
Stomach	CHIA	AMEX60DD009140	CHIA.S [nr]|CHIA [hs]	chr13p	221021560	281,508,1773,304,631,0,312,312,616,313,595,918,506,332,231
