"Supplementary Table 16. Results from DEPICT gene prioritization analysis. Within each height-associated locus, genes were prioritized using the Data-driven Enrichment-Prioritized Integration for Complex Traits (DEPICT) method. Locus gene sets were constructed by mapping genes to a given locus if they were within, or overlapped with, regions defined by linkage disequilibrium r2>0.5 around the lead SNP of that locus. The DEPICT method prioritizes genes within a given associated loci based on the genes’ functional similarity to genes from other height-associated loci. Genes that are highly similar to genes from other loci obtain low prioritization P-values. Prioritization P-values are adjusted for the number of genes in the given and significance was set at FDR<0.05. Table lists also the biological evidence for each prioritized gene: 1) DEPICT gene set evidence (Supplementary Table 14); 2) OMIM evidence (Supplementary Table 9); 3) GRAIL evidence (Supplementary Table 13); 4) and 5) rodent growth plate evidence&; 6) Jackson Lab evidence was obtained by matching Gene column entries to Jackson Lab database (http://www.informatics.jax.org/) on genes reported to have either ""growth/size"", ""limb/tail/digit"" or ""skeleton"" phenotype; 7) eQTL evidence#; 8) nsSNP evidence (Supplementary Table 7) and 9) distance evidence (Supplementary Table 1). Only genes that were significantly prioritized (FDR<0.05) are listed.

#eQTL lists obtained from Westra et al. 2013 (ref. 21)
&Gene sets obtained from Lui et al. 2012 (ref. 28)"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15	Unnamed: 16	Unnamed: 17	Unnamed: 18	Unnamed: 19
rs2806561	1	23337327	23521222	4	ENSG00000004487	KDM1A	No	5.92e-12	Yes	No	No	No	No	No	Yes	No	No	No	2
rs6600365	1	41445007	41750533	4	ENSG00000010803	SCMH1	No	6.56e-12	Yes	No	No	No	No	Yes	Yes	No	No	Yes	4
rs2509133	11	69902336	70035634	2	ENSG00000131620	ANO1	Yes	8.24e-12	Yes	No	No	No	No	Yes	Yes	No	No	Yes	4
rs11057552	12	124773710	124800570	1	ENSG00000178882	FAM101A	No	9.01e-12	Yes	No	Yes	Yes	No	No	Yes	No	No	Yes	5
rs1409156	1	119425666	119818596	3	ENSG00000092607	TBX15	No	9.05e-12	Yes	Yes	Yes	No	No	Yes	Yes	No	No	Yes	6
rs2815379	1	67278568	67519782	3	ENSG00000198160	MIER1	Yes	9.61e-12	Yes	No	No	No	No	No	Yes	No	No	No	2
rs955748	4	184020446	184241930	1	ENSG00000151718	WWC2	No	9.84e-12	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs2871865	15	99192200	99507759	1	ENSG00000140443	IGF1R	No	1.08e-11	Yes	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes	7
rs10460566	2	25455845	25565459	1	ENSG00000119772	DNMT3A	No	1.23e-11	Yes	No	Yes	No	No	No	Yes	No	No	Yes	4
rs143384	20	33890369	34042568	2	ENSG00000125965	GDF5	No	1.39e-11	Yes	Yes	Yes	No	No	Yes	Yes	No	No	Yes	6
rs497273	12	121124672	121352926	5	ENSG00000157837	SPPL3	Yes	1.59e-11	Yes	No	No	No	No	No	No	Yes	No	Yes	3
rs2238300	15	89631405	89939471	5	ENSG00000140521	POLG	No	1.85e-11	Yes	No	No	No	No	Yes	Yes	No	No	Yes	4
rs12538407	7	23349828	23571660	2	ENSG00000164548	TRA2A	No	1.91e-11	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs1571892	9	94325373	94877690	2	ENSG00000169071	ROR2	Yes	2.03e-11	Yes	Yes	Yes	Yes	No	Yes	Yes	No	No	Yes	7
rs7027110	9	109625378	109775915	1	ENSG00000148143	ZNF462	No	2.11e-11	Yes	No	No	Yes	No	No	Yes	No	No	Yes	4
rs4868645	5	175874629	175965026	2	ENSG00000113194	FAF2	No	2.25e-11	Yes	No	No	No	No	No	Yes	No	No	No	2
rs7853235	9	86354336	86618985	4	ENSG00000165119	HNRNPK	No	2.42e-11	Yes	No	No	No	Yes	No	Yes	Yes	No	No	4
rs8102380	19	10713121	10942586	4	ENSG00000129351	ILF3	Yes	2.67e-11	Yes	No	Yes	No	No	No	Yes	Yes	No	No	4
rs1966913	16	67311413	68263162	31	ENSG00000124067	SLC12A4	Yes	3.01e-11	Yes	No	No	No	No	No	Yes	No	No	No	2
rs3885668	2	10182976	10194963	1	ENSG00000172059	KLF11	Yes	3.33e-11	Yes	No	Yes	No	No	No	Yes	No	No	Yes	4
rs3014219	1	45809555	46642160	13	ENSG00000086015	MAST2	Yes	3.72e-11	Yes	No	No	No	No	No	Yes	No	No	No	2
rs11835818	12	122457328	122688018	4	ENSG00000110987	BCL7A	Yes	4.02e-11	Yes	No	No	No	No	No	Yes	No	No	No	2
rs34651	5	72112139	72386349	2	ENSG00000083312	TNPO1	Yes	4.34e-11	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs2164968	12	65563351	65882024	3	ENSG00000174099	MSRB3	No	4.49e-11	Yes	No	No	No	No	No	Yes	No	No	No	2
rs34651	5	72112139	72386349	2	ENSG00000157107	FCHO2	Yes	4.56e-11	Yes	No	No	No	No	No	Yes	Yes	No	No	3
rs17330192	6	17600583	17706818	2	ENSG00000124789	NUP153	Yes	4.61e-11	Yes	No	No	No	No	No	Yes	No	No	No	2
rs6137287	20	21106624	21370463	4	ENSG00000088970	-	Yes	4.74e-11	Yes	No	No	No	No	No	No	No	No	No	1
rs1007358	7	45951850	45961473	1	ENSG00000146674	IGFBP3	Yes	5.27e-11	Yes	No	Yes	No	No	No	Yes	No	No	Yes	4
rs1625895	17	7565097	7590856	1	ENSG00000141510	TP53	Yes	6.31e-11	Yes	No	Yes	No	No	Yes	Yes	No	No	Yes	5
rs2028067	17	30178883	30328064	3	ENSG00000178691	SUZ12	No	7.03e-11	Yes	No	No	No	No	Yes	Yes	No	No	Yes	4
rs7170986	15	101459420	101610317	1	ENSG00000154237	LRRK1	No	7.06e-11	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs10883563	10	102672720	102747272	3	ENSG00000119906	FAM178A	No	7.17e-11	Yes	No	No	No	Yes	No	Yes	Yes	Yes	Yes	6
rs780094	2	27505260	27858041	14	ENSG00000115207	GTF3C2	Yes	8.83e-11	Yes	No	No	No	No	No	Yes	No	No	No	2
rs1535466	20	33516236	33865928	4	ENSG00000100991	TRPC4AP	No	8.92e-11	Yes	No	No	No	No	No	Yes	No	No	No	2
rs10131337-rs6571772	14	37126773	38021566	4	ENSG00000198807	PAX9	Yes	9.85e-11	Yes	No	Yes	No	No	Yes	Yes	No	No	No	4
rs2378870	17	59529779	59562469	1	ENSG00000121075	TBX4	No	9.91e-11	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No	Yes	7
rs10780910	9	91003334	91093609	1	ENSG00000106723	SPIN1	No	1.06e-10	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs7466269	9	133454352	133513739	1	ENSG00000107164	FUBP3	No	1.09e-10	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs1582931	5	122680579	122759286	1	ENSG00000168944	CEP120	No	1.13e-10	Yes	No	No	No	No	No	Yes	No	Yes	Yes	4
rs10744956	15	51200869	51298097	1	ENSG00000081014	AP4E1	No	1.24e-10	Yes	No	No	No	No	No	Yes	Yes	No	Yes	4
rs12323101	13	32974861	33352157	4	ENSG00000244754	N4BP2L2	No	1.24e-10	Yes	No	No	No	No	No	Yes	No	No	No	2
rs1415701	6	130334844	130462594	1	ENSG00000198945	L3MBTL3	No	1.4e-10	Yes	No	No	Yes	No	No	No	Yes	No	Yes	4
rs926438	1	25598981	25826700	4	ENSG00000204178	TMEM57	No	1.52e-10	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs4320932	11	2150342	2182439	2	ENSG00000167244	IGF2	No	1.55e-10	Yes	Yes	Yes	No	Yes	Yes	Yes	No	No	No	6
rs10790381	11	120107349	120360645	3	ENSG00000196914	ARHGEF12	Yes	1.55e-10	Yes	No	Yes	No	No	No	Yes	No	No	Yes	4
rs606452	11	75273101	75283828	1	ENSG00000149257	SERPINH1	No	1.63e-10	Yes	Yes	Yes	No	No	No	Yes	No	No	Yes	5
rs8180991	8	126442563	126450647	1	ENSG00000173334	TRIB1	Yes	1.73e-10	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs761391	6	85397091	85474237	2	ENSG00000112837	TBX18	Yes	1.82e-10	Yes	No	No	No	Yes	Yes	Yes	No	No	Yes	5
rs4652773	1	182992597	183114727	1	ENSG00000135862	LAMC1	No	2.28e-10	Yes	No	Yes	No	No	No	Yes	No	Yes	Yes	5
rs4802134	19	37997841	38699012	11	ENSG00000105738	SIPA1L3	Yes	2.55e-10	Yes	No	No	No	No	No	Yes	No	No	No	2
rs16895130	6	41762107	42018095	4	ENSG00000112576	CCND3	Yes	3.46e-10	Yes	No	Yes	No	No	No	Yes	Yes	No	Yes	5
rs2014467	16	2303117	2390747	2	ENSG00000205937	RNPS1	No	3.61e-10	Yes	No	No	No	No	No	Yes	Yes	No	No	3
rs3809790	17	27900487	28562954	7	ENSG00000141298	SSH2	No	3.74e-10	Yes	No	No	No	No	No	Yes	Yes	No	Yes	4
rs1533269-rs1546391	3	114056941	114866118	1	ENSG00000181722	ZBTB20	Yes	3.91e-10	Yes	No	No	No	Yes	No	Yes	No	No	Yes	4
rs2631676	10	92979908	93044088	1	ENSG00000180628	PCGF5	Yes	4.46e-10	Yes	No	No	No	No	No	No	No	No	Yes	2
rs6439168	3	128997671	129045068	3	ENSG00000183624	C3orf37	No	5.69e-10	Yes	No	No	No	Yes	No	Yes	No	No	No	3
rs17721822-rs6085662	20	6748311	6760910	1	ENSG00000125845	BMP2	No	5.75e-10	Yes	No	Yes	No	Yes	Yes	Yes	No	No	Yes	6
rs7112925	11	66824289	66839484	1	ENSG00000173156	RHOD	No	6.23e-10	Yes	No	Yes	No	Yes	No	Yes	No	No	Yes	5
rs9929889	16	51169886	51185181	1	ENSG00000103449	SALL1	Yes	7.67e-10	Yes	No	Yes	No	No	Yes	Yes	No	No	Yes	5
rs3169906	17	38632080	38657854	1	ENSG00000131746	TNS4	Yes	8.7e-10	Yes	No	Yes	No	No	No	Yes	No	No	Yes	4
rs2298265	1	151227179	151300191	4	ENSG00000143393	PI4KB	Yes	8.76e-10	Yes	No	No	Yes	Yes	No	Yes	No	No	No	4
rs1681630	11	47352957	48192393	15	ENSG00000149187	CELF1	No	9.04e-10	Yes	No	No	No	No	No	Yes	No	No	No	2
rs4901537-rs8006657	14	55033815	55260033	1	ENSG00000020577	SAMD4A	Yes	9.75e-10	Yes	No	No	No	No	No	Yes	Yes	No	Yes	4
rs2306694	12	56623833	56753939	8	ENSG00000135473	PAN2	No	1.03e-09	Yes	No	No	No	No	No	Yes	No	No	No	2
rs12904334	15	72114632	73852355	14	ENSG00000067141	NEO1	No	1.13e-09	Yes	No	No	No	No	No	Yes	No	No	No	2
rs4072910	19	8585689	8673183	2	ENSG00000142303	ADAMTS10	No	1.21e-09	Yes	Yes	Yes	No	No	No	Yes	No	No	Yes	5
rs7154721	14	92432335	92572965	2	ENSG00000066427	ATXN3	No	1.79e-09	Yes	No	No	No	No	No	Yes	No	No	No	2
rs301901	5	36876861	37753537	4	ENSG00000197603	C5orf42	Yes	1.88e-09	Yes	No	No	No	Yes	No	No	No	No	Yes	3
rs6504389	17	46626232	46683776	4	ENSG00000120075	HOXB5	No	2.1e-09	Yes	No	Yes	No	No	Yes	Yes	No	No	No	4
rs584828	17	38465436	38613983	4	ENSG00000141753	IGFBP4	Yes	2.13e-09	Yes	No	Yes	Yes	No	No	Yes	No	No	Yes	5
rs2735469	11	2016406	2022700	1	ENSG00000130600	-	No	2.23e-09	Yes	No	No	No	No	No	No	No	No	Yes	2
rs6061231	20	60883011	60982341	4	ENSG00000149679	CABLES2	Yes	2.33e-09	Yes	No	No	Yes	No	No	No	Yes	No	No	3
rs2305833	2	219283815	219680016	10	ENSG00000115568	ZNF142	No	2.5e-09	Yes	No	No	No	Yes	No	Yes	Yes	Yes	No	5
rs17038954	2	1635659	1748624	1	ENSG00000130508	PXDN	Yes	2.63e-09	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs6596075-rs7701414	5	130581186	131811736	12	ENSG00000131435	PDLIM4	No	3.01e-09	Yes	No	No	No	No	No	Yes	No	No	No	2
rs4369779	18	20714528	20840434	1	ENSG00000134508	CABLES1	No	3.03e-09	Yes	No	Yes	No	No	No	Yes	No	No	Yes	4
rs16968242	15	76507696	77329673	5	ENSG00000159556	ISL2	Yes	3.09e-09	Yes	No	Yes	No	No	No	Yes	No	No	No	3
rs1074683	20	31935526	32380075	10	ENSG00000078699	CBFA2T2	No	3.15e-09	Yes	No	No	No	No	No	Yes	No	No	No	2
rs4656220	1	170631869	170708560	1	ENSG00000116132	PRRX1	Yes	3.25e-09	Yes	No	Yes	No	No	Yes	Yes	No	No	Yes	5
rs3812591	9	139270029	139372141	5	ENSG00000148384	INPP5E	No	3.31e-09	Yes	No	No	No	No	Yes	Yes	Yes	No	No	4
rs6921207	6	131148546	131384462	2	ENSG00000079819	EPB41L2	No	3.84e-09	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs2915404-rs7126398	11	13983914	14521573	3	ENSG00000133818	RRAS2	Yes	3.92e-09	Yes	No	No	No	Yes	No	Yes	No	No	Yes	4
rs11642612	16	29911700	30134827	17	ENSG00000149930	TAOK2	Yes	3.93e-09	Yes	No	Yes	No	No	No	Yes	No	No	No	3
rs17659078	11	2289725	2292182	1	ENSG00000183734	ASCL2	No	4.84e-09	Yes	No	Yes	No	No	No	Yes	Yes	No	Yes	5
rs12153391-rs1368380	5	171288553	171433877	1	ENSG00000072803	FBXW11	No	5.97e-09	Yes	No	No	Yes	Yes	No	Yes	No	No	Yes	5
rs4273857	8	23154702	23282841	1	ENSG00000134013	LOXL2	No	7.24e-09	Yes	No	No	No	No	No	Yes	No	Yes	Yes	4
rs3812591	9	139270029	139372141	5	ENSG00000165689	SDCCAG3	No	7.73e-09	Yes	No	No	No	No	No	Yes	Yes	No	No	3
rs13388725	2	109065017	109303702	3	ENSG00000169756	LIMS1	Yes	8.15e-09	Yes	No	No	No	No	No	Yes	Yes	No	No	3
rs12533079	7	28338940	28865511	1	ENSG00000146592	CREB5	No	8.27e-09	Yes	No	No	No	No	No	Yes	Yes	No	Yes	4
rs915506	10	97512963	98031333	5	ENSG00000226688	-	Yes	8.63e-09	Yes	No	No	No	No	No	No	No	No	No	1
rs1053996	16	3138895	3199964	4	ENSG00000130182	ZSCAN10	No	9.54e-09	Yes	No	No	No	No	No	Yes	No	No	No	2
rs9835332	3	56591189	56717265	2	ENSG00000163946	FAM208A	No	1.04e-08	Yes	No	No	No	No	No	Yes	No	Yes	Yes	4
rs6794009	3	61547243	62283288	1	ENSG00000144724	PTPRG	Yes	1.06e-08	Yes	No	Yes	No	No	No	Yes	No	No	Yes	4
rs953199	9	100263462	100459639	4	ENSG00000136925	TSTD2	Yes	1.11e-08	Yes	No	No	No	No	No	Yes	No	No	No	2
rs2305833	2	219283815	219680016	10	ENSG00000163482	STK36	No	1.22e-08	Yes	No	Yes	No	No	Yes	Yes	No	Yes	No	5
rs11633371-rs16942341-rs2280470	15	89346674	89418585	1	ENSG00000157766	ACAN	No	1.28e-08	Yes	Yes	Yes	Yes	No	Yes	Yes	No	Yes	Yes	8
rs2748483	6	145810766	146758734	5	ENSG00000118496	FBXO30	Yes	1.28e-08	Yes	No	No	No	No	No	Yes	No	Yes	No	3
rs2079795	17	59477257	59490641	2	ENSG00000121068	TBX2	No	1.33e-08	Yes	No	Yes	No	No	Yes	Yes	No	No	No	4
rs2748483	6	145810766	146758734	5	ENSG00000146414	SHPRH	Yes	1.39e-08	Yes	No	No	No	No	No	Yes	No	No	No	2
rs389663	6	117639374	117923691	2	ENSG00000164465	DCBLD1	No	1.41e-08	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs1681630	11	47352957	48192393	15	ENSG00000109920	FNBP4	No	1.48e-08	Yes	No	No	No	No	No	Yes	No	No	No	2
rs3020418-rs6902771	6	151977826	152450754	1	ENSG00000091831	ESR1	No	1.6e-08	Yes	Yes	Yes	No	No	Yes	Yes	No	No	Yes	6
rs12519505	5	77296349	77590579	1	ENSG00000132842	AP3B1	Yes	1.86e-08	Yes	No	No	No	No	Yes	Yes	Yes	No	Yes	5
rs13006748	2	20096404	20212455	4	ENSG00000118965	WDR35	Yes	1.89e-08	Yes	Yes	No	No	No	No	Yes	No	No	No	3
rs7712162	5	78907943	78982471	1	ENSG00000164329	PAPD4	Yes	1.93e-08	Yes	No	No	No	No	No	No	Yes	No	Yes	3
rs9395264	6	47445525	47665533	2	ENSG00000198087	CD2AP	Yes	1.95e-08	Yes	No	Yes	No	No	No	Yes	No	No	Yes	4
rs7568069	2	71409869	71662199	2	ENSG00000075292	ZNF638	Yes	2.07e-08	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs11642612	16	29911700	30134827	17	ENSG00000247735	-	Yes	2.07e-08	Yes	No	No	No	No	No	No	No	No	No	1
rs2300921	3	185633694	185698658	2	ENSG00000136527	TRA2B	No	2.16e-08	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs2164747	12	104323885	104457961	4	ENSG00000139372	TDG	Yes	2.51e-08	Yes	No	No	No	No	Yes	Yes	No	No	No	3
rs11880992	19	2100993	2232577	2	ENSG00000065000	AP3D1	No	2.73e-08	Yes	No	No	No	No	No	Yes	Yes	No	No	3
rs6952113	7	120628731	120937498	1	ENSG00000106034	C7orf58	Yes	2.87e-08	Yes	No	No	No	Yes	No	Yes	Yes	No	Yes	5
rs9328445	6	7726332	7881655	1	ENSG00000153162	BMP6	No	2.93e-08	Yes	No	Yes	No	Yes	Yes	Yes	No	No	Yes	6
rs2781373	14	65472892	65569413	1	ENSG00000125952	MAX	Yes	2.98e-08	Yes	No	Yes	No	No	No	Yes	Yes	No	Yes	5
rs8017130	14	23743250	23795394	4	ENSG00000100836	PABPN1	Yes	3.08e-08	Yes	No	Yes	No	No	No	Yes	No	No	No	3
rs1832871-rs9456307	6	158244281	158932860	5	ENSG00000130338	TULP4	No	3.12e-08	Yes	No	No	No	No	No	Yes	No	Yes	Yes	4
rs17410035	5	31400604	31555165	2	ENSG00000113360	DROSHA	Yes	3.3e-08	Yes	No	No	No	No	No	Yes	No	No	No	2
rs12209223-rs6903448	6	76005626	76629254	4	ENSG00000252498	-	No	3.49e-08	Yes	No	No	No	No	No	No	No	No	No	1
rs2856321	12	11802788	12044558	1	ENSG00000139083	ETV6	No	3.76e-08	Yes	No	Yes	No	No	No	Yes	No	No	Yes	4
rs2240919-rs2581830	3	52279841	53164478	23	ENSG00000114904	NEK4	No	4.1e-08	Yes	No	No	No	No	No	Yes	No	No	No	2
rs4767473	12	117348761	117537284	2	ENSG00000174989	FBXW8	Yes	4.14e-08	Yes	No	No	No	No	No	No	Yes	No	Yes	3
rs11687941	2	242127924	242256476	2	ENSG00000115677	HDLBP	No	4.2e-08	Yes	No	No	No	No	No	Yes	No	Yes	Yes	4
rs11750568	5	178450753	178772431	3	ENSG00000087116	ADAMTS2	Yes	4.35e-08	Yes	Yes	Yes	No	No	Yes	Yes	No	No	Yes	6
rs12926008	16	2389151	2508855	2	ENSG00000162063	CCNF	No	6.32e-08	Yes	No	Yes	No	No	Yes	Yes	No	No	Yes	5
rs1966913	16	67311413	68263162	31	ENSG00000141084	RANBP10	Yes	6.44e-08	Yes	No	No	No	No	No	Yes	No	No	No	2
rs757081	11	17035545	17410878	5	ENSG00000011405	PIK3C2A	No	8e-08	Yes	No	Yes	No	No	No	Yes	No	No	No	3
rs12411277-rs991967	1	218519577	218617961	1	ENSG00000092969	TGFB2	No	8.17e-08	Yes	No	Yes	No	No	Yes	Yes	No	No	Yes	5
rs6658763	1	146626685	146767443	4	ENSG00000131791	PRKAB2	Yes	8.49e-08	Yes	No	No	No	No	No	Yes	No	No	No	2
rs10958476-rs6999671	8	56685701	57131357	6	ENSG00000137574	TGS1	No	9.17e-08	Yes	No	No	No	No	No	Yes	No	No	No	2
rs1966913	16	67311413	68263162	31	ENSG00000038358	EDC4	Yes	9.44e-08	Yes	No	No	No	No	No	Yes	No	No	No	2
rs11714558-rs724016	3	141043055	141334184	2	ENSG00000177311	ZBTB38	No	1.05e-07	Yes	No	Yes	No	No	No	Yes	No	No	No	3
rs17387330	1	53971910	54199877	1	ENSG00000174332	GLIS1	Yes	1.11e-07	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs17792664	14	21819631	21979517	6	ENSG00000092203	TOX4	Yes	1.21e-07	Yes	No	No	No	No	No	Yes	No	No	No	2
rs6504389	17	46626232	46683776	4	ENSG00000233101	-	No	1.27e-07	Yes	No	No	No	No	No	No	No	No	Yes	2
rs2306596	4	39184024	39367995	2	ENSG00000157796	WDR19	Yes	1.29e-07	Yes	No	No	No	No	No	Yes	Yes	No	No	3
rs12855	1	50883222	51440305	3	ENSG00000142700	DMRTA2	Yes	1.33e-07	Yes	No	No	No	No	No	Yes	No	No	No	2
rs1832871-rs9456307	6	158244281	158932860	5	ENSG00000130340	SNX9	No	1.43e-07	Yes	No	No	No	No	No	Yes	No	No	No	2
rs16939034	8	75896750	75946793	1	ENSG00000121005	CRISPLD1	Yes	1.67e-07	Yes	No	No	Yes	No	No	Yes	No	No	Yes	4
rs32855	5	79703832	79775169	1	ENSG00000039319	ZFYVE16	Yes	1.79e-07	Yes	No	Yes	Yes	No	No	Yes	No	No	Yes	5
rs2806561	1	23337327	23521222	4	ENSG00000169641	LUZP1	No	1.81e-07	Yes	No	No	No	Yes	No	Yes	Yes	No	No	4
rs7692995	4	17802278	18023499	3	ENSG00000163257	DCAF16	No	1.91e-07	Yes	No	No	No	No	No	Yes	No	No	No	2
rs888403	18	2655886	2805015	2	ENSG00000101596	SMCHD1	Yes	2e-07	Yes	No	No	No	No	No	Yes	No	No	No	2
rs11100790	4	144434616	144478639	1	ENSG00000153147	SMARCA5	Yes	2.79e-07	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs318095	17	46970127	47045958	4	ENSG00000159202	UBE2Z	No	2.93e-07	Yes	No	No	No	No	No	Yes	Yes	No	No	3
rs3809790	17	27900487	28562954	7	ENSG00000126653	NSRP1	No	3.23e-07	Yes	No	No	No	No	No	Yes	No	No	No	2
rs8102380	19	10713121	10942586	4	ENSG00000129353	SLC44A2	Yes	3.7e-07	Yes	No	No	No	No	No	Yes	Yes	No	No	3
rs2145357	6	116262693	116759442	7	ENSG00000111817	DSE	Yes	4.58e-07	Yes	No	No	No	No	Yes	Yes	No	No	No	3
rs915506	10	97512963	98031333	5	ENSG00000177853	-	Yes	4.62e-07	Yes	No	No	No	No	No	No	No	No	No	1
rs11047239	12	23682440	24103966	1	ENSG00000134532	SOX5	Yes	4.63e-07	Yes	No	Yes	Yes	No	Yes	Yes	No	No	Yes	6
rs1014987	1	22446461	22470462	1	ENSG00000162552	WNT4	Yes	4.64e-07	Yes	No	Yes	Yes	Yes	No	Yes	No	No	Yes	6
rs2058092	14	73741815	74025651	2	ENSG00000133961	NUMB	Yes	4.78e-07	Yes	No	Yes	No	No	No	Yes	Yes	No	No	4
rs354196	2	54683422	55199157	3	ENSG00000238018	-	Yes	4.83e-07	Yes	No	No	No	No	No	No	No	No	No	1
rs12347744	9	97488983	97849441	1	ENSG00000148120	C9orf3	No	4.91e-07	Yes	No	No	No	Yes	No	Yes	No	No	Yes	4
rs7299326	12	1099675	1605090	1	ENSG00000082805	ERC1	Yes	5.03e-07	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs1614303	10	123237848	123357972	1	ENSG00000066468	FGFR2	Yes	5.28e-07	Yes	Yes	Yes	No	No	Yes	Yes	No	No	Yes	6
rs181338	9	88902648	88969369	1	ENSG00000083223	ZCCHC6	No	6.76e-07	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs822531	7	148504475	148581413	1	ENSG00000106462	EZH2	No	6.85e-07	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs2305833	2	219283815	219680016	10	ENSG00000135912	TTLL4	No	6.92e-07	Yes	No	No	No	No	No	Yes	Yes	No	No	3
rs12190423	6	72054047	72130472	1	ENSG00000233237	-	Yes	7.11e-07	Yes	No	No	No	No	No	No	No	No	Yes	2
rs2682587	19	43979255	44088106	5	ENSG00000073050	XRCC1	Yes	8.2e-07	Yes	No	No	No	Yes	No	Yes	No	No	No	3
rs711245	2	36583069	36873230	4	ENSG00000150938	CRIM1	Yes	8.33e-07	Yes	No	Yes	No	No	Yes	Yes	No	No	No	4
rs2715094	7	50657760	50861159	1	ENSG00000106070	GRB10	Yes	8.36e-07	Yes	No	Yes	Yes	No	No	Yes	No	No	Yes	5
rs497273	12	121124672	121352926	5	ENSG00000231313	-	Yes	9.83e-07	Yes	No	No	No	No	No	No	No	No	No	1
rs1753637-rs2687950	13	50486842	51298199	4	ENSG00000231607	-	No	1.01e-06	Yes	No	No	No	No	No	No	No	No	No	1
rs780094	2	27505260	27858041	14	ENSG00000163795	ZNF513	Yes	1.14e-06	Yes	No	No	No	No	No	Yes	No	No	No	2
rs1980850	14	68194091	69196935	2	ENSG00000072121	ZFYVE26	No	1.18e-06	Yes	No	No	No	No	No	Yes	No	No	No	2
rs870183	17	411908	695749	7	ENSG00000196737	-	Yes	1.22e-06	Yes	No	No	No	No	No	No	No	No	No	1
rs2306694	12	56623833	56753939	8	ENSG00000139645	ANKRD52	No	1.25e-06	Yes	No	No	No	No	No	Yes	No	Yes	No	3
rs6511689	19	10332109	10341948	1	ENSG00000175898	S1PR2	Yes	1.29e-06	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs870183	17	411908	695749	7	ENSG00000167695	FAM57A	Yes	1.3e-06	Yes	No	No	No	No	No	Yes	Yes	No	Yes	4
rs2305833	2	219283815	219680016	10	ENSG00000163481	RNF25	No	1.38e-06	Yes	No	No	No	No	No	Yes	No	No	No	2
rs9977276	21	47401651	47424964	1	ENSG00000142156	COL6A1	Yes	1.58e-06	Yes	No	Yes	No	No	No	Yes	No	Yes	Yes	5
rs6688100	1	160160285	160398468	8	ENSG00000132716	DCAF8	Yes	1.91e-06	Yes	No	No	No	No	No	Yes	No	No	No	2
rs1367226-rs3791673	2	56093102	56151274	1	ENSG00000115380	EFEMP1	No	1.93e-06	Yes	No	Yes	No	Yes	Yes	Yes	No	No	Yes	6
rs1040941	6	44355262	44418163	1	ENSG00000096401	CDC5L	No	2.08e-06	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs6137287	20	21106624	21370463	4	ENSG00000088930	XRN2	Yes	2.57e-06	Yes	No	No	No	No	No	Yes	Yes	No	No	3
rs7834383	8	12940870	13373167	1	ENSG00000164741	DLC1	Yes	2.67e-06	Yes	No	Yes	No	No	No	Yes	No	No	Yes	4
rs780094	2	27505260	27858041	14	ENSG00000138002	IFT172	Yes	2.92e-06	Yes	No	No	No	No	Yes	Yes	No	No	No	3
rs989393	9	101705461	101833069	1	ENSG00000204291	COL15A1	Yes	2.97e-06	Yes	No	Yes	No	Yes	No	Yes	No	No	Yes	5
rs960006	16	4800815	4987136	6	ENSG00000118898	PPL	Yes	3.26e-06	Yes	No	No	No	No	No	Yes	No	No	No	2
rs3767627-rs7534365	1	149856010	149982686	6	ENSG00000184678	HIST2H2BE	No	3.69e-06	Yes	No	No	No	No	No	Yes	No	No	No	2
rs738288	22	39795746	39928860	3	ENSG00000100324	TAB1	Yes	3.8e-06	Yes	No	No	No	No	Yes	Yes	No	No	No	3
rs6688100	1	160160285	160398468	8	ENSG00000162736	NCSTN	Yes	3.8e-06	Yes	No	Yes	No	No	No	Yes	No	No	No	3
