# candidates have max_abs_usage_delta >= 0.25
rank	gene_id	gene_symbol	expressed_isoforms	sampleA_gene_NumReads	sampleB_gene_NumReads	max_abs_usage_delta	total_variation	top_transcript	top_sampleA_usage	top_sampleB_usage	top_sampleA_NumReads	top_sampleB_NumReads	top_sampleA_TPM	top_sampleB_TPM	top_log2FC_normalized_reads	top_usage_delta_sampleB_minus_A
205	ENSG00000155366.12	RHOC	5	28	31.999	0.647714	0.894903	ENST00000369633	0.647714	0	18.136	0	92.4997	0	-7.62775	-0.647714
206	ENSG00000177409.7	SAMD9L	3	40	36	0.6476	0.6476	ENST00000437805	0.6476	0	25.904	0	25.0702	0	-8.13988	-0.6476
207	ENSG00000149480.2	MTA2	3	28	37	0.646541	0.646541	ENST00000524902	0	0.646541	0	23.922	0	64.1282	8.03494	0.646541
208	ENSG00000116754.9	SRSF11	5	36.001	25	0.64472	0.70988	ENST00000370950	0	0.64472	0	16.118	0	28.4503	7.46794	0.64472
209	ENSG00000102531.12	FNDC3A	2	20	25	0.64445	0.64445	ENST00000398316	0.35555	1	7.111	25	6.93642	28.5414	1.81001	0.64445
210	ENSG00000178719.12	GRINA	3	25	29	0.6442	0.6442	ENST00000395068	0.6442	0	16.105	0	54.8835	0	-7.45732	-0.6442
211	ENSG00000103257.4	SLC7A5	2	61	47	0.643754	0.643754	ENST00000261622	0.356246	1	21.731	47	27.0169	68.3896	1.11912	0.643754
212	ENSG00000112992.12	NNT	3	24.996	24.1	0.64166	0.64166	ENST00000512996	0	0.64166	0	15.464	0	23.8886	7.40852	0.64166
213	ENSG00000143153.8	ATP1B1	3	27	26	0.631407	0.631407	ENST00000367813	0.631407	0	17.048	0	80.2687	0	-7.53896	-0.631407
214	ENSG00000153113.19	CAST	4	39.001	38	0.629881	0.803441	ENST00000504465	0.629881	0	24.566	0	62.7664	0	-8.06365	-0.629881
215	ENSG00000168918.9	INPP5D	4	36	42	0.62931	0.69627	ENST00000435188	0	0.62931	0	26.431	0	48.8962	8.17831	0.62931
216	ENSG00000078674.13	PCM1	5	50	50	0.6291	0.67464	ENST00000325083	0.6291	0	31.455	0	25.5177	0	-8.41909	-0.6291
217	ENSG00000179262.5	RAD23A	2	21	25	0.62596	0.62596	ENST00000316856	1	0.37404	21	9.351	75.3202	39.2557	-1.14995	-0.62596
218	ENSG00000167081.12	PBX3	3	24	31	0.625548	0.625548	ENST00000342287	0	0.625548	0	19.392	0	48.2898	7.73335	0.625548
219	ENSG00000072778.15	ACADVL	2	37	37	0.625486	0.625486	ENST00000350303	0	0.625486	0	23.143	0	74.3781	7.98736	0.625486
220	ENSG00000118308.10	LRMP	4	30	24.999	0.622535	0.685577	ENST00000536173	0.2401	0.862635	7.203	21.565	20.5298	71.9382	1.5793	0.622535
221	ENSG00000198624.8	CCDC69	2	67	55	0.618764	0.618764	ENST00000355417	1	0.381236	67	20.968	111.558	40.8623	-1.66216	-0.618764
222	ENSG00000067066.12	SP100	6	34	35	0.618371	0.884765	ENST00000409341	0	0.618371	0	21.643	0	81.9226	7.89108	0.618371
223	ENSG00000244462.3	RBM12	3	33.376	23.633	0.61558	0.61558	ENST00000374114	0	0.61558	0	14.548	0	14.1533	7.32096	0.61558
224	ENSG00000204843.8	DCTN1	2	28	26	0.615308	0.615308	ENST00000409240	1	0.384692	28	10.002	36.266	15.1615	-1.46722	-0.615308
225	ENSG00000174574.11	AKIRIN1	2	26	21	0.614429	0.614429	ENST00000372984	0	0.614429	0	12.903	0	74.5264	7.149	0.614429
226	ENSG00000108946.10	PRKAR1A	6	60.001	51.999	0.613954	0.939826	ENST00000392711	0	0.613954	0	31.925	0	58.6084	8.44991	0.613954
227	ENSG00000119408.12	NEK6	4	75	54	0.613813	0.613813	ENST00000545174	0.613813	0	46.036	0	105.624	0	-8.96723	-0.613813
228	ENSG00000156976.10	EIF4A2	4	27	30	0.609963	0.609963	ENST00000323963	0.609963	0	16.469	0	52.5929	0	-7.48939	-0.609963
229	ENSG00000083799.13	CYLD	5	48.999	50	0.60776	0.62776	ENST00000398568	0	0.60776	0	30.388	0	57.688	8.37893	0.60776
230	ENSG00000175203.11	DCTN2	4	23	30.001	0.607746	0.607746	ENST00000537439	0	0.607746	0	18.233	0	89.9087	7.64487	0.607746
231	ENSG00000131844.11	MCCC2	2	35	28	0.607686	0.607686	ENST00000323375	0.607686	0	21.269	0	65.2252	0	-7.85657	-0.607686
232	ENSG00000004897.7	CDC27	4	30	37	0.6074	0.6074	ENST00000531206	0.6074	0	18.222	0	33.1809	0	-7.63454	-0.6074
233	ENSG00000113407.9	TARS	5	49	54.001	0.603933	0.965184	ENST00000502553	0	0.603933	0	32.613	0	89.0714	8.48058	0.603933
234	ENSG00000113161.11	HMGCR	2	27	29	0.602552	0.602552	ENST00000287936	1	0.397448	27	11.526	33.196	16.5857	-1.21206	-0.602552
235	ENSG00000137776.12	SLTM	5	21	24.001	0.602476	1	ENST00000492526	0.602476	0	12.652	0	24.3271	0	-7.11142	-0.602476
236	ENSG00000197535.10	MYO5A	4	26	27	0.601074	0.654519	ENST00000358212	0	0.601074	0	16.229	0	8.57864	7.47778	0.601074
237	ENSG00000000938.8	FGR	2	23	22	0.598409	0.598409	ENST00000374003	0	0.598409	0	13.165	0	46.3708	7.1778	0.598409
238	ENSG00000083520.10	DIS3	4	23	28.187	0.596217	0.616206	ENST00000545453	0.596217	0	13.713	0	21.4894	0	-7.22679	-0.596217
239	ENSG00000175224.12	ATG13	6	27	24.001	0.595892	1	ENST00000524625	0	0.595892	0	14.302	0	23.7016	7.29651	0.595892
240	ENSG00000127022.10	CANX	3	230	211	0.59203	0.59203	ENST00000247461	0.40797	1	93.833	211	124.715	328.234	1.17779	0.59203
241	ENSG00000100280.12	AP1B1	4	32	35	0.589743	1	ENST00000356015	0	0.589743	0	20.641	0	32.9735	7.82299	0.589743
242	ENSG00000168003.12	SLC3A2	4	22	28	0.587227	1	ENST00000536981	0.587227	0	12.919	0	55.71	0	-7.14133	-0.587227
243	ENSG00000100628.7	ASB2	3	32	29	0.585063	0.585063	ENST00000315988	0.414938	1	13.278	29	28.387	72.564	1.13109	0.585063
244	ENSG00000108654.7	DDX5	3	111	96	0.584333	0.584333	ENST00000225792	1	0.415667	111	39.904	256.774	108.038	-1.46434	-0.584333
245	ENSG00000163931.11	TKT	3	42	35	0.58121	0.58121	ENST00000296289	0.361619	0.942829	15.188	32.999	46.0468	117.092	1.12427	0.58121
246	ENSG00000131378.9	RFTN1	2	64	69	0.578016	0.578016	ENST00000432519	0.578016	0	36.993	0	80.6401	0	-8.65242	-0.578016
247	ENSG00000041357.11	PSMA4	3	37	31	0.577162	0.577162	ENST00000044462	0.422838	1	15.645	31	83.0511	192.608	0.991857	0.577162
248	ENSG00000131508.11	UBE2D2	3	28	30	0.571	0.571	ENST00000505548	0.571	0	15.988	0	98.7425	0	-7.44686	-0.571
249	ENSG00000112237.8	CCNC	3	28	26	0.568607	0.568607	ENST00000520371	0.568607	0	15.921	0	43.8298	0	-7.44084	-0.568607
250	ENSG00000140332.11	TLE3	4	22	24	0.566833	1	ENST00000557907	0	0.566833	0	13.604	0	41.4975	7.2248	0.566833
251	ENSG00000079805.12	DNM2	4	26	24	0.566192	1	ENST00000355667	0.566192	0	14.721	0	23.8407	0	-7.32846	-0.566192
252	ENSG00000064419.9	TNPO3	2	35	28	0.564286	0.564286	ENST00000265388	0.564286	0	19.75	0	35.1467	0	-7.75015	-0.564286
253	ENSG00000149269.5	PAK1	4	36	30	0.562772	0.728639	ENST00000356341	0.271361	0.834133	9.769	25.024	14.9324	44.766	1.35826	0.562772
254	ENSG00000119487.12	MAPKAP1	6	54	59	0.562475	0.7726	ENST00000373498	0	0.562475	0	33.186	0	71.8546	8.50564	0.562475
255	ENSG00000100650.11	SRSF5	5	25	25	0.562	0.62764	ENST00000394366	0.25188	0.81388	6.297	20.347	24.1799	91.4435	1.6871	0.562
256	ENSG00000135506.11	OS9	3	30	33	0.559848	0.559848	ENST00000435406	0	0.559848	0	18.475	0	54.9837	7.6638	0.559848
257	ENSG00000101445.5	PPP1R16B	2	86	73	0.559616	0.559616	ENST00000373331	0.559616	0	48.127	0	43.8022	0	-9.03119	-0.559616
258	ENSG00000065150.14	IPO5	3	70	73	0.559575	0.559575	ENST00000357602	0	0.559575	0	40.849	0	62.379	8.80462	0.559575
259	ENSG00000138592.9	USP8	4	21	20	0.559357	0.696857	ENST00000307179	0.303143	0.8625	6.366	17.25	8.49679	26.9484	1.43455	0.559357
260	ENSG00000114416.13	FXR1	5	25	43.999	0.552967	0.939794	ENST00000480918	0	0.552967	0	24.33	0	86.926	8.05925	0.552967
261	ENSG00000141027.16	NCOR1	3	30	35	0.548514	0.548514	ENST00000268712	0	0.548514	0	19.198	0	11.438	7.71891	0.548514
262	ENSG00000178741.7	COX5A	4	27	29	0.547926	0.547926	ENST00000564811	0.547926	0	14.794	0	247.948	0	-7.33555	-0.547926
263	ENSG00000090686.11	USP48	4	26	37	0.547676	0.610595	ENST00000529637	0	0.547676	0	20.264	0	42.447	7.79651	0.547676
264	ENSG00000133030.15	MPRIP	5	42	25.001	0.546452	0.648405	ENST00000444976	0.546452	0	22.951	0	40.8568	0	-7.96592	-0.546452
265	ENSG00000100201.14	DDX17	3	50.999	65	0.54561	0.54561	ENST00000396821	0.290006	0.835615	14.79	54.315	17.3597	74.6135	1.87971	0.54561
266	ENSG00000029153.10	ARNTL2	3	28	29	0.545393	0.545393	ENST00000544915	0.454607	1	12.729	29	14.8977	39.7238	1.19158	0.545393
267	ENSG00000179344.12	HLA-DQB1	2	188	159	0.544337	0.544337	ENST00000434651	0.275261	0.819597	51.749	130.316	198.14	583.99	1.34037	0.544337
268	ENSG00000160789.15	LMNA	3	45	41.999	0.544275	0.544275	ENST00000392353	0	0.544275	0	22.859	0	107.457	7.96962	0.544275
269	ENSG00000077097.9	TOP2B	3	46	44	0.543478	0.543478	ENST00000540199	0.543478	0	25	0	80.9017	0	-8.08882	-0.543478
270	ENSG00000129083.8	COPB1	2	45	52	0.539827	0.539827	ENST00000249923	0	0.539827	0	28.071	0	54.1968	8.26487	0.539827
271	ENSG00000172071.7	EIF2AK3	3	46	33	0.539818	0.539818	ENST00000415570	0	0.539818	0	17.814	0	41.9015	7.6115	0.539818
272	ENSG00000197043.9	ANXA6	4	226.999	240	0.53873	0.53873	ENST00000354546	0.428191	0.966921	97.199	232.061	221.107	617.838	1.2642	0.53873
273	ENSG00000078589.8	P2RY10	2	26	21	0.538476	0.538476	ENST00000171757	0	0.538476	0	11.308	0	48.1818	6.96007	0.538476
274	ENSG00000067955.9	CBFB	2	26	24	0.537731	0.537731	ENST00000290858	0.462269	1	12.019	24	22.1965	51.8753	1.0017	0.537731
275	ENSG00000145495.10	MARCH6	3	23	27	0.53437	0.53437	ENST00000449913	0	0.53437	0	14.428	0	32.0061	7.30909	0.53437
276	ENSG00000169230.5	PRELID1	2	31	22	0.532645	0.532645	ENST00000303204	0.467355	1	14.488	22	76.3769	135.743	0.608998	0.532645
277	ENSG00000187239.12	FNBP1	4	217	221	0.528687	0.53576	ENST00000446176	0.528687	0	114.725	0	118.892	0	-10.2828	-0.528687
278	ENSG00000128595.12	CALU	4	21	23.999	0.526189	0.623276	ENST00000449187	0	0.526189	0	12.628	0	36.0036	7.11814	0.526189
279	ENSG00000168016.9	TRANK1	2	20	26	0.524269	0.524269	ENST00000428977	0	0.524269	0	13.631	0	9.87684	7.22764	0.524269
280	ENSG00000145287.6	PLAC8	3	36	29	0.522898	0.522898	ENST00000411416	0.375722	0.898621	13.526	26.06	134.5	303.292	0.950874	0.522898
281	ENSG00000071564.10	TCF3	6	29.001	20	0.51955	0.77505	ENST00000262965	0	0.51955	0	10.391	0	14.4906	6.83908	0.51955
282	ENSG00000047315.10	POLR2B	3	57.672	64	0.516282	0.516282	ENST00000431623	0.516282	0	29.775	0	46.4558	0	-8.34014	-0.516282
283	ENSG00000139644.8	TMBIM6	4	88	100	0.51348	0.51348	ENST00000549385	0	0.51348	0	51.348	0	127.057	9.13397	0.51348
284	ENSG00000153029.10	MR1	4	21	21	0.513048	0.513048	ENST00000282990	0.513048	0	10.774	0	32.0268	0	-6.88142	-0.513048
285	ENSG00000087274.12	ADD1	2	48	47	0.512938	0.512938	ENST00000398129	0.487063	1	23.379	47	35.2297	82.8912	1.01409	0.512938
286	ENSG00000100644.12	HIF1A	2	40	32	0.507375	0.507375	ENST00000337138	0.507375	0	20.295	0	29.4811	0	-7.78924	-0.507375
287	ENSG00000129351.13	ILF3	7	65	60	0.499754	0.787067	ENST00000449870	0.499754	0	32.484	0	29.4995	0	-8.4654	-0.499754
288	ENSG00000123349.9	PFDN5	3	20	23	0.499752	0.499752	ENST00000551018	0.9071	0.407348	18.142	9.369	161.967	97.8973	-0.937137	-0.499752
289	ENSG00000077235.13	GTF3C1	2	22	28	0.497955	0.497955	ENST00000356183	0.497955	0	10.955	0	8.62705	0	-6.90526	-0.497955
290	ENSG00000140612.9	SEC11A	4	23	28.999	0.497296	0.497296	ENST00000455959	0.776478	0.279182	17.859	8.096	97.8274	51.9041	-1.12306	-0.497296
291	ENSG00000162521.14	RBBP4	5	53.999	40.355	0.493711	0.493711	ENST00000373485	0.254523	0.748234	13.744	30.195	62.77	161.401	1.13974	0.493711
292	ENSG00000111674.4	ENO2	2	22	23	0.491636	0.491636	ENST00000229277	0.508364	1	11.184	23	27.4312	66.0258	1.0436	0.491636
293	ENSG00000095139.9	ARCN1	3	46	61.007	0.487354	0.487354	ENST00000264028	1	0.512646	46	31.275	68.1978	54.2679	-0.545785	-0.487354
294	ENSG00000010244.12	ZNF207	4	46	47.001	0.485862	0.503279	ENST00000341711	0	0.485862	0	22.836	0	80.2527	7.96817	0.485862
295	ENSG00000082898.12	XPO1	2	85	82	0.484024	0.484024	ENST00000401558	1	0.515976	85	42.31	97.1132	56.576	-0.9954	-0.484024
296	ENSG00000100503.19	NIN	5	71.001	60	0.4822	0.575317	ENST00000530997	0	0.4822	0	28.932	0	22.2315	8.30831	0.4822
297	ENSG00000058673.11	ZC3H11A	3	48.711	34.818	0.480507	0.480507	ENST00000332127	0.480507	0	23.406	0	26.1807	0	-7.99413	-0.480507
298	ENSG00000137502.5	RAB30	3	33	22	0.477394	0.477394	ENST00000534141	0.477394	0	15.754	0	24.017	0	-7.42571	-0.477394
299	ENSG00000117676.9	RPS6KA1	3	39	38	0.474769	0.474769	ENST00000374163	0.474769	0	18.516	0	33.4306	0	-7.65752	-0.474769
300	ENSG00000075151.15	EIF4G3	4	24	22	0.473708	0.473708	ENST00000536266	0.473708	0	11.369	0	14.8443	0	-6.95833	-0.473708
301	ENSG00000075539.9	FRYL	3	20	33	0.47225	0.47225	ENST00000507711	0.47225	0	9.445	0	10.0135	0	-6.69321	-0.47225
302	ENSG00000103653.12	CSK	3	43	39	0.470605	0.470605	ENST00000220003	0.470605	0	20.236	0	42.8503	0	-7.78506	-0.470605
303	ENSG00000122299.7	ZC3H7A	3	25	31	0.47028	0.47028	ENST00000396516	0.47028	0	11.757	0	17.4309	0	-7.00637	-0.47028
304	ENSG00000063244.8	U2AF2	2	30	28	0.469643	0.469643	ENST00000308924	0	0.469643	0	13.15	0	56.6502	7.17616	0.469643
305	ENSG00000143612.14	C1ORF43	2	35	26	0.466829	0.466829	ENST00000350592	0.533171	1	18.661	26	73.1305	119.256	0.485958	0.466829
306	ENSG00000146963.13	C7ORF55-LUC7L2	2	20.927	20	0.4609	0.4609	ENST00000354926	1	0.5391	20.927	10.782	46.5708	28.0829	-0.941372	-0.4609
307	ENSG00000135905.14	DOCK10	2	34	44	0.460455	0.460455	ENST00000409592	0	0.460455	0	20.26	0	17.9567	7.79623	0.460455
308	ENSG00000168036.12	CTNNB1	3	38	35	0.460395	0.460395	ENST00000396183	0.460395	0	17.495	0	30.8967	0	-7.5761	-0.460395
309	ENSG00000215021.4	PHB2	2	44	42	0.458045	0.458045	ENST00000535923	0.541955	1	23.846	42	100.472	207.112	0.823728	0.458045
310	ENSG00000197122.7	SRC	2	22	21	0.457714	0.457714	ENST00000358208	1	0.542286	22	11.388	33.5208	20.3075	-0.934958	-0.457714
311	ENSG00000140740.6	UQCRC2	3	52	69	0.457623	0.457623	ENST00000563898	0	0.457623	0	31.576	0	170.393	8.4341	0.457623
312	ENSG00000109670.9	FBXW7	5	50.001	57	0.457531	0.529749	ENST00000296555	0.457531	0	22.877	0	36.7036	0	-7.96128	-0.457531
313	ENSG00000029363.11	BCLAF1	4	49	77	0.456859	0.559388	ENST00000527536	0.371388	0.828247	18.198	63.775	18.9398	77.6853	1.8135	0.456859
314	ENSG00000211455.3	STK38L	3	29	30	0.454654	0.454654	ENST00000389032	0.858621	0.403967	24.9	12.119	27.5452	15.6911	-1.02384	-0.454654
315	ENSG00000145901.10	TNIP1	6	128	102	0.454609	0.783734	ENST00000315050	0.454609	0	58.19	0	122.344	0	-9.30464	-0.454609
316	ENSG00000243678.7	NME1-NME2	3	45.947	37.853	0.453838	0.453838	ENST00000393183	0.893486	0.439648	41.053	16.642	552.531	262.16	-1.28847	-0.453838
317	ENSG00000134516.11	DOCK2	2	75	67	0.45197	0.45197	ENST00000540750	0	0.45197	0	30.282	0	42.912	8.37391	0.45197
318	ENSG00000136286.10	MYO1G	3	50	55	0.44928	0.44928	ENST00000258787	0.55072	1	27.536	55	48.6446	113.719	1.0052	0.44928
319	ENSG00000006114.11	SYNRG	2	27	20	0.448889	0.448889	ENST00000346661	0.551111	1	14.88	20	10.0593	15.8245	0.433816	0.448889
320	ENSG00000100697.10	DICER1	3	41	28	0.447854	0.447854	ENST00000343455	0.447854	0	18.362	0	9.76042	0	-7.64553	-0.447854
321	ENSG00000152291.9	TGOLN2	2	37	50	0.446405	0.446405	ENST00000282120	0.446405	0	16.517	0	15.7288	0	-7.49356	-0.446405
322	ENSG00000174500.8	GCSAM	4	22	21	0.445619	0.484	ENST00000495418	0	0.445619	0	9.358	0	94.0059	6.68941	0.445619
323	ENSG00000101608.8	MYL12A	4	72.006	56.003	0.444671	0.48514	ENST00000579226	0.444671	0	32.019	0	244.839	0	-8.44466	-0.444671
324	ENSG00000100353.13	EIF3D	3	53	56	0.443132	0.443132	ENST00000216190	0.443132	0	23.486	0	65.7092	0	-7.99903	-0.443132
325	ENSG00000133657.10	ATP13A3	2	32	35	0.442469	0.442469	ENST00000429136	0.442469	0	14.159	0	21.6919	0	-7.27266	-0.442469
326	ENSG00000090060.13	PAPOLA	2	41	43	0.440927	0.440927	ENST00000555626	0.440927	0	18.078	0	47.6529	0	-7.62315	-0.440927
327	ENSG00000136279.14	DBNL	5	33.001	30	0.43929	0.738826	ENST00000468694	0.43929	0	14.497	0	42.5004	0	-7.30648	-0.43929
328	ENSG00000142583.13	SLC2A5	4	37	32.999	0.439027	0.459262	ENST00000536305	0.439027	0	16.244	0	54.2457	0	-7.46965	-0.439027
329	ENSG00000169435.9	RASSF6	3	58	53.999	0.438156	0.438156	ENST00000307439	0.931517	0.493361	54.028	26.641	50.1321	28.9325	-1.00806	-0.438156
330	ENSG00000184110.10	EIF3C	3	120	88	0.438148	0.438148	ENST00000331666	0.47775	0.915898	57.33	80.599	105.547	173.671	0.500302	0.438148
331	ENSG00000104904.8	OAZ1	4	108	114.999	0.437627	0.437627	ENST00000602676	0.873083	0.435456	94.293	50.077	560.899	348.639	-0.902267	-0.437627
332	ENSG00000143549.15	TPM3	5	107	112.001	0.437037	0.527134	ENST00000341485	0.260832	0.697869	27.909	78.162	82.0456	268.932	1.49218	0.437037
333	ENSG00000197442.8	MAP3K5	2	34	36	0.436	0.436	ENST00000359015	1	0.564	34	20.304	36.631	25.6025	-0.731676	-0.436
334	ENSG00000234741.3	GAS5	8	28	27	0.435556	0.471649	ENST00000430245	0	0.435556	0	11.76	0	155.092	7.01617	0.435556
335	ENSG00000151135.5	C12ORF23	2	29	23	0.435483	0.435483	ENST00000280756	0.564517	1	16.371	23	28.0377	46.1035	0.497633	0.435483
336	ENSG00000101152.6	DNAJC5	2	22	20	0.433136	0.433136	ENST00000360864	0.566864	1	12.471	20	13.3932	25.138	0.686899	0.433136
337	ENSG00000116288.8	PARK7	3	41.001	55	0.43255	0.43255	ENST00000338639	0.56745	1	23.266	55	177.4	490.83	1.24741	0.43255
338	ENSG00000177200.11	CHD9	4	20	21	0.43145	0.4861	ENST00000447540	0.43145	0	8.629	0	4.10135	0	-6.56417	-0.43145
339	ENSG00000023902.9	PLEKHO1	3	40	20	0.430925	0.430925	ENST00000369124	0.569075	1	22.763	20	67.4012	69.3111	-0.176421	0.430925
340	ENSG00000143641.8	GALNT2	2	27	41	0.429667	0.429667	ENST00000366672	0.570333	1	15.399	41	19.5226	60.8368	1.41691	0.429667
341	ENSG00000204469.8	PRRC2A	2	64	58	0.429563	0.429562	ENST00000376033	0.429563	0	27.492	0	22.0942	0	-8.22542	-0.429563
342	ENSG00000124795.10	DEK	2	62	45	0.428333	0.428333	ENST00000397239	1	0.571667	62	25.725	104.013	50.5109	-1.25661	-0.428333
343	ENSG00000124151.14	NCOA3	3	78	90	0.428116	0.428116	ENST00000372004	0.521962	0.950078	40.713	85.507	28.221	69.3708	1.07834	0.428116
344	ENSG00000167792.7	NDUFV1	2	24	23	0.427826	0.427826	ENST00000529927	0	0.427826	0	9.84	0	48.9902	6.76118	0.427826
345	ENSG00000197451.6	HNRNPAB	2	58	36	0.427778	0.427778	ENST00000355836	0	0.427778	0	15.4	0	71.0536	7.40257	0.427778
346	ENSG00000205531.8	NAP1L4	4	28	35	0.427029	0.57	ENST00000380542	0.43	0.857029	12.04	29.996	28.3811	82.7569	1.31984	0.427029
347	ENSG00000004455.12	AK2	5	38	39	0.426132	0.678868	ENST00000480134	0.426132	0	16.193	0	153.842	0	-7.46514	-0.426132
348	ENSG00000103342.8	GSPT1	3	54	42	0.426005	0.426005	ENST00000434724	0.179685	0.60569	9.703	25.439	7.5443	23.1492	1.39159	0.426005
349	ENSG00000132507.13	EIF5A	6	109.912	106.98	0.425257	0.825628	ENST00000336452	0	0.425257	0	45.494	0	284.362	8.95967	0.425257
350	ENSG00000213654.5	GPSM3	2	25	26	0.424077	0.424077	ENST00000472768	0	0.424077	0	11.026	0	58.9373	6.92393	0.424077
351	ENSG00000104921.10	FCER2	3	58	61	0.423996	0.423996	ENST00000597921	0.601914	0.177918	34.911	10.853	142.037	51.6822	-1.66776	-0.423996
352	ENSG00000017260.15	ATP2C1	5	46	39	0.423804	0.611	ENST00000504612	0.423804	0	19.495	0	35.854	0	-7.73149	-0.423804
353	ENSG00000160216.14	AGPAT3	3	24	36	0.421542	0.421542	ENST00000327505	0.421542	0	10.117	0	16.1483	0	-6.79145	-0.421542
354	ENSG00000115091.7	ACTR3	3	136	125	0.418003	0.418003	ENST00000535589	0.604147	0.186144	82.164	23.268	342.123	113.396	-1.8066	-0.418003
355	ENSG00000101972.14	STAG2	2	38	46	0.417565	0.417565	ENST00000371157	1	0.582435	38	26.792	35.2783	29.1114	-0.493261	-0.417565
356	ENSG00000118705.12	RPN2	3	70	81	0.416157	0.416157	ENST00000373622	0.416157	0	29.131	0	74.0042	0	-8.30869	-0.416157
357	ENSG00000096746.13	HNRNPH3	2	25	24	0.415482	0.415482	ENST00000265866	0.28656	0.702042	7.164	16.849	18.2777	50.3125	1.23271	0.415482
358	ENSG00000125107.12	CNOT1	5	138	112	0.414232	0.414232	ENST00000569240	0	0.414232	0	46.394	0	39.0561	8.98787	0.414232
359	ENSG00000153827.9	TRIP12	6	77.999	92	0.413775	0.468929	ENST00000389044	0.413775	0	32.274	0	27.9474	0	-8.45607	-0.413775
360	ENSG00000169813.12	HNRNPF	4	58	67	0.412914	0.552284	ENST00000356053	0.412914	0	23.949	0	52.7457	0	-8.02709	-0.412914
361	ENSG00000126777.13	KTN1	3	71	50	0.412817	0.412817	ENST00000395309	0.412817	0	29.31	0	39.035	0	-8.3175	-0.412817
362	ENSG00000167491.13	GATAD2A	3	23	21	0.412571	0.412571	ENST00000418032	0	0.412571	0	8.664	0	16.7333	6.57936	0.412571
363	ENSG00000169223.10	LMAN2	3	23	28	0.411893	0.411893	ENST00000502560	0	0.411893	0	11.533	0	114.92	6.98827	0.411893
364	ENSG00000173692.8	PSMD1	2	34	33	0.411848	0.411848	ENST00000308696	1	0.588152	34	19.409	58.912	39.3609	-0.796415	-0.411848
365	ENSG00000205352.6	PRR13	4	28.999	22.535	0.410141	0.799579	ENST00000546581	0.200421	0.610561	5.812	13.759	55.3199	153.266	1.23965	0.410141
366	ENSG00000169032.5	MAP2K1	2	23.024	39	0.409436	0.409436	ENST00000307102	1	0.590564	23.024	23.032	38.8338	45.4661	0.00997079	-0.409436
367	ENSG00000118363.7	SPCS2	3	38	23	0.406391	0.406391	ENST00000526361	0	0.406391	0	9.347	0	111.703	6.68773	0.406391
368	ENSG00000086061.11	DNAJA1	2	47	60	0.405377	0.405377	ENST00000330899	0.448489	0.853867	21.079	51.232	52.7208	149.969	1.28703	0.405377
369	ENSG00000135624.11	CCT7	2	47	51	0.405191	0.405191	ENST00000258091	0.594809	1	27.956	51	89.4355	190.959	0.874688	0.405191
370	ENSG00000156738.13	MS4A1	5	98	127	0.399952	0.415299	ENST00000532073	0.872857	0.472906	85.54	60.059	197.365	162.186	-0.500065	-0.399952
371	ENSG00000125743.6	SNRPD2	3	21	20	0.399476	0.399476	ENST00000590212	0.399476	0	8.389	0	219.184	0	-6.52392	-0.399476
372	ENSG00000112339.10	HBS1L	5	25	22	0.397051	0.397051	ENST00000367826	0.46104	0.858091	11.526	18.878	25.0432	48.0071	0.716813	0.397051
373	ENSG00000173744.13	AGFG1	5	24	32	0.396094	0.554906	ENST00000409171	0	0.396094	0	12.675	0	51.5764	7.12346	0.396094
374	ENSG00000125354.18	SEPT6	4	65	81	0.395246	0.395246	ENST00000354228	0.395246	0	25.691	0	103.262	0	-8.12801	-0.395246
375	ENSG00000007312.8	CD79B	3	36	27	0.394593	0.394593	ENST00000006750	0	0.394593	0	10.654	0	65.2176	6.87483	0.394593
376	ENSG00000131467.6	PSME3	4	42	26	0.390262	0.49369	ENST00000592169	0.390262	0	16.391	0	151.665	0	-7.48257	-0.390262
377	ENSG00000142657.16	PGD	2	26	28	0.389	0.389	ENST00000270776	1	0.611	26	17.108	84.7553	65.2709	-0.591736	-0.389
378	ENSG00000108883.8	EFTUD2	4	23	35	0.3882	0.3882	ENST00000591382	0	0.3882	0	13.587	0	24.747	7.22301	0.3882
379	ENSG00000083642.14	PDS5B	3	27.999	34	0.387861	0.387861	ENST00000450460	0.348727	0.736588	9.764	25.044	10.4167	31.2704	1.36014	0.387861
380	ENSG00000174238.10	PITPNA	2	25	26	0.3866	0.3866	ENST00000313486	0.6134	1	15.335	26	22.3189	44.2895	0.76762	0.3866
381	ENSG00000087191.8	PSMC5	3	21	21	0.386476	0.386476	ENST00000585242	0.386476	0	8.116	0	46.6145	0	-6.47671	-0.386476
382	ENSG00000075142.9	SRI	3	22	21	0.386182	0.386182	ENST00000419179	0.386182	0	8.496	0	42.8387	0	-6.542	-0.386182
383	ENSG00000130175.5	PRKCSH	4	35	33.001	0.386029	0.386029	ENST00000591462	0.386029	0	13.511	0	36.758	0	-7.20552	-0.386029
384	ENSG00000119414.7	PPP6C	3	21	23	0.385667	0.385667	ENST00000373547	0.393333	0.779	8.26	17.917	11.3821	28.8953	1.11797	0.385667
385	ENSG00000186517.9	ARHGAP30	2	44	36	0.38453	0.38453	ENST00000368015	0.438136	0.822667	19.278	29.616	28.2513	50.796	0.626503	0.38453
386	ENSG00000205268.6	PDE7A	2	34	32	0.383344	0.383344	ENST00000379419	0	0.383344	0	12.267	0	35.182	7.0766	0.383344
