#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant
HDHD3	HDHD3	NM_001304511.2	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
HDHD3	HDHD3	NM_001371923.1	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
HDHD3	HDHD3	NM_031219.4	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
HEMGN	HEMGN	NM_018437.5	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
HEMGN	HEMGN	NM_197978.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
HMCN2	HMCN2	NM_001291815.2	protein_coding	0	1	3	0	0	0	0	0	3	0	0	0	1
INPP5E	INPP5E	NM_001318502.2	protein_coding	0	1	1	1	0	0	0	1	1	0	0	0	1
INPP5E	INPP5E	NM_019892.6	protein_coding	0	1	1	1	0	0	0	1	1	0	0	0	1
INVS	INVS	NM_001318381.1	protein_coding	0	2	0	2	0	0	0	3	0	0	1	0	1
INVS	INVS	NM_001318382.1	protein_coding	0	2	0	2	0	0	0	3	0	0	1	0	1
INVS	INVS	NM_014425.5	protein_coding	0	2	0	2	0	0	0	3	0	0	1	0	1
KCNT1	KCNT1	NM_001272003.2	protein_coding	0	1	0	3	0	0	0	3	0	0	0	0	1
KCNT1	KCNT1	NM_020822.3	protein_coding	0	1	0	3	0	0	0	3	0	0	0	0	1
KYAT1	KYAT1	NM_001122671.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
KYAT1	KYAT1	NM_001122672.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
KYAT1	KYAT1	NM_001287390.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
KYAT1	KYAT1	NM_001352988.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
KYAT1	KYAT1	NM_001352989.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
KYAT1	KYAT1	NM_001352990.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
KYAT1	KYAT1	NM_001352991.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
KYAT1	KYAT1	NM_001352992.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
KYAT1	KYAT1	NM_001352993.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
KYAT1	KYAT1	NM_001352994.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
KYAT1	KYAT1	NM_001352995.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
KYAT1	KYAT1	NM_001352996.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
KYAT1	KYAT1	NM_001352997.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
KYAT1	KYAT1	NM_001352998.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
KYAT1	KYAT1	NM_001352999.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
KYAT1	KYAT1	NM_004059.5	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
LAMC3	LAMC3	NM_006059.4	protein_coding	0	8	7	5	0	0	0	6	7	0	3	0	7
LCN12	LCN12	NM_178536.4	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
LCN15	LCN15	NM_203347.2	protein_coding	0	0	3	0	0	0	0	0	3	0	0	0	0
LCN2	LCN2	NM_005564.5	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
LCN8	LCN8	NM_001345934.1	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0
LCN8	LCN8	NM_178469.3	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0
LCN9	LCN9	NM_001001676.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
LHX2	LHX2	NM_004789.4	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
LHX3	LHX3	NM_014564.5	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
LHX3	LHX3	NM_178138.6	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
LMX1B	LMX1B	NM_001174146.2	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	2
LMX1B	LMX1B	NM_001174147.2	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	2
LMX1B	LMX1B	NM_002316.4	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	2
LPAR1	LPAR1	NM_001351397.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
LPAR1	LPAR1	NM_001351398.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
LPAR1	LPAR1	NM_001351399.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
LPAR1	LPAR1	NM_001351400.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
LPAR1	LPAR1	NM_001351401.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
LPAR1	LPAR1	NM_001351402.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
LPAR1	LPAR1	NM_001351403.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
LPAR1	LPAR1	NM_001351404.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
LPAR1	LPAR1	NM_001351405.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
LPAR1	LPAR1	NM_001351406.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
LPAR1	LPAR1	NM_001351407.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
LPAR1	LPAR1	NM_001351408.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
LPAR1	LPAR1	NM_001351409.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
LPAR1	LPAR1	NM_001351410.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
LPAR1	LPAR1	NM_001351411.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
LPAR1	LPAR1	NM_001351412.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
LPAR1	LPAR1	NM_001351413.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
LPAR1	LPAR1	NM_001351414.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
LPAR1	LPAR1	NM_001351415.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
LPAR1	LPAR1	NM_001351416.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
LPAR1	LPAR1	NM_001351417.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
LPAR1	LPAR1	NM_001351418.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
LPAR1	LPAR1	NM_001351419.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
LPAR1	LPAR1	NM_001351420.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
LPAR1	LPAR1	NM_001401.5	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
LPAR1	LPAR1	NM_057159.4	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
LRSAM1	LRSAM1	NM_001005373.3	protein_coding	0	1	1	2	0	0	0	3	1	0	1	0	0
LRSAM1	LRSAM1	NM_001005374.3	protein_coding	0	1	1	2	0	0	0	3	1	0	1	0	0
LRSAM1	LRSAM1	NM_001190723.3	protein_coding	0	1	1	2	0	0	0	3	1	0	1	0	0
LRSAM1	LRSAM1	NM_138361.5	protein_coding	0	1	1	2	0	0	0	3	1	0	1	0	0
MAMDC4	MAMDC4	NM_206920.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
MAN1B1	MAN1B1	NM_016219.5	protein_coding	0	2	1	29	1	0	0	29	1	0	1	0	1
MAPKAP1	MAPKAP1	NM_001006617.3	protein_coding	0	0	0	2	1	0	0	1	0	0	0	0	0
MAPKAP1	MAPKAP1	NM_001006618.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
MAPKAP1	MAPKAP1	NM_001006619.1	protein_coding	0	0	0	2	1	0	0	1	0	0	0	0	0
MAPKAP1	MAPKAP1	NM_001006620.1	protein_coding	0	0	0	2	1	0	0	1	0	0	0	0	0
MAPKAP1	MAPKAP1	NM_001006621.1	protein_coding	0	0	0	2	1	0	0	1	0	0	0	0	0
MAPKAP1	MAPKAP1	NM_024117.3	protein_coding	0	0	0	2	1	0	0	1	0	0	0	0	0
MED22	MED22	NM_133640.5	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0
MEGF9	MEGF9	NM_001080497.3	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
MIGA2	MIGA2	NM_001329990.2	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
MIGA2	MIGA2	NM_032809.3	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
MSANTD3-TMEFF1	MSANTD3-TMEFF1	NM_001198812.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
MUSK	MUSK	NM_001166280.2	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
MUSK	MUSK	NM_001166281.2	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
MUSK	MUSK	NM_001369398.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
MUSK	MUSK	NM_005592.4	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
MVB12B	MVB12B	NM_001011703.3	protein_coding	0	0	0	2	1	0	0	1	0	0	0	0	0
MVB12B	MVB12B	NM_033446.3	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
MYMK	MYMK	NM_001080483.3	protein_coding	0	1	0	2	0	0	0	2	0	0	0	0	1
NANS	NANS	NM_018946.4	protein_coding	0	1	1	0	0	0	0	0	1	0	0	0	1
NCBP1	NCBP1	NM_001351504.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
NCBP1	NCBP1	NM_001351505.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
NCBP1	NCBP1	NM_001351506.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
NCBP1	NCBP1	NM_001351507.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
NCBP1	NCBP1	NM_002486.5	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
NCS1	NCS1	NM_001128826.2	protein_coding	0	0	0	6	0	0	2	4	0	0	0	0	0
NCS1	NCS1	NM_014286.4	protein_coding	0	0	0	6	0	0	0	6	0	0	0	0	0
NDOR1	NDOR1	NM_001144026.3	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
NDOR1	NDOR1	NM_001144027.3	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
NDOR1	NDOR1	NM_001144028.3	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
NDOR1	NDOR1	NM_014434.3	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
NDUFA8	NDUFA8	NM_001318195.2	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	1
NDUFA8	NDUFA8	NM_014222.3	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	1
NEK6	NEK6	NM_001145001.2	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	1
NEK6	NEK6	NM_001166167.1	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	1
NEK6	NEK6	NM_001166168.1	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	1
NEK6	NEK6	NM_001166169.1	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	1
NEK6	NEK6	NM_001166170.1	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	1
NEK6	NEK6	NM_001166171.1	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	1
NEK6	NEK6	NM_014397.5	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	1
NELFB	NELFB	NM_015456.5	protein_coding	0	2	0	1	0	0	0	1	0	0	0	0	2
NIPSNAP3A	NIPSNAP3A	NM_001329570.2	protein_coding	0	0	1	2	1	0	0	1	1	0	0	0	0
NIPSNAP3A	NIPSNAP3A	NM_015469.3	protein_coding	0	0	1	2	1	0	0	1	1	0	0	0	0
NIPSNAP3B	NIPSNAP3B	NM_018376.4	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
NOTCH1	NOTCH1	NM_017617.5	protein_coding	0	6	0	9	0	0	0	11	0	0	2	0	4
NOXA1	NOXA1	NM_001256067.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
NOXA1	NOXA1	NM_001256068.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
NOXA1	NOXA1	NM_006647.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
NPDC1	NPDC1	NM_015392.4	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
NR4A3	NR4A3	NM_006981.4	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
NR4A3	NR4A3	NM_173199.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
NR4A3	NR4A3	NM_173200.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
NR5A1	NR5A1	NM_004959.5	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
NSMF	NSMF	NM_001130969.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
NSMF	NSMF	NM_001130970.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
NSMF	NSMF	NM_001130971.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
NSMF	NSMF	NM_001178064.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
NSMF	NSMF	NM_015537.4	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
NTNG2	NTNG2	NM_032536.4	protein_coding	0	1	1	0	0	0	0	0	1	0	0	0	1
NUP188	NUP188	NM_015354.3	protein_coding	0	1	0	5	0	0	0	5	0	0	0	0	1
NUP214	NUP214	NM_001318324.2	protein_coding	0	1	1	2	0	0	0	2	1	0	0	0	1
NUP214	NUP214	NM_005085.4	protein_coding	0	1	1	2	0	0	0	2	1	0	0	0	1
OBP2A	OBP2A	NM_001293189.2	protein_coding	0	1	3	5	0	0	0	5	3	0	0	0	1
OBP2A	OBP2A	NM_001293193.2	protein_coding	0	1	3	5	0	0	0	5	3	0	0	0	1
OBP2A	OBP2A	NM_014582.3	protein_coding	0	1	3	5	0	0	0	5	3	0	1	0	1
OBP2B	OBP2B	NM_001288987.1	protein_coding	0	1	1	9	0	0	0	9	1	0	0	0	1
OBP2B	OBP2B	NM_014581.3	protein_coding	0	1	1	9	0	0	0	9	1	0	0	0	1
ODF2	ODF2	NM_001242352.1	protein_coding	1	0	0	1	0	0	0	2	0	1	0	0	0
ODF2	ODF2	NM_001242353.2	protein_coding	0	1	0	1	0	0	0	1	0	0	1	0	1
ODF2	ODF2	NM_001242354.1	protein_coding	1	0	0	1	0	0	0	2	0	1	0	0	0
ODF2	ODF2	NM_001351577.1	protein_coding	1	0	0	1	0	0	0	2	0	1	0	0	0
ODF2	ODF2	NM_001351578.1	protein_coding	1	0	0	1	0	0	0	2	0	1	0	0	0
ODF2	ODF2	NM_001351579.2	protein_coding	0	1	0	1	0	0	0	1	0	0	1	0	1
ODF2	ODF2	NM_001351580.2	protein_coding	0	1	0	1	0	0	0	1	0	0	1	0	1
ODF2	ODF2	NM_001351581.1	protein_coding	1	0	0	1	0	0	0	2	0	1	0	0	0
ODF2	ODF2	NM_001351582.2	protein_coding	0	1	0	1	0	0	0	1	0	0	1	0	1
ODF2	ODF2	NM_001351583.2	protein_coding	0	1	0	1	0	0	0	1	0	0	1	0	1
ODF2	ODF2	NM_001351584.2	protein_coding	0	1	0	1	0	0	0	1	0	0	1	0	1
ODF2	ODF2	NM_001351585.2	protein_coding	0	1	0	1	0	0	0	1	0	0	1	0	1
ODF2	ODF2	NM_001351586.2	protein_coding	0	1	0	1	0	0	0	1	0	0	1	0	1
ODF2	ODF2	NM_001351587.2	protein_coding	0	1	0	1	0	0	0	1	0	0	1	0	1
ODF2	ODF2	NM_001351588.2	protein_coding	0	1	0	1	0	0	0	1	0	0	1	0	1
ODF2	ODF2	NM_002540.5	protein_coding	0	1	0	1	0	0	1	0	0	0	1	0	1
ODF2	ODF2	NM_153432.1	protein_coding	1	0	0	1	0	0	0	2	0	1	0	0	0
ODF2	ODF2	NM_153433.2	protein_coding	0	1	0	1	0	0	0	1	0	0	1	0	1
ODF2	ODF2	NM_153435.1	protein_coding	1	0	0	1	0	0	0	2	0	1	0	0	0
ODF2	ODF2	NM_153436.1	protein_coding	1	0	0	1	0	0	0	2	0	1	0	0	0
ODF2	ODF2	NM_153437.2	protein_coding	1	0	0	1	0	0	0	2	0	1	0	0	0
ODF2	ODF2	NM_153439.1	protein_coding	1	0	0	1	0	0	0	2	0	1	0	0	0
ODF2	ODF2	NM_153440.1	protein_coding	1	0	0	1	0	0	0	2	0	1	0	0	0
OLFM1	OLFM1	NM_001282611.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
OLFM1	OLFM1	NM_001282612.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
OLFM1	OLFM1	NM_006334.4	protein_coding	0	1	0	2	0	0	0	2	0	0	0	0	1
OLFM1	OLFM1	NM_014279.5	protein_coding	0	1	0	2	0	0	0	2	0	0	0	0	1
OR13C2	OR13C2	NM_001004481.1	protein_coding	0	1	3	0	0	0	0	0	3	0	0	0	1
OR13C5	OR13C5	NM_001004482.1	protein_coding	0	3	6	0	0	0	0	0	6	0	0	0	3
OR13C8	OR13C8	NM_001004483.1	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
OR13C9	OR13C9	NM_001001956.1	protein_coding	0	1	2	0	0	0	0	0	2	0	0	0	1
OR13F1	OR13F1	NM_001004485.1	protein_coding	0	1	4	0	0	0	0	0	4	0	0	0	1
OR1B1	OR1B1	NM_001004450.1	protein_coding	1	2	3	0	0	0	0	0	3	0	0	1	2
OR1J1	OR1J1	NM_001004451.1	protein_coding	1	0	0	0	0	0	0	0	0	0	0	1	0
OR1L4	OR1L4	NM_001005235.1	protein_coding	0	0	2	0	0	0	0	0	2	0	0	0	0
OR1L6	OR1L6	NM_001004453.2	protein_coding	0	0	5	0	0	0	0	0	5	0	0	0	0
OR1Q1	OR1Q1	NM_012364.1	protein_coding	0	0	2	0	0	0	0	0	2	0	0	0	0
OR2K2	OR2K2	NM_205859.2	protein_coding	0	1	1	0	0	0	0	0	1	0	0	0	1
ORM1	ORM1	NM_000607.2	protein_coding	0	0	1	2	0	0	0	2	1	0	1	0	0
ORM2	ORM2	NM_000608.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
PAEP	PAEP	NM_001018048.2	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
PAEP	PAEP	NM_001018049.3	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
PAEP	PAEP	NM_002571.4	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
PALM2AKAP2	PALM2AKAP2	NM_001004065.4	protein_coding	0	0	2	0	0	0	0	0	2	0	0	0	0
PALM2AKAP2	PALM2AKAP2	NM_001037293.2	protein_coding	0	1	0	1	0	0	0	2	0	0	1	0	0
PALM2AKAP2	PALM2AKAP2	NM_001136562.3	protein_coding	0	0	2	0	0	0	0	0	2	0	0	0	0
PALM2AKAP2	PALM2AKAP2	NM_001198656.1	protein_coding	0	0	2	0	0	0	0	0	2	0	0	0	0
PALM2AKAP2	PALM2AKAP2	NM_007203.5	protein_coding	0	1	2	1	0	0	0	2	2	0	1	0	0
PALM2AKAP2	PALM2AKAP2	NM_053016.6	protein_coding	0	1	0	1	0	0	0	2	0	0	1	0	0
PALM2AKAP2	PALM2AKAP2	NM_147150.3	protein_coding	0	1	2	1	0	0	0	2	2	0	1	0	0
PAPPA	PAPPA	NM_002581.5	protein_coding	0	2	1	0	0	0	0	0	1	0	0	0	2
PGAP4	PGAP4	NM_001303107.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
PGAP4	PGAP4	NM_001303108.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
PGAP4	PGAP4	NM_001371233.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
PGAP4	PGAP4	NM_032342.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
PHF19	PHF19	NM_001009936.3	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	1
PHF19	PHF19	NM_001286840.1	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
PHF19	PHF19	NM_001286842.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
PHF19	PHF19	NM_001286843.2	protein_coding	0	0	0	2	1	0	0	1	0	0	0	0	0
PHF19	PHF19	NM_015651.3	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
PHYHD1	PHYHD1	NM_001100876.2	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	2
PHYHD1	PHYHD1	NM_001100877.1	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	2
PHYHD1	PHYHD1	NM_174933.4	protein_coding	0	1	1	0	0	0	0	0	1	0	0	0	1
PKN3	PKN3	NM_001317926.2	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
PKN3	PKN3	NM_013355.5	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
PLPP7	PLPP7	NM_032728.4	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
PNPLA7	PNPLA7	NM_001098537.3	protein_coding	0	0	2	1	0	0	0	1	2	0	0	0	0
PNPLA7	PNPLA7	NM_152286.5	protein_coding	0	0	2	1	0	0	0	1	2	0	0	0	0
POMT1	POMT1	NM_001077365.2	protein_coding	0	2	1	13	1	0	0	12	1	0	0	0	2
POMT1	POMT1	NM_001077366.2	protein_coding	0	2	1	13	1	0	0	12	1	0	0	0	2
POMT1	POMT1	NM_001136113.1	protein_coding	0	2	1	13	1	0	0	12	1	0	0	0	2
POMT1	POMT1	NM_001136114.1	protein_coding	0	2	1	13	1	0	0	12	1	0	0	0	2
POMT1	POMT1	NM_001353193.2	protein_coding	0	2	2	12	1	0	0	11	2	0	0	0	2
POMT1	POMT1	NM_001353194.2	protein_coding	0	2	1	13	1	0	0	12	1	0	0	0	2
POMT1	POMT1	NM_001353195.2	protein_coding	0	2	1	13	1	0	0	12	1	0	0	0	2
POMT1	POMT1	NM_001353196.2	protein_coding	0	2	1	13	1	0	0	12	1	0	0	0	2
POMT1	POMT1	NM_001353197.2	protein_coding	0	2	2	12	1	0	0	11	2	0	0	0	2
POMT1	POMT1	NM_001353198.2	protein_coding	0	2	2	12	1	0	0	11	2	0	0	0	2
POMT1	POMT1	NM_001353199.2	protein_coding	0	2	2	12	1	0	0	11	2	0	0	0	2
POMT1	POMT1	NM_001353200.2	protein_coding	0	2	1	13	1	0	0	12	1	0	0	0	2
POMT1	POMT1	NM_007171.3	protein_coding	0	2	2	12	1	0	0	11	2	0	0	0	2
PPP1R26	PPP1R26	NM_014811.5	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
PPP6C	PPP6C	NM_001123355.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
PPP6C	PPP6C	NM_001123369.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
PPP6C	PPP6C	NM_002721.5	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
PRRC2B	PRRC2B	NM_013318.3	protein_coding	0	2	5	3	0	0	0	3	5	0	0	0	2
PSMB7	PSMB7	NM_002799.4	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
PSMD5	PSMD5	NM_001270427.2	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	1
PSMD5	PSMD5	NM_005047.4	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	1
PTBP3	PTBP3	NM_001163788.3	protein_coding	0	1	0	6	2	0	0	5	0	0	1	0	0
PTBP3	PTBP3	NM_001163790.2	protein_coding	0	1	0	6	2	0	0	5	0	0	1	0	0
PTBP3	PTBP3	NM_001244896.2	protein_coding	0	1	0	6	2	0	0	5	0	0	1	0	0
PTBP3	PTBP3	NM_001244897.2	protein_coding	0	1	2	4	0	0	0	5	2	0	1	0	0
PTBP3	PTBP3	NM_001244898.1	protein_coding	0	0	0	6	2	0	0	4	0	0	0	0	0
PTBP3	PTBP3	NM_005156.7	protein_coding	0	1	0	6	2	0	0	5	0	0	1	0	0
PTGDS	PTGDS	NM_000954.6	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
PTGES2	PTGES2	NM_001256335.1	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	1
PTGES2	PTGES2	NM_025072.7	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	1
PTGES2	PTGES2	NM_198938.2	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	1
PTGR1	PTGR1	NM_001146108.2	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
PTGR1	PTGR1	NM_001146109.1	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
PTGR1	PTGR1	NM_012212.3	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
PTGS1	PTGS1	NM_000962.4	protein_coding	0	1	1	1	0	0	0	1	1	0	0	0	1
PTGS1	PTGS1	NM_001271164.2	protein_coding	0	1	1	1	0	0	0	1	1	0	0	0	1
PTGS1	PTGS1	NM_001271165.2	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	1
PTGS1	PTGS1	NM_001271166.2	protein_coding	0	1	0	2	0	0	1	1	0	0	0	0	1
PTGS1	PTGS1	NM_001271367.2	protein_coding	0	1	0	2	0	0	1	1	0	0	0	0	1
PTGS1	PTGS1	NM_001271368.2	protein_coding	0	1	0	2	0	0	1	1	0	0	0	0	1
PTGS1	PTGS1	NM_080591.3	protein_coding	0	1	1	1	0	0	0	1	1	0	0	0	1
PTPA	PTPA	NM_001193397.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
PTPA	PTPA	NM_001271832.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
PTPA	PTPA	NM_021131.5	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
PTPA	PTPA	NM_178000.3	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
PTPA	PTPA	NM_178001.2	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
PTPA	PTPA	NM_178003.3	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
PTRH1	PTRH1	NM_001002913.3	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
PTRH1	PTRH1	NM_001345977.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
PTRH1	PTRH1	NM_001345978.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
PTRH1	PTRH1	NM_001345979.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
PTRH1	PTRH1	NM_001345980.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
RAB14	RAB14	NM_016322.4	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
RABEPK	RABEPK	NM_001174152.1	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
