Supplementary Table 3. Associations observed at p<5x10-8 and variant features.	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6
86	mono.trait19	CD14 on CD14+ CD16- monocyte	2	1773	0.0034	5:139976959,5:139992162
93	Bcells.trait379	CD20 on IgD+ CD24-	2	7539	0.058	6:15880540
93	Bcells.trait383	CD20 on IgD+ CD38br	1	6	0.3	6:15880540
93	Bcells.trait384	CD20 on IgD+ CD38dim	2	8838	0.042	6:15880540
93	Bcells.trait397	CD20 on naive-mature B cell	2	7911	0.05	6:15914349
93	Bcells.trait400	CD20 on IgD+	2	8649	0.049	6:15913304
93	Bcells.trait401	CD20 on transitional	2	6754	0.06	6:15897007
98	Blue.585.42.Treg.trait15	CD28 on CD45RA+ CD4+	3	12854	0.034	6:90961201,6:90976768,6:90989125
98	Blue.585.42.Treg.trait20	CD28 on CD28+ CD4+	2	904	0.075	6:90976768
98	Blue.585.42.Treg.trait3	CD28 on CD28+ CD45RA+ CD8br	2	10	0.16	6:90968949,6:90976768
98	Blue.585.42.Treg.trait5	CD28 on CD4+	2	1571	0.083	6:90976768
98	Blue.585.42.Treg.trait7	CD28 on resting Treg	2	11	0.13	6:90968949,6:90976768
98	Red.780.60.cDC.trait1	CD80 on myeloid DC	1	49	0.13	6:90852258
98	Red.780.60.cDC.trait2	CD80 on CD62L+ myeloid DC	1	19	0.28	6:90852258
99	Blue.530.30.TBNK.trait5	CD3 on NKT	2	450	0.31	6:100020651
99	Blue.585.42.TBNK.trait1	CD16-CD56 on NKT	1	1	1	6:100020651
99	Blue.585.42.Treg.trait21	CD28 on CD28+ DN (CD4-CD8-)	1	1	1	6:100020651
99	MT_Trait550	EM DN (CD4-CD8-) %T cell	2	251	0.33	6:100020651
99	TB_ry_Trait524	CD8dim AC	1	1	0.98	6:100020651
99	TB_ry_Trait525	CD8dim %T cell	1	1	1	6:100020651
99	TB_ry_Trait528	DN (CD4-CD8-) %T cell	1	1	1	6:100020651
99	TB_Trait514	CD4+ %leukocyte	1	1	1	6:100020651
99	TB_Trait526	CD8dim %leukocyte	1	1	1	6:100020651
99	TB_Trait529	DN (CD4-CD8-) %leukocyte	2	219	0.33	6:100020651
99	TB_Trait539	NKT AC	1	1	1	6:100020651
99	TB_Trait540	NKT %T cell	1	1	1	6:100020651
99	TB_Trait541	NKT %lymphocyte	1	1	1	6:100020651
99	TB_Trait551	CD8dim NKT AC	1	1	1	6:100020651
99	TB_Trait552	CD8dim NKT %T cell	1	1	1	6:100020651
99	TB_Trait553	CD8dim NKT %lymphocyte	1	1	1	6:100020651
99	TB_Trait554	DN (CD4-CD8-) NKT AC	1	1	1	6:100020651
99	TB_Trait555	DN (CD4-CD8-) NKT %T cell	1	1	1	6:100020651
99	TB_Trait556	DN (CD4-CD8-) NKT %lymphocyte	1	1	1	6:100020651
99	Treg_Trait574	CD28- CD8dim %T cell	1	1	1	6:100020651
99	Treg_Trait576	CD28- CD8dim AC	1	1	1	6:100020651
100	Bcells.trait418	CD24 on CD24+ CD27+	4	14969	0.0039	6:107087063,6:107161604,6:107164289,6:107168477
100	Bcells.trait438	CD24 on IgD+ CD24+	4	30601	0.0037	6:106984011,6:107134159,6:107168477
100	Bcells.trait439	CD24 on IgD+ CD38-	2	739	0.016	6:107092374,6:107164076
100	Bcells.trait442	CD24 on IgD+ CD38br	2	1547	0.008	6:106999132,6:107155687
100	Bcells.trait445	CD24 on IgD- CD38-	3	17444	0.02	6:106922549,6:107134159,6:107168477
100	Bcells.trait446	CD24 on IgD- CD38dim	4	25867	0.0041	6:107087063,6:107134159,6:107169748
100	Bcells.trait448	CD24 on memory B cell	3	35564	0.0014	6:107087063,6:107168477
100	Bcells.trait449	CD24 on unsw mem	3	30233	0.0026	6:107087063,6:107164076
100	Bcells.trait450	CD24 on sw mem	4	26259	0.01	6:106944705,6:107134159,6:107168477
100	Bcells.trait451	CD24 on transitional	3	39642	0.0011	6:107159822,6:107161597
103	Blue.585.42.MDSC.trait1	CD34 on HSC	2	24007	0.0019	6:109598221
105	Red.660.20.cDC.trait3	CCR2 on plasmacytoid DC	2	607	0.17	7:1095701
105	Red.660.20.cDC.trait4	CCR2 on CD62L+ plasmacytoid DC	2	606	0.17	7:1095701
106	Bcells.trait780	IgD on IgD+ CD38br	1	22	0.14	7:2350451
106	Bcells.trait787	IgD on transitional	1	25	0.13	7:2354352
114	f_DC_Trait504	Plasmacytoid DC AC	2	2136	0.024	7:50308811
116	Blue.670.LP.Treg.trait13	CD127 on granulocyte	2	134	0.11	7:92408370
116	FSC.cDC.trait5	FSC-A on granulocyte	2	19	0.17	7:92237426,7:92408370
116	Red.660.20.cDC.trait6	CCR2 on granulocyte	3	1025	0.027	7:92236164,7:92408370
116	SSC.TBNK.trait1	SSC-A on CD14+ monocyte	2	150	0.13	7:92408370
116	SSC.TBNK.trait13	SSC-A on granulocyte	2	4	0.25	7:92236164,7:92408370
118	Red.780.60.cDC.trait6	CD80 on granulocyte	4	561	0.02	8:6828795,8:6878837,8:6879885,8:6891971
118	SSC.TBNK.trait13	SSC-A on granulocyte	4	14838	0.05	8:6731529,8:6879803,8:6880963
131	Bcells.trait453	CD25 on B cell	2	18	0.086	10:6106621,10:6113782
131	Bcells.trait471	CD25 on CD24+ CD27+	3	398	0.018	10:6106621,10:6113782,10:6115171
131	Bcells.trait490	CD25 on IgD+ CD24+	3	553	0.019	10:6113782,10:6115171,10:6120173
131	Bcells.trait491	CD25 on IgD+ CD24-	5	25909	0.001	10:6079315,10:6082558,10:6106621,10:6115171,10:6255141
131	Bcells.trait492	CD25 on IgD+ CD38-	3	1982	0.022	10:6113523,10:6113782,10:6120173
131	Bcells.trait495	CD25 on IgD+ CD38br	3	7347	0.016	10:6095928,10:6098824,10:6115678
131	Bcells.trait496	CD25 on IgD+ CD38dim	3	622	0.014	10:6095928,10:6098824,10:6115678
131	Bcells.trait500	CD25 on IgD- CD24-	2	1313	0.014	10:6096199,10:6106621
131	Bcells.trait501	CD25 on IgD- CD27-	2	110	0.088	10:6113782,10:6120173
131	Bcells.trait502	CD25 on IgD- CD38-	3	423	0.097	10:6098824,10:6113782,10:6120173
131	Bcells.trait504	CD25 on IgD- CD38dim	5	1178	0.012	10:6026178,10:6106621,10:6113782,10:6115171,10:6168539
131	Bcells.trait506	CD25 on memory B cell	3	225	0.027	10:6113782,10:6115171,10:6120173
131	Bcells.trait508	CD25 on naive-mature B cell	4	9594	0.012	10:6082558,10:6106621,10:6119384,10:6225119
131	Bcells.trait509	CD25 on unsw mem	3	149	0.04	10:6112605,10:6113782,10:6120173
131	Bcells.trait510	CD25 on sw mem	3	260	0.018	10:6113782,10:6115171,10:6120173
131	Bcells.trait511	CD25 on IgD+	2	18	0.082	10:6106621,10:6113782
131	Bcells.trait512	CD25 on transitional	3	17882	0.0066	10:6104773,10:6113782,10:6115678
131	Blue.780.60.CD25.trait10	CD25 on CD39+ CD4 Treg	2	1374	0.045	10:6076511
131	Blue.780.60.CD25.trait1	CD25 on  CD45RA- CD4 not Treg	3	11075	0.02	10:6094697,10:6128374
131	Blue.780.60.CD25.trait13	CD25 on CD45RA+ CD4 not Treg	2	176	0.049	10:6102012,10:6115171
131	Blue.780.60.Treg.trait6	CD25 on CD28+ CD4+	2	10	0.18	10:6094697,10:6111622
131	f_Treg_Trait501	CD4 Treg %CD4	2	15	0.2	10:6057181,10:6094697
131	f_Treg_Trait517	Secreting Treg %CD4	2	22	0.15	10:6057181,10:6094697
131	f_Treg_Trait529	Activated & secreting Treg %CD4+	3	6082	0.031	10:6057181,10:6094697
131	f_Treg_Trait533	CD25hi AC	2	179	0.061	10:6094697
131	f_Treg_Trait534	CD25hi %CD4+	2	20	0.15	10:6057181,10:6094697
131	f_Treg_Trait535	CD25hi %T cell	2	25	0.11	10:6094697,10:6167124
131	f_Treg_Trait539	CD25hi CD45RA- CD4 not Treg AC	3	9363	0.057	10:6073929,10:6094697,10:6282776
131	f_Treg_Trait540	CD25hi CD45RA- CD4 not Treg %CD4+	2	29	0.093	10:6041854,10:6094697
131	f_Treg_Trait541	CD25hi CD45RA- CD4 not Treg %T cell	2	28	0.08	10:6094697,10:6167124
134	Blue.530.30.Treg.trait12	CD3 on CD39+ activated Treg	1	87	0.037	10:97510704
134	Blue.585.42.Treg.trait10	CD28 on CD39+ activated Treg	2	24756	0.01	10:97613252
134	Blue.585.42.Treg.trait12	CD28 on CD39+ secreting Treg	2	10917	0.0011	10:97551952,10:97602091
134	Blue.585.42.Treg.trait19	CD28 on CD39+ CD4+	2	11594	0.0039	10:97385358,10:97519645
134	Blue.585.42.Treg.trait4	CD28 on CD39+ CD8br	1	102	0.017	10:97608114
134	Blue.585.42.Treg.trait8	CD28 on CD39+ resting Treg	2	18313	0.01	10:97668796
134	Blue.780.60.CD25.trait10	CD25 on CD39+ CD4 Treg	1	64	0.034	10:97566052
134	Blue.780.60.CD25.trait6	CD25 on CD39+ activated Treg	1	62	0.031	10:97566052
134	Blue.780.60.Treg.trait5	CD25 on CD39+ CD4+	7	4093	0.057	10:97464541,10:97470019,10:97473214,10:97513362,10:97575579,10:97581871,10:97584061
134	f_Treg_Trait506	CD39+ resting Treg AC	10	22239	0.0072	10:97371146,10:97472570,10:97472573,10:97474665,10:97504302,10:97592929,10:97598203,10:97615537,10:97732209
134	f_Treg_Trait507	CD39+ resting Treg %resting Treg	10	40633	0.00057	10:97371146,10:97464085,10:97467081,10:97504302,10:97542035,10:97615537,10:97675917,10:97682304,10:97684234
134	f_Treg_Trait508	CD39+ resting Treg % CD4 Treg	10	27404	0.064	10:97371146,10:97464085,10:97464541,10:97474665,10:97504302,10:97517949,10:97598203,10:97615537,10:97648919,10:97655268
134	f_Treg_Trait512	CD39+ activated Treg AC	4	4020	0.0069	10:97371500,10:97385439,10:97565783,10:97607644
134	f_Treg_Trait513	CD39+ activated Treg %activated Treg	10	4	0.25	10:97367286,10:97464047,10:97464541,10:97472570,10:97472573,10:97479262,10:97482986,10:97510704,10:97521363,10:97606470
134	f_Treg_Trait514	CD39+ activated Treg %CD4 Treg	10	10826	0.0024	10:97418098,10:97449885,10:97470019,10:97479504,10:97504302,10:97506705,10:97507312,10:97542035,10:97562296,10:97680969
134	f_Treg_Trait518	CD39+ secreting Treg  AC	6	39703	0.00028	10:97472570,10:97491005,10:97537876,10:97565783,10:97566321,10:97604651
134	f_Treg_Trait519	CD39+ secreting Treg %secreting Treg	10	41	0.054	10:97390439,10:97464047,10:97465988,10:97472570,10:97472573,10:97482986,10:97491005,10:97504302,10:97506705,10:97590924
134	f_Treg_Trait520	CD39+ secreting Treg %CD4 Treg	10	4	0.25	10:97464047,10:97467081,10:97470019,10:97472570,10:97472573,10:97486408,10:97492685,10:97506705,10:97542035,10:97621685
134	Red.660.20.Treg.trait1	CD39 on CD39+ CD8br	2	11907	0.0089	10:97608114,10:97739084
134	Red.660.20.Treg.trait2	CD39 on CD39+ activated Treg	10	157	0.18	10:97268858,10:97334332,10:97371327,10:97491005,10:97507312,10:97513362,10:97518699,10:97551728,10:97660572,10:97660860
134	Red.660.20.Treg.trait3	CD39 on CD39+ secreting Treg	9	20601	0.029	10:97390566,10:97413685,10:97447910,10:97454619,10:97464816,10:97484131,10:97505821,10:97506400,10:97522297
134	Red.660.20.Treg.trait5	CD39 on CD39+ CD4+	5	41698	0.0011	10:97491005,10:97504302,10:97559527,10:97565783,10:97569568
134	Red.780.60.Treg.trait15	CD4 on CD39+ CD4+	3	23335	0.013	10:97442990,10:97507312,10:97609086
134	Red.780.60.Treg.trait8	CD4 on CD39+ secreting Treg	2	15196	0.00049	10:97331197,10:97474371
134	Treg_Trait512	CD39+ CD4+ %T cell	9	44519	0.00035	10:97411004,10:97491005,10:97531966,10:97565783,10:97570315,10:97586078,10:97595696,10:97645948,10:97682304
134	Treg_Trait513	CD39+ CD4+ %CD4+	9	44083	0.00026	10:97368852,10:97392429,10:97411004,10:97470019,10:97504302,10:97542035,10:97615537,10:97637670,10:97717015
134	Treg_Trait514	CD39+ CD4+ AC	7	43593	0.00019	10:97461206,10:97491005,10:97565783,10:97566052,10:97595696,10:97682867,10:97685779
134	Treg_Trait585	CD39+ CD8br %T cell	10	1	1	10:97449273,10:97473214,10:97496548,10:97509695,10:97569685,10:97578827,10:97615537,10:97638901,10:97648919,10:97668309
134	Treg_Trait586	CD39+ CD8br %CD8br	10	1	1	10:97353355,10:97449273,10:97464541,10:97470019,10:97473214,10:97577746,10:97598233,10:97617706,10:97624207,10:97647980
134	Treg_Trait587	CD39+ CD8br AC	6	42402	0.0003	10:97403216,10:97461206,10:97473214,10:97566052,10:97595696,10:97661682
137	FSC.TBNK.trait11	FSC-A on NK	2	4550	0.042	10:126330758,10:126346603
137	SSC.TBNK.trait11	SSC-A on NK	2	2416	0.022	10:126346603
138	SSC.cDC.trait2	SSC-A on myeloid DC	2	536	0.27	11:5248004
138	SSC.cDC.trait3	SSC-A on plasmacytoid DC	2	775	0.21	11:5248004
141	Bcells.trait335	CD20 on B cell	2	1869	0.0068	11:60174250,11:60272994
141	Bcells.trait355	CD20 on CD24+ CD27+	3	4071	0.0018	11:60180335,11:60228483,11:60267695
141	Bcells.trait379	CD20 on IgD+ CD24-	2	1785	0.0041	11:60174250,11:60272994
141	Bcells.trait383	CD20 on IgD+ CD38br	2	5074	0.01	11:60145822,11:60267723
141	Bcells.trait384	CD20 on IgD+ CD38dim	3	12869	0.0014	11:60144180,11:60272994
141	Bcells.trait397	CD20 on naive-mature B cell	2	1667	0.0031	11:60144180,11:60261376
141	Bcells.trait399	CD20 on sw mem	4	20240	0.0014	11:60035668,11:60158649,11:60228483,11:60266059
141	Bcells.trait400	CD20 on IgD+	2	1704	0.005	11:60174250,11:60272994
141	Bcells.trait401	CD20 on transitional	2	1444	0.031	11:60145822,11:60266059
145	Blue.585.42.TBNK.trait1	CD16-CD56 on NKT	3	28363	0.046	11:112751407,11:112952272
145	Blue.585.42.TBNK.trait2	CD16-CD56 on NK	3	32936	0.0018	11:112749800,11:112952272
145	Blue.585.42.TBNK.trait3	CD16-CD56 on HLA DR+ NK	1	38	0.041	11:112751974
145	TB_Trait539	NKT AC	2	6089	0.0036	11:112749800,11:112914680
145	TB_Trait540	NKT %T cell	2	6209	0.0046	11:112751407,11:112809309
145	TB_Trait541	NKT %lymphocyte	2	9199	0.0046	11:112751407,11:112809309
145	TB_Trait548	CD8br NKT AC	2	19126	0.0095	11:112705025
145	TB_Trait549	CD8br NKT %T cell	2	21163	0.011	11:112704995
145	TB_Trait550	CD8br NKT %lymphocyte	2	22672	0.0092	11:112705025
145	TB_Trait551	CD8dim NKT AC	2	22866	0.027	11:112745403
145	TB_Trait552	CD8dim NKT %T cell	1	52	0.14	11:112751407
145	TB_Trait553	CD8dim NKT %lymphocyte	2	27623	0.034	11:112751407
145	TB_Trait554	DN (CD4-CD8-) NKT AC	1	29	0.13	11:112749800
145	TB_Trait555	DN (CD4-CD8-) NKT %T cell	1	28	0.25	11:112751407
145	TB_Trait556	DN (CD4-CD8-) NKT %lymphocyte	1	29	0.2	11:112751407
146	Blue.530.30.MT.trait4	CD3 on Naive CD4+	2	251	0.096	11:118758925
146	Blue.530.30.Treg.trait17	CD3 on CD45RA+ CD4+	1	4	0.38	11:118758925
146	Blue.530.30.Treg.trait9	CD3 on resting Treg	2	829	0.18	11:118758925
148	Bcells.trait537	CD27 on CD24+ CD27+	4	3057	0.0036	12:6554628,12:6560573,12:6584988
148	Bcells.trait565	CD27 on IgD- CD38-	4	24921	0.018	12:6553016,12:6560573,12:6572191
148	Bcells.trait566	CD27 on IgD- CD38br	2	202	0.16	12:6553016
148	Bcells.trait567	CD27 on IgD- CD38dim	3	68	0.089	12:6534949,12:6560573,12:6584988
148	Bcells.trait570	CD27 on memory B cell	3	14420	0.005	12:6554628,12:6605299,12:6620166
148	Bcells.trait571	CD27 on unsw mem	3	14061	0.011	12:6554628,12:6560573,12:6582330
148	Bcells.trait574	CD27 on sw mem	4	1173	0.031	12:6534949,12:6554628,12:6560573,12:6584988
149	Blue.780.60.TBNK.trait1	CD4 on monocyte	2	22	0.098	12:6894164,12:6923831
149	Red.660.20.MT.trait1	CD4 on CD4+	3	2803	0.097	12:6903631,12:6924044,12:6928214
149	Red.660.20.MT.trait2	CD4 on CM CD4 +	3	296	0.036	12:6903631,12:6924044,12:6928214
149	Red.660.20.MT.trait3	CD4 on naive CD4+	4	25281	0.0014	12:6906829,12:6916294,12:6924044,12:6929513
149	Red.660.20.MT.trait4	CD4 on EM CD4+	2	472	0.12	12:6903631,12:6924044
149	Red.660.20.MT.trait6	CD4 on CD45RA+ CD4+	3	989	0.021	12:6903631,12:6924044,12:6928214
149	Red.780.60.Treg.trait2	CD4 on CD4 Treg	3	1337	0.14	12:6903631,12:6924044,12:6928214
149	Red.780.60.Treg.trait5	CD4 on activated Treg	3	628	0.15	12:6903631,12:6924044,12:6928214
149	Red.780.60.Treg.trait9	CD4 on activated & secreting Treg	3	2423	0.1	12:6903631,12:6924044,12:6928214
149	TB_ry_Trait518	DP (CD4+CD8+) AC	2	137	0.034	12:6900616,12:6906829
149	TB_ry_Trait519	DP (CD4+CD8+) %T cell	2	88	0.042	12:6897652,12:6900616
149	TB_Trait520	DP (CD4+CD8+) %leukocyte	2	95	0.039	12:6897652,12:6900616
152	mono.trait21	HLA DR on CD14+ CD16- monocyte	2	157	0.17	12:69744014
152	mono.trait25	HLA DR on CD14+ monocyte	2	162	0.17	12:69744014
152	N_MONO_Trait505	CD14- CD16- AC	3	9308	0.021	12:69744014,12:69792122
152	SSC.cDC.trait2	SSC-A on myeloid DC	2	59	0.028	12:69744014,12:69784695
152	SSC.cDC.trait4	SSC-A on monocyte	2	2	0.91	12:69732105,12:69744014
152	SSC.TBNK.trait1	SSC-A on CD14+ monocyte	3	875	0.041	12:69682327,12:69744014
153	TB_ry_Trait512	CD4+ AC	1	10	0.15	12:111884608
158	BC_Trait14	IgD+ CD38- AC	2	637	0.18	13:108960380
158	BC_Trait26	Memory B cell AC	2	687	0.15	13:108960380
158	BC_Trait38	CD24+ CD27+ AC	1	2	0.57	13:108960380
158	BC_Trait46	IgD+ %Lymphocyte	1	2	0.69	13:108960380
158	BC_Trait52	IgD+ CD38- %lymphocyte	1	2	0.59	13:108960380
158	BC_Trait54	Unsw Mem %lymphocyte	1	2	0.56	13:108960380
158	BC_Trait56	Sw mem %lymphocyte	2	898	0.17	13:108960380
158	BC_Trait58	Memory B cell %lymphocyte	1	2	0.7	13:108960380
158	BC_Trait61	IgD+ CD24+ %lymphocyte	1	2	0.69	13:108960380
158	BC_Trait64	CD24+ CD27+ %lymphocyte	1	2	0.61	13:108960380
158	RATIO_CD3_B	T/B	1	2	0.79	13:108960380
158	TB_Trait563	B cell AC	2	990	0.14	13:108960380
158	TB_Trait565	B cell %lymphocyte	1	2	0.81	13:108960380
164	Red.660.20.MT.trait3	CD4 on naive CD4+	2	13926	0.062	14:65859984
168	Bcells.trait495	CD25 on IgD+ CD38br	2	234	0.2	14:106306841
168	Bcells.trait512	CD25 on transitional	2	345	0.25	14:106306841
168	Bcells.trait775	IgD on IgD+ CD24+	2	65	0.53	14:106306841,14:106332579
168	Bcells.trait776	IgD on IgD+ CD24-	1	1	1	14:106306841
168	Bcells.trait777	IgD on IgD+ CD38-	1	1	1	14:106306841
168	Bcells.trait780	IgD on IgD+ CD38br	3	277	0.13	14:106174675,14:106306841,14:106364973
168	Bcells.trait781	IgD on IgD+ CD38dim	2	222	0.35	14:106174675,14:106306841
168	Bcells.trait785	IgD on unsw mem	1	1	1	14:106306841
168	Bcells.trait786	IgD on IgD+	1	1	1	14:106306841
168	Bcells.trait787	IgD on transitional	2	208	0.14	14:106306841
170	Bcells.trait776	IgD on IgD+ CD24-	1	48	0.077	15:40846661
170	Bcells.trait781	IgD on IgD+ CD38dim	1	40	0.075	15:40846661
170	Bcells.trait786	IgD on IgD+	1	57	0.059	15:40846661
173	MDSC_Trait26	CD33dim HLA DR+ CD11b+ %CD33dim HLA DR+	1	7	0.28	15:80263217
173	MDSC_Trait27	CD33dim HLA DR+ CD11b- AC	1	8	0.23	15:80260872
173	MDSC_Trait28	CD33dim HLA DR+ CD11b- %CD33dim HLA DR+	2	1886	0.063	15:80263217
173	TB_Trait569	HLA DR+ NK AC	2	1420	0.049	15:80260273
173	TB_Trait570	HLA DR+ NK %NK	2	3406	0.044	15:80259074
173	TB_Trait571	HLA DR+ NK  %CD3- lymphocyte	2	2819	0.086	15:80260273
176	Blue.670.LP.MT.trait1	CCR7 on naive CD4+	2	252	0.092	16:407388,16:430304
176	Blue.670.LP.MT.trait3	CCR7 on naive CD8br	2	5133	0.033	16:423420
176	Blue.670.LP.Treg.trait7	CD127 on CD45RA+ CD4+	1	9	0.19	16:423696
178	Blue.670.LP.TBNK.trait6	CD45 on HLA DR+ T cell	2	5774	0.03	16:10974423
178	mono.trait16	HLA DR on CD14- CD16+ monocyte	2	31	0.14	16:10978885,16:11018126
178	SSC.TBNK.trait6	SSC-A on HLA DR+ T cell	2	4591	0.026	16:10974423
178	TB_Trait536	HLA DR+ T cell AC	3	19235	0.014	16:10917634,16:10970902
178	TB_Trait537	HLA DR+ T cell%T cell	3	13547	0.025	16:10965115,16:10986596,16:11022022
178	TB_Trait538	HLA DR+ T cell%lymphocyte	3	10739	0.031	16:10968336,16:10970902,16:11022022
178	TB_Trait542	HLA DR+ CD4+ AC	2	1155	0.21	16:10970902,16:11018126
178	TB_Trait543	HLA DR+ CD4+ %T cell	2	2218	0.046	16:10986596,16:11022022
178	TB_Trait544	HLA DR+ CD4+ %lymphocyte	2	387	0.11	16:10970902,16:11018126
178	TB_Trait545	HLA DR+ CD8br AC	3	16292	0.016	16:10917634,16:10970902
178	TB_Trait546	HLA DR+ CD8br %T cell	2	87	0.071	16:10965115,16:10970902
178	TB_Trait547	HLA DR+ CD8br %lymphocyte	2	96	0.065	16:10968336,16:10970902
178	Violet.510.50.cDC.trait3	HLA DR on plasmacytoid DC	3	7505	0.0029	16:10864350,16:10974355,16:11004549
178	Violet.510.50.MDSC.trait5	HLA DR on CD33dim HLA DR+ CD11b+	2	3851	0.018	16:10883162,16:10980338
178	Violet.510.50.MDSC.trait6	HLA DR on CD33dim HLA DR+ CD11b-	2	3102	0.048	16:10979440
178	Violet.510.50.TBNK.trait2	HLA DR on  HLA DR+ T cell	2	2813	0.047	16:10968440
178	Violet.510.50.TBNK.trait5	HLA DR on B cell	3	360	0.29	16:11006011,16:11006543,16:11018126
178	Violet.510.50.TBNK.trait6	HLA DR on HLA DR+ NK	2	1625	0.032	16:10982607,16:11226216
179	Bcells.trait313	CD19 on IgD+ CD38br	3	313	0.11	16:29203994,16:29297747,16:29427265
179	Bcells.trait322	CD19 on IgD- CD38dim	2	459	0.09	16:29297747,16:29427265
179	Violet.450.50.cDC.trait1	CD11c on myeloid DC	5	30440	0.00077	16:31173034,16:31334193,16:31361988,16:31362711,16:31460937
179	Violet.450.50.cDC.trait2	CD11c on CD62L+ myeloid DC	5	20370	0.0015	16:31173034,16:31334193,16:31350549,16:31361988,16:31460937
179	Violet.450.50.cDC.trait3	CD11c on monocyte	4	6533	0.088	16:31361988,16:31370246,16:31371168,16:31382470
179	Violet.450.50.cDC.trait4	CD11c on granulocyte	2	123	0.037	16:31283576,16:31379355
183	Blue.780.60.TBNK.trait1	CD4 on monocyte	2	373	0.17	16:72144174
183	mono.trait2	CD64 on CD14+ CD16- monocyte	3	1983	0.1	16:71033728,16:71124923
183	mono.trait48	CD64 on monocyte	2	76	0.16	16:71124923
191	TB_Trait510	T cell %lymphocyte	2	155	0.045	17:33805730,17:33805956
191	TB_Trait561	CD3- lymphocyte %lymphocyte	2	155	0.045	17:33805730,17:33805956
191	TB_Trait564	B cell % CD3- lymphocyte	2	1365	0.13	17:33797371
191	TB_Trait566	NK AC	2	63	0.57	17:33797371,17:33814758
191	TB_Trait567	NK %CD3- lymphocyte	2	833	0.13	17:33797371,17:33805956
191	TB_Trait568	NK %lymphocyte	2	22	0.24	17:33797371,17:33805956
191	Treg_Trait506	CD28- DN (CD4-CD8-) AC	2	1048	0.048	17:33779347,17:33814758
193	Blue.670.LP.MT.trait1	CCR7 on naive CD4+	3	182	0.22	17:38711635,17:38715186
193	MT_Trait504	CM CD4+ %CD4+	3	66	0.096	17:38711635,17:38764524,17:38779700
194	Blue.670.LP.Treg.trait13	CD127 on granulocyte	5	29	0.073	17:56348226,17:56350827,17:56358429,17:56359180,17:56374364
196	FSC.cDC.trait3	FSC-A on plasmacytoid DC	3	3231	0.046	17:62144271,17:62181990
208	SSC.cDC.trait4	SSC-A on monocyte	1	2	0.79	19:18285944
208	SSC.TBNK.trait1	SSC-A on CD14+ monocyte	2	3443	0.13	19:18285944
209	Bcells.trait335	CD20 on B cell	3	2913	0.012	19:49839015,19:49842622,19:49915911
209	Bcells.trait355	CD20 on CD24+ CD27+	4	18197	0.0013	19:49842622,19:49853881,19:49907690,19:49951552
209	Bcells.trait378	CD20 on IgD+ CD24+	3	3588	0.0047	19:49842622,19:49887877,19:49915911
209	Bcells.trait384	CD20 on IgD+ CD38dim	3	4442	0.021	19:49842622,19:49915911
209	Bcells.trait390	CD20 on IgD- CD38-	3	2218	0.004	19:49842622,19:49855127,19:49907690
209	Bcells.trait392	CD20 on IgD- CD38dim	4	10282	0.0028	19:49842622,19:49861390,19:49872521,19:49951552
209	Bcells.trait395	CD20 on memory B cell	3	1559	0.012	19:49841054,19:49842622,19:49907690
209	Bcells.trait397	CD20 on naive-mature B cell	3	7799	0.013	19:49842622,19:49907690
209	Bcells.trait398	CD20 on unsw mem	3	2259	0.017	19:49842622,19:49853881,19:49915911
209	Bcells.trait399	CD20 on sw mem	4	17743	0.0019	19:49837246,19:49842622,19:49872521,19:49951552
210	Blue.780.60.MDSC.trait10	CD33 on CD33br HLA DR+ CD14dim	10	6680	0.089	19:51488983,19:51500108,19:51705039,19:51708499,19:51709806,19:51717576,19:51735023,19:51739226,19:51787444,19:51917546
210	Blue.780.60.MDSC.trait12	CD33 on CD33dim HLA DR+ CD11b+	10	34493	0.002	19:51510357,19:51550000,19:51628529,19:51704690,19:51705039,19:51709806,19:51713321,19:51727962,19:51744045,19:51883149
210	Blue.780.60.MDSC.trait13	CD33 on CD33dim HLA DR+ CD11b-	9	29020	0.0061	19:51528974,19:51594306,19:51628529,19:51705039,19:51709806,19:51713321,19:51727962,19:51744045,19:51885365
210	Blue.780.60.MDSC.trait14	CD33 on Gr MDSC	2	7	0.26	19:51729103,19:51731176
210	Blue.780.60.MDSC.trait1	CD33 on CD14+ monocyte	9	491	0.062	19:51510357,19:51641675,19:51709806,19:51717576,19:51727962,19:51734857,19:51739226,19:51886401,19:51890745
210	Blue.780.60.MDSC.trait2	CD33 on CD66b++ myeloid cell	4	746	0.068	19:51688315,19:51699811,19:51727962,19:51729103
210	Blue.780.60.MDSC.trait3	CD33 on Mo MDSC	7	1963	0.17	19:51705039,19:51709806,19:51716010,19:51717576,19:51727962,19:51739226,19:51890745
210	Blue.780.60.MDSC.trait4	CD33 on CD33dim HLA DR-	10	4059	0.08	19:51622552,19:51705039,19:51708499,19:51709806,19:51724162,19:51726613,19:51731176,19:51738917,19:51746918,19:51750216
210	Blue.780.60.MDSC.trait6	CD33 on basophil	10	3	0.33	19:51512354,19:51606088,19:51709806,19:51720698,19:51724162,19:51726613,19:51727962,19:51738917,19:51746918,19:51824541
210	Blue.780.60.MDSC.trait7	CD33 on Im MDSC	9	1	1	19:51530693,19:51709806,19:51724112,19:51726613,19:51727565,19:51727962,19:51734857,19:51845859,19:51850427
