sample	exact_phase3_membership	normalized_1000g_sample	normalized_phase3_membership	experiment	bam_accession	md5sum	dataset	filtered_bam_alias
HG02870	1	HG02870	1	ENCSR420RVW	ENCFF358GWK	9199c0ad6ff68d19ad66bc5ed20db697	/experiments/ENCSR420RVW/	encode-processing-pipeline:6b5e17ab-543c-4c87-93e7-f98e8db41274-encode-processing-caper_out_v01_21-atac-6b5e17ab-543c-4c87-93e7-f98e8db41274-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF755LKR.trim.srt.nodup.no_chrM_MT.bam
HG02884	1	HG02884	1	ENCSR604YEQ	ENCFF079OKV	e39262832afac99d3ae5e436abca0fb3	/experiments/ENCSR604YEQ/	encode-processing-pipeline:4e00b451-a2e0-49fa-943e-373d2eddfa73-encode-processing-caper_out_v01_21-atac-4e00b451-a2e0-49fa-943e-373d2eddfa73-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF951VIE.trim.srt.nodup.no_chrM_MT.bam
HG02885	1	HG02885	1	ENCSR621JYI	ENCFF056MAS	3d22fccf967596fd65bec080d5e43524	/experiments/ENCSR621JYI/	encode-processing-pipeline:abf445a1-0172-419e-9671-16019b83fcc1-encode-processing-caper_out_v01_21-atac-abf445a1-0172-419e-9671-16019b83fcc1-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF642GXW.trim.srt.nodup.no_chrM_MT.bam
HG02938	1	HG02938	1	ENCSR920FQJ	ENCFF966ELR	05d62214e6c2826bcb065d8735b07485	/experiments/ENCSR920FQJ/	encode-processing-pipeline:ef7a492d-6fd6-4f84-98f3-21fbaa599fcd-encode-processing-caper_out_v01_21-atac-ef7a492d-6fd6-4f84-98f3-21fbaa599fcd-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF385DZC.trim.srt.nodup.no_chrM_MT.bam
HG02943	1	HG02943	1	ENCSR123WME	ENCFF657AXO	19221f02914085612ce2c6ca6d0b1fa0	/experiments/ENCSR123WME/	encode-processing-pipeline:406f853f-38bf-48f7-8cd8-dcf304dd7c09-encode-processing-caper_out_v01_21-atac-406f853f-38bf-48f7-8cd8-dcf304dd7c09-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF980DQS.trim.srt.nodup.no_chrM_MT.bam
HG02970	1	HG02970	1	ENCSR857MCZ	ENCFF320DVY	568d0f46cebc18002763434f95dc9969	/experiments/ENCSR857MCZ/	encode-processing-pipeline:0f458bd4-be37-4d7d-b789-20b980e7c32e-encode-processing-caper_out_v01_21-atac-0f458bd4-be37-4d7d-b789-20b980e7c32e-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF977CLJ.trim.srt.nodup.no_chrM_MT.bam
HG02973	1	HG02973	1	ENCSR038WVV	ENCFF395ZMS	c30e23c0556d6a53c36e9ee72afc8e13	/experiments/ENCSR038WVV/	encode-processing-pipeline:deddf7d8-31d1-4b6b-9c9d-8fc46200d349-encode-processing-caper_out_v01_21-atac-deddf7d8-31d1-4b6b-9c9d-8fc46200d349-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF642PME.trim.srt.nodup.no_chrM_MT.bam
HG02981	1	HG02981	1	ENCSR208HAP	ENCFF710GAW	11dd81e1ad971b39d9bead2d86be4800	/experiments/ENCSR208HAP/	encode-processing-pipeline:3e6d6436-0fb3-4ad9-ac48-b5bb82a8b6f2-encode-processing-caper_out_v01_21-atac-3e6d6436-0fb3-4ad9-ac48-b5bb82a8b6f2-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF633GAD.trim.srt.nodup.no_chrM_MT.bam
HG03025	1	HG03025	1	ENCSR673ZMQ	ENCFF715RQC	67916d292b0ec86235fc9eda8203ad8a	/experiments/ENCSR673ZMQ/	encode-processing-pipeline:487beafc-0008-4e8c-8dfa-b41e7c4aca8e-encode-processing-caper_out_atac-atac-487beafc-0008-4e8c-8dfa-b41e7c4aca8e-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF637EZI.trim.srt.nodup.no_chrM_MT.bam
HG03039	1	HG03039	1	ENCSR381LJX	ENCFF231QTG	4ab8c94c74cc75174fc4826a7c5dd102	/experiments/ENCSR381LJX/	encode-processing-pipeline:723b1f0f-bb56-4ad1-9a94-2a993e1e817b-encode-processing-caper_out_atac-atac-723b1f0f-bb56-4ad1-9a94-2a993e1e817b-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF408ZBM.trim.srt.nodup.no_chrM_MT.bam
HG03045	1	HG03045	1	ENCSR249FXU	ENCFF216MFD	19dd00867a4f094440d7ae0eb8bdac01	/experiments/ENCSR249FXU/	encode-processing-pipeline:85db2873-b12f-4a7f-b8b5-e060053d29fd-encode-processing-caper_out_atac-atac-85db2873-b12f-4a7f-b8b5-e060053d29fd-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF755ISU.trim.srt.nodup.no_chrM_MT.bam
HG03060	1	HG03060	1	ENCSR470ZNM	ENCFF207CZR	fad12a3e0c2779cb5b98c4ec2004978d	/experiments/ENCSR470ZNM/	encode-processing-pipeline:e7d3238d-7bd3-437d-bcad-4b835eab921d-encode-processing-caper_out_v01_21-atac-e7d3238d-7bd3-437d-bcad-4b835eab921d-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF825MNF.trim.srt.nodup.no_chrM_MT.bam
HG03064	1	HG03064	1	ENCSR487SOP	ENCFF270VDV	f093fac8cf42e5ec8bebf3b0c8383864	/experiments/ENCSR487SOP/	encode-processing-pipeline:ed5955ad-a1f9-4825-a0f8-4eef1e418015-encode-processing-caper_out_v01_21-atac-ed5955ad-a1f9-4825-a0f8-4eef1e418015-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF048TQK.trim.srt.nodup.no_chrM_MT.bam
HG03066	1	HG03066	1	ENCSR040PBN	ENCFF479XDB	148718145964b98468627c22c656f18b	/experiments/ENCSR040PBN/	encode-processing-pipeline:6c529958-89db-4da3-876f-71128e75fe64-encode-processing-caper_out_v01_21-atac-6c529958-89db-4da3-876f-71128e75fe64-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF266IOL.trim.srt.nodup.no_chrM_MT.bam
HG03095	1	HG03095	1	ENCSR359HFH	ENCFF801THG	18be33cb26c31a986cdf78c3f6959732	/experiments/ENCSR359HFH/	encode-processing-pipeline:d1f9d5fb-c920-4bfb-b1a8-467b5074f803-encode-processing-caper_out_v01_21-atac-d1f9d5fb-c920-4bfb-b1a8-467b5074f803-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF156LLT.trim.srt.nodup.no_chrM_MT.bam
HG03097	1	HG03097	1	ENCSR608KJD	ENCFF919PWF	d2fe6e478d9c113bcf28e2582856974e	/experiments/ENCSR608KJD/	encode-processing-pipeline:3378e59d-5982-46f3-a633-7521914efa2c-encode-processing-caper_out_v01_21-atac-3378e59d-5982-46f3-a633-7521914efa2c-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF399NMA.trim.srt.nodup.no_chrM_MT.bam
HG03103	1	HG03103	1	ENCSR833ACP	ENCFF925NDY	f5f8481c57b227902eb2a0f7b259bdf7	/experiments/ENCSR833ACP/	encode-processing-pipeline:3ebd4846-4cfe-4a3f-99ef-6a9a7ebfc7bc-encode-processing-caper_out_v01_21-atac-3ebd4846-4cfe-4a3f-99ef-6a9a7ebfc7bc-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF550PYK.trim.srt.nodup.no_chrM_MT.bam
HG03108	1	HG03108	1	ENCSR962ITF	ENCFF948HNW	5722e2590036dfc5b07ca910f34340e6	/experiments/ENCSR962ITF/	encode-processing-pipeline:00d7b55e-ba69-44cf-9edc-06a2508d2b86-encode-processing-caper_out_v01_21-atac-00d7b55e-ba69-44cf-9edc-06a2508d2b86-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF474NKA.trim.srt.nodup.no_chrM_MT.bam
HG03135	1	HG03135	1	ENCSR096VEO	ENCFF004CBW	03e0db2e066033c76df8641221fdcabe	/experiments/ENCSR096VEO/	encode-processing-pipeline:d478c6ba-fe13-4b01-b1c5-309350c37ff1-encode-processing-caper_out_v01_21-atac-d478c6ba-fe13-4b01-b1c5-309350c37ff1-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF967NBA.trim.srt.nodup.no_chrM_MT.bam
HG03139	1	HG03139	1	ENCSR615YIL	ENCFF231YYD	fd3bce3af2537a89518fb233b56f9abb	/experiments/ENCSR615YIL/	encode-processing-pipeline:e93cb43f-1100-4e09-af6f-903ade660092-encode-processing-caper_out_v01_21-atac-e93cb43f-1100-4e09-af6f-903ade660092-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF389DXE.trim.srt.nodup.no_chrM_MT.bam
HG03159	1	HG03159	1	ENCSR940YDN	ENCFF998WJT	4101503ea6aa5afed696babaf2730d16	/experiments/ENCSR940YDN/	encode-processing-pipeline:598840d0-28f7-425a-bef3-2d1cc8dcaac2-encode-processing-caper_out_v01_21-atac-598840d0-28f7-425a-bef3-2d1cc8dcaac2-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF849LWN.trim.srt.nodup.no_chrM_MT.bam
HG03175	1	HG03175	1	ENCSR305XRF	ENCFF963YZH	cd8ab8907882ba9e76ec882c0bddf0bd	/experiments/ENCSR305XRF/	encode-processing-pipeline:5e8fb34e-84f2-44e4-8632-5cf44b77ad7e-encode-processing-caper_out_atac-atac-5e8fb34e-84f2-44e4-8632-5cf44b77ad7e-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF641WLI.trim.srt.nodup.no_chrM_MT.bam
HG03196	1	HG03196	1	ENCSR063UNG	ENCFF767FGV	52c130df2cc232bd3ce921b6899f1485	/experiments/ENCSR063UNG/	encode-processing-pipeline:e386da29-fb3f-4c58-bd4d-5c52cb0a2b65-encode-processing-caper_out_v01_21-atac-e386da29-fb3f-4c58-bd4d-5c52cb0a2b65-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF299HLD.trim.srt.nodup.no_chrM_MT.bam
HG03280	1	HG03280	1	ENCSR554WGQ	ENCFF588QWF	23d33fa23ebed1b3c5dd596a0b1934c4	/experiments/ENCSR554WGQ/	encode-processing-pipeline:0cc47240-9c52-4fc5-9e1b-bfbe6045e1b8-encode-processing-caper_out_v01_21-atac-0cc47240-9c52-4fc5-9e1b-bfbe6045e1b8-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF336YZK.trim.srt.nodup.no_chrM_MT.bam
HG03342	1	HG03342	1	ENCSR528YDD	ENCFF848NBQ	69ea343d3ed728e00efccd52c37afd6b	/experiments/ENCSR528YDD/	encode-processing-pipeline:7f96b17a-a9e3-4240-9e22-f9f69580c5b1-encode-processing-caper_out_v01_21-atac-7f96b17a-a9e3-4240-9e22-f9f69580c5b1-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF985SMN.trim.srt.nodup.no_chrM_MT.bam
HG03354	1	HG03354	1	ENCSR025MEO	ENCFF132WNX	28512c5e00ee6f0de9bb0fb223bfa56b	/experiments/ENCSR025MEO/	encode-processing-pipeline:f85bf0a8-f190-4d28-a363-695cd30aaf36-encode-processing-caper_out_v01_21-atac-f85bf0a8-f190-4d28-a363-695cd30aaf36-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF950ZMB.trim.srt.nodup.no_chrM_MT.bam
HG03378	1	HG03378	1	ENCSR824DUE	ENCFF497QOS	46acb3a0393066804a51767793656192	/experiments/ENCSR824DUE/	encode-processing-pipeline:ea8933ed-fac0-4e22-82bf-94e3e161fc30-encode-processing-caper_out_v01_21-atac-ea8933ed-fac0-4e22-82bf-94e3e161fc30-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF530LMB.trim.srt.nodup.no_chrM_MT.bam
HG03432	1	HG03432	1	ENCSR839UOB	ENCFF170VVQ	df4547a448cb6eed34c4f1ac0fa94dae	/experiments/ENCSR839UOB/	encode-processing-pipeline:b58f2297-bd56-47e8-9fa3-4213a40efc91-encode-processing-caper_out_v01_21-atac-b58f2297-bd56-47e8-9fa3-4213a40efc91-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF067BSD.trim.srt.nodup.no_chrM_MT.bam
HG03439	1	HG03439	1	ENCSR376YMU	ENCFF326QXM	a794b3660f7991e0c22b360578f05520	/experiments/ENCSR376YMU/	encode-processing-pipeline:d18cb305-3a32-44f2-9bea-ae311c59f66e-encode-processing-caper_out_atac-atac-d18cb305-3a32-44f2-9bea-ae311c59f66e-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF260SWB.trim.srt.nodup.no_chrM_MT.bam
HG03442	1	HG03442	1	ENCSR858GTE	ENCFF130DND	c5eac6ff59366054fe2a098e58363a44	/experiments/ENCSR858GTE/	encode-processing-pipeline:3648db22-001c-4ba9-ae52-5ae3f121a6ce-encode-processing-caper_out_v01_21-atac-3648db22-001c-4ba9-ae52-5ae3f121a6ce-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF215AUI.trim.srt.nodup.no_chrM_MT.bam
HG03457	1	HG03457	1	ENCSR322SBN	ENCFF785NTV	0a34ba29d2489343677fd85e5ee62209	/experiments/ENCSR322SBN/	encode-processing-pipeline:6f6148b5-5abb-4e17-a061-913aa524d94e-encode-processing-caper_out_v01_21-atac-6f6148b5-5abb-4e17-a061-913aa524d94e-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF207JWF.trim.srt.nodup.no_chrM_MT.bam
HG03460	1	HG03460	1	ENCSR345NVR	ENCFF110EWQ	19c4dfffff43350a9eaff3b644c93049	/experiments/ENCSR345NVR/	encode-processing-pipeline:37fe51e3-ee62-4d85-93a8-dbe08f34b210-encode-processing-caper_out_v01_21-atac-37fe51e3-ee62-4d85-93a8-dbe08f34b210-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF436BOR.trim.srt.nodup.no_chrM_MT.bam
HG03469	1	HG03469	1	ENCSR163KRG	ENCFF430HQS	fc57381d00f1032666f6f1bf7a5863c7	/experiments/ENCSR163KRG/	encode-processing-pipeline:dfaa05ec-b18d-4c40-a809-d8f311f31495-encode-processing-caper_out_v01_21-atac-dfaa05ec-b18d-4c40-a809-d8f311f31495-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF731WYO.trim.srt.nodup.no_chrM_MT.bam
HG03520	1	HG03520	1	ENCSR624CTU	ENCFF614WUU	63e4e5fd3df0e87be7b361692e83d64f	/experiments/ENCSR624CTU/	encode-processing-pipeline:e70590a8-a5e0-42a8-81a2-ccc95a145777-encode-processing-caper_out_v01_21-atac-e70590a8-a5e0-42a8-81a2-ccc95a145777-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF135IWP.trim.srt.nodup.no_chrM_MT.bam
HG03521	1	HG03521	1	ENCSR594TMY	ENCFF129JFT	9a57304a9fff5865019af964b9ac9023	/experiments/ENCSR594TMY/	encode-processing-pipeline:4ee4d5d0-32d9-49bc-ab92-2737c5276105-encode-processing-caper_out_v01_21-atac-4ee4d5d0-32d9-49bc-ab92-2737c5276105-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF182JFZ.trim.srt.nodup.no_chrM_MT.bam
HG03558	1	HG03558	1	ENCSR278JWM	ENCFF842JIO	a91a9aebfab666b407aa886b1fb4a6a6	/experiments/ENCSR278JWM/	encode-processing-pipeline:22aa1a69-ba32-43cf-8f4b-8f7ad34450fd-encode-processing-caper_out_v01_21-atac-22aa1a69-ba32-43cf-8f4b-8f7ad34450fd-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF442UNU.trim.srt.nodup.no_chrM_MT.bam
HG03565	1	HG03565	1	ENCSR835WBW	ENCFF220BRO	0bf13e85c128c921760766a6351535a6	/experiments/ENCSR835WBW/	encode-processing-pipeline:5623870a-561f-4b17-9d40-c3ebd707158e-encode-processing-caper_out_v01_21-atac-5623870a-561f-4b17-9d40-c3ebd707158e-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF371QBH.trim.srt.nodup.no_chrM_MT.bam
HG03571	1	HG03571	1	ENCSR000RBT	ENCFF009NCL	d277ed4a324e8fd0b0dd71e8e1564fe4	/experiments/ENCSR000RBT/	encode-processing-pipeline:cd80609b-80eb-4268-9bd5-6d5ae0f03c97-encode-processing-caper_out_v01_21-atac-cd80609b-80eb-4268-9bd5-6d5ae0f03c97-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF267XLH.trim.srt.nodup.no_chrM_MT.bam
HG03575	1	HG03575	1	ENCSR331JFZ	ENCFF632MBC	2e872db29e6e7891ab3826983e269f04	/experiments/ENCSR331JFZ/	encode-processing-pipeline:d711f5c4-859e-493b-8c71-f75851fcbdb4-encode-processing-caper_out_v01_21-atac-d711f5c4-859e-493b-8c71-f75851fcbdb4-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF071LGF.trim.srt.nodup.no_chrM_MT.bam
