normalized_1000g_sample	afgr_encode_sample	bam_accession	md5sum	experiment	filtered_bam_alias
NA18907	GM18907	ENCFF292BTS	8774f9c6fb0ce5b7431659317b725269	/experiments/ENCSR487QSB/	encode-processing-pipeline:de3eea07-a05c-46d6-907e-dace6a774966-encode-processing-caper_out_atac-atac-de3eea07-a05c-46d6-907e-dace6a774966-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF147DLJ.trim.srt.nodup.no_chrM_MT.bam
NA18909	GM18909	ENCFF572IWC	ea9fa1b8e95dcf7be3543af93120e557	/experiments/ENCSR917WJS/	encode-processing-pipeline:c9d1214b-bac8-4501-ad22-c6da05a7af25-encode-processing-caper_out_v01_21-atac-c9d1214b-bac8-4501-ad22-c6da05a7af25-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF344YVS.trim.srt.nodup.no_chrM_MT.bam
NA19023	GM19023	ENCFF949CVL	63a27c8571cb80395f11fec5709b976f	/experiments/ENCSR512FHU/	encode-processing-pipeline:d4a442c9-bc5e-4c06-a7ae-1caabf684fd3-encode-processing-caper_out_v01_21-atac-d4a442c9-bc5e-4c06-a7ae-1caabf684fd3-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF432KFP.trim.srt.nodup.no_chrM_MT.bam
NA19025	GM19025	ENCFF462RHM	623a2a1a2cdb41565b8f2e3d81501acf	/experiments/ENCSR419UYY/	encode-processing-pipeline:d4831668-d989-4e8e-8c23-0ac5ab87937d-encode-processing-caper_out_v01_21-atac-d4831668-d989-4e8e-8c23-0ac5ab87937d-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF507JJS.trim.srt.nodup.no_chrM_MT.bam
NA19035	GM19035	ENCFF237APZ	42a4544e66bb7b7fab851d4b9d8c4ec7	/experiments/ENCSR637MUF/	encode-processing-pipeline:fd5291bf-cf3f-4c5d-a0bc-374c4681eb0a-encode-processing-caper_out_v01_21-atac-fd5291bf-cf3f-4c5d-a0bc-374c4681eb0a-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF428UDM.trim.srt.nodup.no_chrM_MT.bam
NA19043	GM19043	ENCFF795UPB	e819bcc97f4366407fc09e7dbae5dcc3	/experiments/ENCSR409YCK/	encode-processing-pipeline:beb7870d-fbdb-48ed-b2a4-5745fc3891d2-encode-processing-caper_out_v01_21-atac-beb7870d-fbdb-48ed-b2a4-5745fc3891d2-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF423UPH.trim.srt.nodup.no_chrM_MT.bam
NA19324	GM19324	ENCFF668HHR	ac2262710ccb04a22855dd7b1a1be7bf	/experiments/ENCSR425WQW/	encode-processing-pipeline:cb6cb844-ff3e-44af-a8af-65fe3ddc84ae-encode-processing-caper_out_v01_21-atac-cb6cb844-ff3e-44af-a8af-65fe3ddc84ae-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF794LFB.trim.srt.nodup.no_chrM_MT.bam
NA19328	GM19328	ENCFF413LGS	a361413efd00cc5ab5b923aa36c9a046	/experiments/ENCSR383RDZ/	encode-processing-pipeline:74a6821b-afbc-4557-92aa-731b0840394c-encode-processing-caper_out_v01_21-atac-74a6821b-afbc-4557-92aa-731b0840394c-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF747KDF.trim.srt.nodup.no_chrM_MT.bam
NA19351	GM19351	ENCFF342KIA	04124dcb69f15d6653a433194c78db2b	/experiments/ENCSR231BZU/	encode-processing-pipeline:767aa189-4bdd-47ff-b70e-e5ee10158970-encode-processing-caper_out_v01_21-atac-767aa189-4bdd-47ff-b70e-e5ee10158970-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF577NJG.trim.srt.nodup.no_chrM_MT.bam
NA19372	GM19372	ENCFF301DFZ	67325ceba10b19f26573823859d5bd93	/experiments/ENCSR335JVB/	encode-processing-pipeline:ef8d1e00-2052-4d84-b5ef-fa80c0bcc74d-encode-processing-caper_out_v01_21-atac-ef8d1e00-2052-4d84-b5ef-fa80c0bcc74d-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF951LZK.trim.srt.nodup.no_chrM_MT.bam
NA19395	GM19395	ENCFF668FJU	ff6a5b50ee18e209238a714caee6897d	/experiments/ENCSR372IGW/	encode-processing-pipeline:4d39ac00-b78a-4054-ab03-ddcf1b6576f3-encode-processing-caper_out_v01_21-atac-4d39ac00-b78a-4054-ab03-ddcf1b6576f3-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF833UQC.trim.srt.nodup.no_chrM_MT.bam
NA19397	GM19397	ENCFF593SBD	1da56b9d2456ce4625b67836980a9e31	/experiments/ENCSR839IAD/	encode-processing-pipeline:9fd93e50-0712-40a3-a315-284d9e494596-encode-processing-caper_out_atac-atac-9fd93e50-0712-40a3-a315-284d9e494596-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF294TSO.trim.srt.nodup.no_chrM_MT.bam
NA19438	GM19438	ENCFF183OZW	ce56cc29b385fe189ae5dfd75594bdd0	/experiments/ENCSR134OSR/	encode-processing-pipeline:96ba482e-d958-4716-a8c7-d26c295def11-encode-processing-caper_out_v01_21-atac-96ba482e-d958-4716-a8c7-d26c295def11-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF772VHE.trim.srt.nodup.no_chrM_MT.bam
NA19452	GM19452	ENCFF955TYL	904317b255b6288158ade0fca5c7eafa	/experiments/ENCSR454UTH/	encode-processing-pipeline:63b6cba2-7612-4aec-b177-5f2d76c307da-encode-processing-caper_out_v01_21-atac-63b6cba2-7612-4aec-b177-5f2d76c307da-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF518LZP.trim.srt.nodup.no_chrM_MT.bam
NA19455	GM19455	ENCFF772BMP	390fdb6ec2ff732c411fd470d4bd0c3b	/experiments/ENCSR706GDQ/	encode-processing-pipeline:5156360a-ec1b-4f19-9161-8c2b5645159c-encode-processing-caper_out_v01_21-atac-5156360a-ec1b-4f19-9161-8c2b5645159c-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF995LIP.trim.srt.nodup.no_chrM_MT.bam
NA19463	GM19463	ENCFF575DFU	cb27f91a6d81f8426f74b67ee5df09f0	/experiments/ENCSR712ZRY/	encode-processing-pipeline:90989a80-b3cb-4398-bfd0-329e06133033-encode-processing-caper_out_atac-atac-90989a80-b3cb-4398-bfd0-329e06133033-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF163TJL.trim.srt.nodup.no_chrM_MT.bam
NA19467	GM19467	ENCFF152BRZ	d2e0bd5f7cfefcab0e800ae8a0532e08	/experiments/ENCSR635CAC/	encode-processing-pipeline:c5636712-b3e3-4da2-8464-c4712273315c-encode-processing-caper_out_v01_21-atac-c5636712-b3e3-4da2-8464-c4712273315c-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF052RQB.trim.srt.nodup.no_chrM_MT.bam
NA19468	GM19468	ENCFF362ACE	f69468f5afd408a0aab79c25723464f1	/experiments/ENCSR635AIF/	encode-processing-pipeline:9df93fee-e387-4327-9d07-6aa3bca11dde-encode-processing-caper_out_v01_21-atac-9df93fee-e387-4327-9d07-6aa3bca11dde-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF221QLG.trim.srt.nodup.no_chrM_MT.bam
