feature_index	gene_id	gene_name	feature_type
699	CD92	CD92	Gene Expression
700	CD37	CD37	Gene Expression
701	SLC1A3	SLC1A3	Gene Expression
702	CD30	CD30	Gene Expression
703	TRIM8	TRIM8	Gene Expression
704	ZNF498	ZNF498	Gene Expression
705	CD47	CD47	Gene Expression
706	SLC2A10	SLC2A10	Gene Expression
707	CD82	CD82	Gene Expression
708	ZNF124	ZNF124	Gene Expression
709	ZNF43	ZNF43	Gene Expression
710	HOXA8	HOXA8	Gene Expression
711	ZNF358	ZNF358	Gene Expression
712	CD111	CD111	Gene Expression
713	RPL12	RPL12	Gene Expression
714	KRT1	KRT1	Gene Expression
715	ZNF332	ZNF332	Gene Expression
716	ZNF459	ZNF459	Gene Expression
717	MMP3	MMP3	Gene Expression
718	ZNF473	ZNF473	Gene Expression
719	ZNF137	ZNF137	Gene Expression
720	MMP12	MMP12	Gene Expression
721	ZNF344	ZNF344	Gene Expression
722	CCL13	CCL13	Gene Expression
723	ZNF310	ZNF310	Gene Expression
724	ATP2	ATP2	Gene Expression
725	RPS25	RPS25	Gene Expression
726	CD49	CD49	Gene Expression
727	TRIM72	TRIM72	Gene Expression
728	ZNF440	ZNF440	Gene Expression
729	TRIM21	TRIM21	Gene Expression
730	ZNF421	ZNF421	Gene Expression
731	CCL7	CCL7	Gene Expression
732	ZNF129	ZNF129	Gene Expression
733	CD54	CD54	Gene Expression
734	CD124	CD124	Gene Expression
735	TRIM13	TRIM13	Gene Expression
736	ATP5	ATP5	Gene Expression
737	KRT9	KRT9	Gene Expression
738	ZNF1	ZNF1	Gene Expression
739	ZNF258	ZNF258	Gene Expression
740	ZNF320	ZNF320	Gene Expression
741	ZNF387	ZNF387	Gene Expression
742	KRT23	KRT23	Gene Expression
743	CD61	CD61	Gene Expression
744	CD74	CD74	Gene Expression
745	KRT11	KRT11	Gene Expression
746	CD109	CD109	Gene Expression
747	HOXB7	HOXB7	Gene Expression
748	TRIM46	TRIM46	Gene Expression
749	ZNF194	ZNF194	Gene Expression
750	CXCL7	CXCL7	Gene Expression
751	CD83	CD83	Gene Expression
752	ZNF478	ZNF478	Gene Expression
753	CD115	CD115	Gene Expression
754	ZNF329	ZNF329	Gene Expression
755	CD15	CD15	Gene Expression
756	CD145	CD145	Gene Expression
757	ZNF325	ZNF325	Gene Expression
758	HOXA2	HOXA2	Gene Expression
759	CCL24	CCL24	Gene Expression
760	ZNF278	ZNF278	Gene Expression
761	RPS24	RPS24	Gene Expression
762	HOXB6	HOXB6	Gene Expression
763	ATP20	ATP20	Gene Expression
764	ZNF139	ZNF139	Gene Expression
765	MAPK9	MAPK9	Gene Expression
766	RPL39	RPL39	Gene Expression
767	ZNF369	ZNF369	Gene Expression
768	ZNF40	ZNF40	Gene Expression
769	ZNF131	ZNF131	Gene Expression
770	CD27	CD27	Gene Expression
771	SLC2A13	SLC2A13	Gene Expression
772	ZNF33	ZNF33	Gene Expression
773	ZNF336	ZNF336	Gene Expression
774	ATP34	ATP34	Gene Expression
775	ZNF79	ZNF79	Gene Expression
776	ZNF85	ZNF85	Gene Expression
777	CD70	CD70	Gene Expression
778	ZNF74	ZNF74	Gene Expression
779	RPS28	RPS28	Gene Expression
780	ZNF412	ZNF412	Gene Expression
781	ZNF146	ZNF146	Gene Expression
782	LDHA	LDHA	Gene Expression
783	CD136	CD136	Gene Expression
784	ZNF254	ZNF254	Gene Expression
785	HOXB3	HOXB3	Gene Expression
786	VIM	VIM	Gene Expression
787	CD95	CD95	Gene Expression
788	MMP6	MMP6	Gene Expression
789	HOXB8	HOXB8	Gene Expression
790	ZNF5	ZNF5	Gene Expression
791	ZNF394	ZNF394	Gene Expression
792	ZNF454	ZNF454	Gene Expression
793	IL6	IL6	Gene Expression
794	RPL17	RPL17	Gene Expression
795	CXCL2	CXCL2	Gene Expression
796	KRT25	KRT25	Gene Expression
797	CCL26	CCL26	Gene Expression
798	CD55	CD55	Gene Expression
799	ATP31	ATP31	Gene Expression
800	ZNF193	ZNF193	Gene Expression
801	RPS29	RPS29	Gene Expression
802	CD140	CD140	Gene Expression
803	TRIM32	TRIM32	Gene Expression
804	RPL38	RPL38	Gene Expression
805	MMP24	MMP24	Gene Expression
806	RPS11	RPS11	Gene Expression
807	ZNF371	ZNF371	Gene Expression
808	ATP24	ATP24	Gene Expression
809	TRIM42	TRIM42	Gene Expression
810	TRIM35	TRIM35	Gene Expression
811	ZNF61	ZNF61	Gene Expression
812	SOX21	SOX21	Gene Expression
813	RPS22	RPS22	Gene Expression
814	CCL5	CCL5	Gene Expression
815	RPL35	RPL35	Gene Expression
816	ZNF409	ZNF409	Gene Expression
817	ZNF430	ZNF430	Gene Expression
818	ATP41	ATP41	Gene Expression
819	RPS18	RPS18	Gene Expression
820	CD106	CD106	Gene Expression
821	ZNF294	ZNF294	Gene Expression
822	TRIM30	TRIM30	Gene Expression
823	ZNF99	ZNF99	Gene Expression
824	ZNF391	ZNF391	Gene Expression
825	CD135	CD135	Gene Expression
826	CD43	CD43	Gene Expression
827	ZNF492	ZNF492	Gene Expression
828	ZNF189	ZNF189	Gene Expression
829	MAPK7	MAPK7	Gene Expression
830	TRIM50	TRIM50	Gene Expression
831	ZNF418	ZNF418	Gene Expression
832	RPL4	RPL4	Gene Expression
833	ZNF250	ZNF250	Gene Expression
834	KRT24	KRT24	Gene Expression
835	HOXB2	HOXB2	Gene Expression
836	ZNF251	ZNF251	Gene Expression
837	B2M	B2M	Gene Expression
838	ZNF60	ZNF60	Gene Expression
839	ZNF380	ZNF380	Gene Expression
840	ZNF227	ZNF227	Gene Expression
841	ZNF31	ZNF31	Gene Expression
842	ZNF372	ZNF372	Gene Expression
843	RPS2	RPS2	Gene Expression
844	ZNF271	ZNF271	Gene Expression
845	CD75	CD75	Gene Expression
846	TRIM68	TRIM68	Gene Expression
847	ATP22	ATP22	Gene Expression
848	ZNF103	ZNF103	Gene Expression
849	CCL14	CCL14	Gene Expression
850	MALAT1	MALAT1	Gene Expression
851	ACTB	ACTB	Gene Expression
852	ZNF36	ZNF36	Gene Expression
853	CD73	CD73	Gene Expression
854	CD16	CD16	Gene Expression
855	CXCL3	CXCL3	Gene Expression
856	TRIM67	TRIM67	Gene Expression
857	ZNF453	ZNF453	Gene Expression
858	CD72	CD72	Gene Expression
859	TBP	TBP	Gene Expression
860	FGF12	FGF12	Gene Expression
861	KRT26	KRT26	Gene Expression
862	TRIM43	TRIM43	Gene Expression
863	SOX6	SOX6	Gene Expression
864	CD80	CD80	Gene Expression
865	ZNF309	ZNF309	Gene Expression
866	ZNF188	ZNF188	Gene Expression
867	CCL8	CCL8	Gene Expression
868	RPL5	RPL5	Gene Expression
869	ZNF45	ZNF45	Gene Expression
870	CD147	CD147	Gene Expression
871	FGF19	FGF19	Gene Expression
872	ZNF351	ZNF351	Gene Expression
873	HOXC4	HOXC4	Gene Expression
874	ATP28	ATP28	Gene Expression
875	ZNF255	ZNF255	Gene Expression
876	ZNF340	ZNF340	Gene Expression
877	ZNF289	ZNF289	Gene Expression
878	CD1	CD1	Gene Expression
879	ZNF174	ZNF174	Gene Expression
880	ZNF228	ZNF228	Gene Expression
881	ZNF274	ZNF274	Gene Expression
882	ZNF9	ZNF9	Gene Expression
883	FGF4	FGF4	Gene Expression
884	ZNF355	ZNF355	Gene Expression
885	ZNF402	ZNF402	Gene Expression
886	CD84	CD84	Gene Expression
887	ZNF287	ZNF287	Gene Expression
888	ZNF411	ZNF411	Gene Expression
889	ZNF303	ZNF303	Gene Expression
890	FGF21	FGF21	Gene Expression
891	CD104	CD104	Gene Expression
892	CD131	CD131	Gene Expression
893	ZNF497	ZNF497	Gene Expression
894	ZNF262	ZNF262	Gene Expression
895	ZNF413	ZNF413	Gene Expression
896	SLC1A5	SLC1A5	Gene Expression
897	CD35	CD35	Gene Expression
898	ZNF270	ZNF270	Gene Expression
899	ZNF434	ZNF434	Gene Expression
900	SLC1A6	SLC1A6	Gene Expression
901	SOX20	SOX20	Gene Expression
902	ZNF177	ZNF177	Gene Expression
903	SLC2A5	SLC2A5	Gene Expression
904	ZNF482	ZNF482	Gene Expression
905	CD38	CD38	Gene Expression
906	ZNF487	ZNF487	Gene Expression
907	ZNF364	ZNF364	Gene Expression
908	RPL23	RPL23	Gene Expression
909	ZNF298	ZNF298	Gene Expression
910	ZNF209	ZNF209	Gene Expression
911	ZNF292	ZNF292	Gene Expression
912	CD8	CD8	Gene Expression
913	RPL11	RPL11	Gene Expression
914	TRIM41	TRIM41	Gene Expression
915	ZNF71	ZNF71	Gene Expression
916	TRIM73	TRIM73	Gene Expression
917	TRIM70	TRIM70	Gene Expression
918	ZNF233	ZNF233	Gene Expression
919	KRT35	KRT35	Gene Expression
920	CXCL6	CXCL6	Gene Expression
921	ZNF321	ZNF321	Gene Expression
922	ATP32	ATP32	Gene Expression
923	ZNF457	ZNF457	Gene Expression
924	ZNF178	ZNF178	Gene Expression
925	ATP12	ATP12	Gene Expression
926	ZNF318	ZNF318	Gene Expression
927	ZNF435	ZNF435	Gene Expression
928	SLC2A11	SLC2A11	Gene Expression
929	SOX26	SOX26	Gene Expression
930	CXCL5	CXCL5	Gene Expression
931	TRIM52	TRIM52	Gene Expression
932	RPS9	RPS9	Gene Expression
933	ZNF316	ZNF316	Gene Expression
934	ZNF465	ZNF465	Gene Expression
935	ZNF130	ZNF130	Gene Expression
936	ZNF373	ZNF373	Gene Expression
937	ZNF273	ZNF273	Gene Expression
938	ZNF229	ZNF229	Gene Expression
939	ZNF72	ZNF72	Gene Expression
940	CD52	CD52	Gene Expression
941	CD112	CD112	Gene Expression
942	ZNF379	ZNF379	Gene Expression
943	CD12	CD12	Gene Expression
944	ZNF265	ZNF265	Gene Expression
945	TRIM3	TRIM3	Gene Expression
946	ZNF313	ZNF313	Gene Expression
947	ZNF307	ZNF307	Gene Expression
948	CD66	CD66	Gene Expression
949	ZNF427	ZNF427	Gene Expression
950	ZNF93	ZNF93	Gene Expression
951	CCL12	CCL12	Gene Expression
952	SOX11	SOX11	Gene Expression
953	CD71	CD71	Gene Expression
954	KRT28	KRT28	Gene Expression
955	CD86	CD86	Gene Expression
956	CCL18	CCL18	Gene Expression
957	ZNF362	ZNF362	Gene Expression
958	ZNF21	ZNF21	Gene Expression
959	CD144	CD144	Gene Expression
960	RPL32	RPL32	Gene Expression
961	MMP1	MMP1	Gene Expression
962	CD18	CD18	Gene Expression
963	MMP18	MMP18	Gene Expression
964	SLC1A4	SLC1A4	Gene Expression
965	ZNF101	ZNF101	Gene Expression
966	ZNF398	ZNF398	Gene Expression
967	ZNF452	ZNF452	Gene Expression
968	ENO1	ENO1	Gene Expression
969	RPL27	RPL27	Gene Expression
970	HOXA6	HOXA6	Gene Expression
971	ATP36	ATP36	Gene Expression
972	KRT20	KRT20	Gene Expression
973	ZNF160	ZNF160	Gene Expression
974	CD51	CD51	Gene Expression
975	RPL36	RPL36	Gene Expression
976	ZNF46	ZNF46	Gene Expression
977	ZNF448	ZNF448	Gene Expression
978	SOX8	SOX8	Gene Expression
979	SOX19	SOX19	Gene Expression
980	ZNF217	ZNF217	Gene Expression
981	ZNF106	ZNF106	Gene Expression
982	ZNF489	ZNF489	Gene Expression
983	ZNF361	ZNF361	Gene Expression
984	FGF22	FGF22	Gene Expression
985	ZNF349	ZNF349	Gene Expression
986	SOX13	SOX13	Gene Expression
987	ZNF306	ZNF306	Gene Expression
988	MMP9	MMP9	Gene Expression
989	MAPK4	MAPK4	Gene Expression
990	ZNF54	ZNF54	Gene Expression
991	ZNF331	ZNF331	Gene Expression
992	ZNF27	ZNF27	Gene Expression
993	ZNF78	ZNF78	Gene Expression
994	ZNF222	ZNF222	Gene Expression
995	ZNF246	ZNF246	Gene Expression
996	ZNF415	ZNF415	Gene Expression
997	ZNF469	ZNF469	Gene Expression
998	CD121	CD121	Gene Expression
999	TRIM47	TRIM47	Gene Expression
1000	SOX23	SOX23	Gene Expression
